KPI_Name,parent,node,Tier,sys,ml_dc_1,ml_dc_2,Mo_Nb,frst_flt_ind,dom_int,vendor,station,fleet,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,KPI_Num,KPI_Den,Split,Source,Goal_Yr,YTD_Num,YTD_Den
D0,,sys,1.0,sys,,,,,,,,,68.29,1216960,1782050,71.7,5.00%,1.0,1277808,1782050,False,Goal Input,2027,1277808,1782050
D0,sys,DC,2.0,sys,DC,,,,,,,,72.13,446980,619723,75.73,5.00%,0.3477584804017845,469329,619723,False,Goal Input,2027,469329,619723
D0,sys,DL,2.0,sys,DL,,,,,,,,66.24,769980,1162327,69.56,5.00%,0.6522415195982155,808479,1162327,False,Goal Input,2027,808479,1162327
D0,sys/DC,9E,3.0,sys,DC,9E,,,,,,,68.21,173872,254904,71.62,5.00%,0.41131925069748904,182566,254904,False,Cascaded,2027,182565,254904
D0,sys/DC,OO,3.0,sys,DC,OO,,,,,,,76.2,202544,265791,80.01,5.00%,0.4288867768341662,212671,265791,False,Cascaded,2027,212671,265791
D0,sys/DC,YX,3.0,sys,DC,YX,,,,,,,71.26,70564,99028,74.82,5.00%,0.15979397246834473,74092,99028,False,Cascaded,2027,74092,99028
D0,sys/DC/9E,1,4.0,sys,DC,9E,1,,,,,,69.4,13590,19583,72.87,5.00%,0.0768250007846091,14270,19583,False,Cascaded,2027,14269,19583
D0,sys/DC/9E,10,4.0,sys,DC,9E,10,,,,,,75.54,16764,22192,79.32,5.00%,0.08706022659511031,17602,22192,False,Cascaded,2027,155971,214134
D0,sys/DC/9E,11,4.0,sys,DC,9E,11,,,,,,70.06,13867,19794,73.56,5.00%,0.07765276339327747,14560,19794,False,Cascaded,2027,170531,233928
D0,sys/DC/9E,12,4.0,sys,DC,9E,12,,,,,,54.64,11461,20976,57.37,5.00%,0.08228980322003578,12034,20976,False,Cascaded,2027,182565,254904
D0,sys/DC/9E,2,4.0,sys,DC,9E,2,,,,,,72.86,13557,18607,76.5,5.00%,0.0729961083388256,14235,18607,False,Cascaded,2027,28504,38190
D0,sys/DC/9E,3,4.0,sys,DC,9E,3,,,,,,62.55,13974,22339,65.68,5.00%,0.08763691428930107,14673,22339,False,Cascaded,2027,43177,60529
D0,sys/DC/9E,4,4.0,sys,DC,9E,4,,,,,,69.45,15772,22710,72.92,5.00%,0.08909236418416346,16561,22710,False,Cascaded,2027,59737,83239
D0,sys/DC/9E,5,4.0,sys,DC,9E,5,,,,,,68.36,15353,22458,71.78,5.00%,0.08810375670840787,16121,22458,False,Cascaded,2027,75858,105697
D0,sys/DC/9E,6,4.0,sys,DC,9E,6,,,,,,59.77,12430,20796,62.76,5.00%,0.08158365502306751,13052,20796,False,Cascaded,2027,88909,126493
