Baseline,Tier,Parent,KPI,Grp_Comb,Num,Den,A0,Contribution,Parent,Child Ttl,QA Check,Parent Category,Parent Node,Child Category,Child Node,,,Category,Recommended Parent,Recommended Grp_Comb
LTM - YE,1,,A0,sys;DL,7083300,10420372,67.98%,100.00%,,,,,,,,,,,,
,2,sys;DL,A0,carrier;ML,4558765,6798681,67.05%,64.36%,10420372,10420372,TRUE,sys,DL,carrier,ML,sys;DL,,carrier,sys;DL,sys/carrier;DL/ML
,2,sys;DL,A0,carrier;DC,2524535,3621691,69.71%,35.64%,10420372,,,sys,DL,carrier,DC,#VALUE!,,carrier,sys;DL,sys/carrier;DL/DC
,3,carrier;DC,A0,dc_carrier;9E,1000843,1489944,67.17%,39.64%,3621691,3621388,FALSE,carrier,DC,dc_carrier,9E,#VALUE!,,dc_carrier,sys/carrier;DL/DC,sys/carrier/dc_carrier;DL/DC/9E
,3,carrier;DC,A0,dc_carrier;YX,398438,578027,68.93%,15.78%,3621691,,,carrier,DC,dc_carrier,YX,sys/carrier/dc_carrier;DL/DC/9E,,dc_carrier,sys/carrier;DL/DC,sys/carrier/dc_carrier;DL/DC/YX
,3,carrier;DC,A0,dc_carrier;OO,1125209,1553417,72.43%,44.57%,3621691,,,carrier,DC,dc_carrier,OO,sys/carrier/dc_carrier;DL/DC/YX,,dc_carrier,sys/carrier;DL/DC,sys/carrier/dc_carrier;DL/DC/OO
,3,sys;DL,A0,Sys/Div;DL/ACS,6760152,9954997,67.91%,95.44%,10420372,,,sys,DL,Sys/Div,DL/ACS,sys/carrier/dc_carrier;DL/DC/OO,,div,sys;DL,sys/div;DL/ACS
,3,Sys/Div;DL/ACS,A0,dom_int;D,6166133,9009617,68.44%,91.21%,9954997,9954997,TRUE,Sys/Div,DL/ACS,dom_int,D,#VALUE!,,dom_int,sys/div;DL/ACS,sys/div/dom_int;DL/ACS/D
,3,Sys/Div;DL/ACS,A0,dom_int;I,594019,945380,62.83%,8.79%,9954997,,,Sys/Div,DL/ACS,dom_int,I,sys/div/dom_int;DL/ACS/D,,dom_int,sys/div;DL/ACS,sys/div/dom_int;DL/ACS/I
,3,dom_int;D,A0,carrier/dom_int;DC/D,2309184,3313841,69.68%,37.45%,9009617,9009617,TRUE,dom_int,D,carrier/dom_int,DC/D,sys/div/dom_int;DL/ACS/I,,carrier,sys/div/dom_int;DL/ACS/D,sys/div/dom_int/carrier;DL/ACS/D/DC
,3,dom_int;I,A0,carrier/dom_int;DC/I,98820,146640,67.39%,16.64%,945380,945380,TRUE,dom_int,I,carrier/dom_int,DC/I,sys/div/dom_int/carrier/dom_int;DL/ACS/D/DC/D,,carrier,sys/div/dom_int;DL/ACS/I,sys/div/dom_int/carrier;DL/ACS/I/DC
,3,dom_int;D,A0,carrier/dom_int;ML/D,3856949,5695776,67.72%,62.55%,9009617,,,dom_int,D,carrier/dom_int,ML/D,sys/div/dom_int/carrier/dom_int;DL/ACS/I/DC/I,,carrier,sys/div/dom_int;DL/ACS/D,sys/div/dom_int/carrier;DL/ACS/D/DC
,3,dom_int;I,A0,carrier/dom_int;ML/I,495199,798740,62.00%,83.36%,945380,,,dom_int,I,carrier/dom_int,ML/I,sys/div/dom_int/carrier/dom_int;DL/ACS/D/ML/D,,carrier,sys/div/dom_int;DL/ACS/I,sys/div/dom_int/carrier;DL/ACS/I/DC
,4,dom_int;I,A0,dom_int/direction;I/exit_US,97665,163198,59.84%,16.44%,945380,326188,FALSE,dom_int,I,dom_int/direction,I/exit_US,sys/div/dom_int/carrier/dom_int;DL/ACS/I/ML/I,,direction,sys/div/dom_int;DL/ACS/I,sys/div/dom_int/carrier/direction;DL/ACS/I/exit_US
,4,dom_int;I,A0,dom_int/direction;I/into_US,105521,162990,64.74%,17.76%,945380,,,dom_int,I,dom_int/direction,I/into_US,sys/div/dom_int/dom_int/direction;DL/ACS/I/I/exit_US,,direction,sys/div/dom_int;DL/ACS/I,sys/div/dom_int/carrier/direction;DL/ACS/I/into_US
,5,dom_int;D,A0,dom_int/station;D/ABE,3703,5798,63.87%,0.06%,9009617,8999145,FALSE,dom_int,D,dom_int/station,D/ABE,sys/div/dom_int/dom_int/direction;DL/ACS/I/I/into_US,,,,
,5,dom_int;D,A0,dom_int/station;D/ABQ,13964,18288,76.36%,0.23%,9009617,,,dom_int,D,dom_int/station,D/ABQ,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ABE,,,,
,5,dom_int;D,A0,dom_int/station;D/ABR,3270,4210,77.67%,0.05%,9009617,,,dom_int,D,dom_int/station,D/ABR,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ABQ,,,,
,5,dom_int;D,A0,dom_int/station;D/ABY,3704,5631,65.78%,0.06%,9009617,,,dom_int,D,dom_int/station,D/ABY,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ABR,,,,
,5,dom_int;D,A0,dom_int/station;D/AEX,4107,5783,71.02%,0.07%,9009617,,,dom_int,D,dom_int/station,D/AEX,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ABY,,,,
,5,dom_int;D,A0,dom_int/station;D/AGS,9565,14181,67.45%,0.16%,9009617,,,dom_int,D,dom_int/station,D/AGS,sys/div/dom_int/dom_int/station;DL/ACS/D/D/AEX,,,,
,5,dom_int;D,A0,dom_int/station;D/ALB,9835,16238,60.57%,0.16%,9009617,,,dom_int,D,dom_int/station,D/ALB,sys/div/dom_int/dom_int/station;DL/ACS/D/D/AGS,,,,
,5,dom_int;D,A0,dom_int/station;D/ANC,8992,15589,57.68%,0.15%,9009617,,,dom_int,D,dom_int/station,D/ANC,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ALB,,,,
,5,dom_int;D,A0,dom_int/station;D/APN,2477,3353,73.87%,0.04%,9009617,,,dom_int,D,dom_int/station,D/APN,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ANC,,,,
,5,dom_int;D,A0,dom_int/station;D/ASE,2578,4481,57.53%,0.04%,9009617,,,dom_int,D,dom_int/station,D/ASE,sys/div/dom_int/dom_int/station;DL/ACS/D/D/APN,,,,
,5,dom_int;D,A0,dom_int/station;D/ATL,1145221,1537760,74.47%,18.57%,9009617,,,dom_int,D,dom_int/station,D/ATL,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ASE,,,,
,5,dom_int;D,A0,dom_int/station;D/ATW,9064,13792,65.72%,0.15%,9009617,,,dom_int,D,dom_int/station,D/ATW,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ATL,,,,
,5,dom_int;D,A0,dom_int/station;D/ATY,1439,1766,81.48%,0.02%,9009617,,,dom_int,D,dom_int/station,D/ATY,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ATW,,,,
,5,dom_int;D,A0,dom_int/station;D/AUS,73013,107832,67.71%,1.18%,9009617,,,dom_int,D,dom_int/station,D/AUS,sys/div/dom_int/dom_int/station;DL/ACS/D/D/ATY,,,,
,5,dom_int;D,A0,dom_int/station;D/AVL,12287,17265,71.17%,0.20%,9009617,,,dom_int,D,dom_int/station,D/AVL,sys/div/dom_int/dom_int/station;DL/ACS/D/D/AUS,,,,
,5,dom_int;D,A0,dom_int/station;D/AZO,3573,5528,64.63%,0.06%,9009617,,,dom_int,D,dom_int/station,D/AZO,sys/div/dom_int/dom_int/station;DL/ACS/D/D/AVL,,,,
,5,dom_int;D,A0,dom_int/station;D/BDL,15144,23571,64.25%,0.25%,9009617,,,dom_int,D,dom_int/station,D/BDL,sys/div/dom_int/dom_int/station;DL/ACS/D/D/AZO,,,,
,5,dom_int;D,A0,dom_int/station;D/BGM,1160,1700,68.24%,0.02%,9009617,,,dom_int,D,dom_int/station,D/BGM,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BDL,,,,
,5,dom_int;D,A0,dom_int/station;D/BGR,5153,7224,71.33%,0.08%,9009617,,,dom_int,D,dom_int/station,D/BGR,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BGM,,,,
,5,dom_int;D,A0,dom_int/station;D/BHM,18854,27495,68.57%,0.31%,9009617,,,dom_int,D,dom_int/station,D/BHM,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BGR,,,,
,5,dom_int;D,A0,dom_int/station;D/BIL,5883,7999,73.55%,0.10%,9009617,,,dom_int,D,dom_int/station,D/BIL,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BHM,,,,
,5,dom_int;D,A0,dom_int/station;D/BIS,6534,9644,67.75%,0.11%,9009617,,,dom_int,D,dom_int/station,D/BIS,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BIL,,,,
,5,dom_int;D,A0,dom_int/station;D/BJI,3028,4037,75.01%,0.05%,9009617,,,dom_int,D,dom_int/station,D/BJI,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BIS,,,,
,5,dom_int;D,A0,dom_int/station;D/BMI,2842,4301,66.08%,0.05%,9009617,,,dom_int,D,dom_int/station,D/BMI,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BJI,,,,
,5,dom_int;D,A0,dom_int/station;D/BNA,54771,82169,66.66%,0.89%,9009617,,,dom_int,D,dom_int/station,D/BNA,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BMI,,,,
,5,dom_int;D,A0,dom_int/station;D/BOI,24319,33530,72.53%,0.39%,9009617,,,dom_int,D,dom_int/station,D/BOI,sys/div/dom_int/dom_int/station;DL/ACS/D/D/BNA,,,,
