Baseline,Category,Tier,Parent_Node,Node_Name,D0_Num,D0_Den,Baseline,Stretch,Contribution,Goal D0 Num,Goal D0 Den,Goal,,QA Roll-Up,Note
LTM,Enterprise,1,,Nwk Sys,"1,233,280","1,789,658",68.9%,3.0%,,1299386,1830667,71.0%,,,
LTM,Carrier,2,Nwk Sys,DC,"452,508","624,306",72.5%,,36.7%,476763,643409,74.1%,,TRUE,
LTM,Carrier,2,Nwk Sys,DL,"780,772","1,165,352",67.0%,,63.3%,822623,1187257,69.3%,,,
LTM,DC_Carrier,3,DC,9E ,"177,018","257,725",68.7%,,39.1%,186506,265611,70.2%,,TRUE,
LTM,DC_Carrier,3,DC,OO ,"203,943","266,951",76.4%,,45.1%,214875,275119,78.1%,,,
LTM,DC_Carrier,3,DC,YX ,"71,547","99,630",71.8%,,15.8%,75382,102679,73.4%,,,
LTM,ML_Station,4,DL,ABE  ,9,24,37.5%,,0.0%,9,24,38.8%,,FALSE,Note: Only took US stations
LTM,ML_Station,4,DL,ABQ  ,893,"1,142",78.2%,,0.1%,941,1163,80.9%,,,
LTM,ML_Station,4,DL,AGS  ,382,568,67.3%,,0.0%,402,579,69.6%,,,
LTM,ML_Station,4,DL,ALB  ,906,"1,319",68.7%,,0.1%,955,1344,71.0%,,,
LTM,ML_Station,4,DL,ANC  ,"1,877","2,698",69.6%,,0.2%,1978,2749,71.9%,,,
LTM,ML_Station,4,DL,ATL  ,"174,875","267,127",65.5%,,22.4%,184249,272148,67.7%,,,
LTM,ML_Station,4,DL,ATW  ,319,425,75.1%,,0.0%,336,433,77.6%,,,
LTM,ML_Station,4,DL,AUS  ,"8,986","12,976",69.3%,,1.2%,9468,13220,71.6%,,,
LTM,ML_Station,4,DL,AVL  ,"1,390","2,033",68.4%,,0.2%,1465,2071,70.7%,,,
LTM,ML_Station,4,DL,BDL  ,"2,902","4,190",69.3%,,0.4%,3058,4269,71.6%,,,
LTM,ML_Station,4,DL,BGR  ,25,41,61.0%,,0.0%,26,42,63.1%,,,
LTM,ML_Station,4,DL,BHM  ,"2,577","3,328",77.4%,,0.3%,2715,3391,80.1%,,,
LTM,ML_Station,4,DL,BIL  ,673,726,92.7%,,0.1%,709,740,95.9%,,,
LTM,ML_Station,4,DL,BIS  ,284,399,71.2%,,0.0%,299,407,73.6%,,,
LTM,ML_Station,4,DL,BNA  ,"6,726","9,166",73.4%,,0.9%,7087,9338,75.9%,,,
LTM,ML_Station,4,DL,BOI  ,"1,840","2,524",72.9%,,0.2%,1939,2571,75.4%,,,
LTM,ML_Station,4,DL,BOS  ,"18,834","29,343",64.2%,,2.4%,19844,29895,66.4%,,,
LTM,ML_Station,4,DL,BTR  ,697,990,70.4%,,0.1%,734,1009,72.8%,,,
LTM,ML_Station,4,DL,BTV  ,267,383,69.7%,,0.0%,281,390,72.1%,,,
LTM,ML_Station,4,DL,BUF  ,"1,053","1,747",60.3%,,0.1%,1109,1780,62.3%,,,
LTM,ML_Station,4,DL,BUR  ,511,742,68.9%,,0.1%,538,756,71.2%,,,
LTM,ML_Station,4,DL,BWI  ,"3,513","5,209",67.4%,,0.4%,3701,5307,69.7%,,,
LTM,ML_Station,4,DL,BZN  ,"1,530","1,990",76.9%,,0.2%,1612,2027,79.5%,,,
LTM,ML_Station,4,DL,CAE  ,"1,271","1,841",69.0%,,0.2%,1339,1876,71.4%,,,
LTM,ML_Station,4,DL,CHA  ,886,"1,288",68.8%,,0.1%,933,1312,71.1%,,,
LTM,ML_Station,4,DL,CHO  ,148,197,75.1%,,0.0%,156,201,77.7%,,,
LTM,ML_Station,4,DL,CHS  ,"3,431","4,505",76.2%,,0.4%,3615,4590,78.8%,,,
LTM,ML_Station,4,DL,CID  ,277,357,77.6%,,0.0%,292,364,80.2%,,,
LTM,ML_Station,4,DL,CLE  ,"2,526","3,576",70.6%,,0.3%,2661,3643,73.1%,,,
LTM,ML_Station,4,DL,CLT  ,"3,958","5,430",72.9%,,0.5%,4170,5532,75.4%,,,
LTM,ML_Station,4,DL,CMH  ,"2,843","3,665",77.6%,,0.4%,2995,3734,80.2%,,,
LTM,ML_Station,4,DL,COS  ,493,642,76.8%,,0.1%,519,654,79.4%,,,
LTM,ML_Station,4,DL,CSG  ,2,6,33.3%,,0.0%,2,6,34.5%,,,
LTM,ML_Station,4,DL,CVG  ,"5,363","7,786",68.9%,,0.7%,5650,7932,71.2%,,,
LTM,ML_Station,4,DL,DAB  ,"1,094","1,450",75.4%,,0.1%,1153,1477,78.0%,,,
LTM,ML_Station,4,DL,DAL  ,"1,180","1,812",65.1%,,0.2%,1243,1846,67.3%,,,
LTM,ML_Station,4,DL,DAY  ,"1,069","1,376",77.7%,,0.1%,1126,1402,80.3%,,,
LTM,ML_Station,4,DL,DCA  ,"5,785","9,263",62.5%,,0.7%,6095,9437,64.6%,,,
LTM,ML_Station,4,DL,DEN  ,"7,533","11,424",65.9%,,1.0%,7937,11639,68.2%,,,
LTM,ML_Station,4,DL,DFW  ,"7,506","11,447",65.6%,,1.0%,7908,11662,67.8%,,,
LTM,ML_Station,4,DL,DLH  ,4,4,100.0%,,0.0%,4,4,103.4%,,,
LTM,ML_Station,4,DL,DSM  ,953,"1,223",77.9%,,0.1%,1004,1246,80.6%,,,
LTM,ML_Station,4,DL,DTW  ,"42,167","64,944",64.9%,,5.4%,44427,66165,67.1%,,,
LTM,ML_Station,4,DL,ECP  ,"1,706","2,384",71.6%,,0.2%,1797,2429,74.0%,,,
LTM,ML_Station,4,DL,EGE  ,127,199,63.8%,,0.0%,134,203,66.0%,,,
LTM,ML_Station,4,DL,ELP  ,527,711,74.1%,,0.1%,555,724,76.7%,,,
LTM,ML_Station,4,DL,EWR  ,"3,964","6,430",61.6%,,0.5%,4176,6551,63.8%,,,
LTM,ML_Station,4,DL,EYW  ,"1,050","1,446",72.6%,,0.1%,1106,1473,75.1%,,,
LTM,ML_Station,4,DL,FAI  ,380,632,60.1%,,0.0%,400,644,62.2%,,,
LTM,ML_Station,4,DL,FAR  ,515,698,73.8%,,0.1%,543,711,76.3%,,,
LTM,ML_Station,4,DL,FAT  ,44,61,72.1%,,0.0%,46,62,74.6%,,,
LTM,ML_Station,4,DL,FAY  ,13,35,37.1%,,0.0%,14,36,38.4%,,,
LTM,ML_Station,4,DL,FCA  ,650,880,73.9%,,0.1%,685,897,76.4%,,,
