KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
ADI,ADI,,Root,0,1,Goal,Root,ADI,11,No
ADI,ACS,ADI,div,1,13.17,Goal,Root/div,ADI/ACS,394,No
ADI,AMS_Director,ACS,director,2,0.28,Goal,Root/div/director,ADI/ACS/AMS_Director,0,Yes
ADI,APAC_Director,ACS,director,2,0.3,Goal,Root/div/director,ADI/ACS/APAC_Director,0,Yes
ADI,AUS_Director,ACS,director,2,0.35,Goal,Root/div/director,ADI/ACS/AUS_Director,0,Yes
ADI,CANMEX_Director,ACS,director,2,0.31,Goal,Root/div/director,ADI/ACS/CANMEX_Director,0,Yes
ADI,Caribbean_Director,ACS,director,2,0.33,Goal,Root/div/director,ADI/ACS/Caribbean_Director,0,Yes
ADI,CASA_Director,ACS,director,2,0.35,Goal,Root/div/director,ADI/ACS/CASA_Director,0,Yes
ADI,CDG_Director,ACS,director,2,0.18,Goal,Root/div/director,ADI/ACS/CDG_Director,0,Yes
ADI,Central_Director,ACS,director,2,0.29,Goal,Root/div/director,ADI/ACS/Central_Director,0,Yes
ADI,East_Director,ACS,director,2,0.1,Goal,Root/div/director,ADI/ACS/East_Director,0,Yes
ADI,EMEA-A,ACS,director,2,0.1,Goal,Root/div/director,ADI/ACS/EMEA-A,0,Yes
ADI,EMEA-B,ACS,director,2,0.17,Goal,Root/div/director,ADI/ACS/EMEA-B,0,Yes
ADI,FieldStations_Director,ACS,director,2,0.39,Goal,Root/div/director,ADI/ACS/FieldStations_Director,0,Yes
ADI,Florida_Director,ACS,director,2,0.44,Goal,Root/div/director,ADI/ACS/Florida_Director,0,Yes
ADI,Hub_ATL,ACS,director,2,0.44,Goal,Root/div/director,ADI/ACS/Hub_ATL,0,Yes
ADI,Hub_BOS,ACS,director,2,0.41,Goal,Root/div/director,ADI/ACS/Hub_BOS,0,Yes
ADI,Hub_DTW,ACS,director,2,0.31,Goal,Root/div/director,ADI/ACS/Hub_DTW,0,Yes
ADI,Hub_JFK,ACS,director,2,0.05,Goal,Root/div/director,ADI/ACS/Hub_JFK,0,Yes
ADI,Hub_LAX,ACS,director,2,0.15,Goal,Root/div/director,ADI/ACS/Hub_LAX,0,Yes
ADI,Hub_LGA,ACS,director,2,0.2,Goal,Root/div/director,ADI/ACS/Hub_LGA,0,Yes
ADI,Hub_MSP,ACS,director,2,0.28,Goal,Root/div/director,ADI/ACS/Hub_MSP,0,Yes
ADI,Hub_SEA,ACS,director,2,0.38,Goal,Root/div/director,ADI/ACS/Hub_SEA,0,Yes
ADI,Hub_SLC,ACS,director,2,0.47,Goal,Root/div/director,ADI/ACS/Hub_SLC,0,Yes
ADI,West_Director,ACS,director,2,0.32,Goal,Root/div/director,ADI/ACS/West_Director,0,Yes
ADI,ACSATL,ACS,division,2,0.27,Goal,Root/div/division,ADI/ACS/ACSATL,0,Yes
ADI,DTW_AUS_FL,ACS,division,2,0.18,Goal,Root/div/division,ADI/ACS/DTW_AUS_FL,0,Yes
ADI,East,ACS,division,2,0.07,Goal,Root/div/division,ADI/ACS/East,0,Yes
ADI,FieldStations,ACS,division,2,0.07,Goal,Root/div/division,ADI/ACS/FieldStations,0,Yes
ADI,International,ACS,division,2,0.03,Goal,Root/div/division,ADI/ACS/International,0,Yes
ADI,JFK_BOS,ACS,division,2,0.37,Goal,Root/div/division,ADI/ACS/JFK_BOS,0,Yes
ADI,MSP_SEA_SLC,ACS,division,2,0.35,Goal,Root/div/division,ADI/ACS/MSP_SEA_SLC,0,Yes
ADI,West_Central,ACS,division,2,0.34,Goal,Root/div/division,ADI/ACS/West_Central,0,Yes
ADI,AMS_Region,ACS,region,2,0.37,Goal,Root/div/region,ADI/ACS/AMS_Region,0,Yes
ADI,AUS_Region,ACS,region,2,0.01,Goal,Root/div/region,ADI/ACS/AUS_Region,0,Yes
ADI,Canada_Region,ACS,region,2,0.48,Goal,Root/div/region,ADI/ACS/Canada_Region,0,Yes
ADI,Caribbean_Region,ACS,region,2,0.28,Goal,Root/div/region,ADI/ACS/Caribbean_Region,0,Yes
ADI,CDG_Region,ACS,region,2,0.28,Goal,Root/div/region,ADI/ACS/CDG_Region,0,Yes
ADI,CentralAmerica_Region,ACS,region,2,0.04,Goal,Root/div/region,ADI/ACS/CentralAmerica_Region,0,Yes
ADI,Central_Region,ACS,region,2,0.3,Goal,Root/div/region,ADI/ACS/Central_Region,0,Yes
ADI,EastAsia_Region,ACS,region,2,0.08,Goal,Root/div/region,ADI/ACS/EastAsia_Region,0,Yes
ADI,Florida_Region,ACS,region,2,0.16,Goal,Root/div/region,ADI/ACS/Florida_Region,0,Yes
ADI,FS_Central,ACS,region,2,0.15,Goal,Root/div/region,ADI/ACS/FS_Central,0,Yes
ADI,FS_East,ACS,region,2,0.35,Goal,Root/div/region,ADI/ACS/FS_East,0,Yes
ADI,FS_MountainWest,ACS,region,2,0.32,Goal,Root/div/region,ADI/ACS/FS_MountainWest,0,Yes
ADI,FS_South,ACS,region,2,0.13,Goal,Root/div/region,ADI/ACS/FS_South,0,Yes
ADI,FS_West,ACS,region,2,0.44,Goal,Root/div/region,ADI/ACS/FS_West,0,Yes
ADI,GreatLakes_Region,ACS,region,2,0.2,Goal,Root/div/region,ADI/ACS/GreatLakes_Region,0,Yes
ADI,MCO_Region,ACS,region,2,0.4,Goal,Root/div/region,ADI/ACS/MCO_Region,0,Yes
ADI,Mexico_Region,ACS,region,2,0.24,Goal,Root/div/region,ADI/ACS/Mexico_Region,0,Yes
ADI,MIA_Region,ACS,region,2,0.27,Goal,Root/div/region,ADI/ACS/MIA_Region,0,Yes
ADI,Northeast_Region,ACS,region,2,0.26,Goal,Root/div/region,ADI/ACS/Northeast_Region,0,Yes
ADI,SouthAmerica_Region,ACS,region,2,0.24,Goal,Root/div/region,ADI/ACS/SouthAmerica_Region,0,Yes
ADI,Southeast_Region,ACS,region,2,0.04,Goal,Root/div/region,ADI/ACS/Southeast_Region,0,Yes
