KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
ADR,ADR,,Root,0,1,Goal,Root,ADR,3,No
ADR,ACS,ADR,div,1,37.76,Goal,Root/div,ADR/ACS,384,No
ADR,APAC_Director,ACS,director,2,0.46,Goal,Root/div/director,ADR/ACS/APAC_Director,0,Yes
ADR,AUS_Director,ACS,director,2,0.35,Goal,Root/div/director,ADR/ACS/AUS_Director,0,Yes
ADR,CANMEX_Director,ACS,director,2,0.18,Goal,Root/div/director,ADR/ACS/CANMEX_Director,0,Yes
ADR,Caribbean_Director,ACS,director,2,0.01,Goal,Root/div/director,ADR/ACS/Caribbean_Director,0,Yes
ADR,CASA_Director,ACS,director,2,0.49,Goal,Root/div/director,ADR/ACS/CASA_Director,0,Yes
ADR,Central_Director,ACS,director,2,0.26,Goal,Root/div/director,ADR/ACS/Central_Director,0,Yes
ADR,East_Director,ACS,director,2,0.23,Goal,Root/div/director,ADR/ACS/East_Director,0,Yes
ADR,EMEA-A,ACS,director,2,0.35,Goal,Root/div/director,ADR/ACS/EMEA-A,0,Yes
ADR,EMEA-B,ACS,director,2,0.32,Goal,Root/div/director,ADR/ACS/EMEA-B,0,Yes
ADR,FieldStations_Director,ACS,director,2,0.03,Goal,Root/div/director,ADR/ACS/FieldStations_Director,0,Yes
ADR,Florida_Director,ACS,director,2,0.11,Goal,Root/div/director,ADR/ACS/Florida_Director,0,Yes
ADR,Hub_ATL,ACS,director,2,0.02,Goal,Root/div/director,ADR/ACS/Hub_ATL,0,Yes
ADR,Hub_BOS,ACS,director,2,0.04,Goal,Root/div/director,ADR/ACS/Hub_BOS,0,Yes
ADR,Hub_DTW,ACS,director,2,0.13,Goal,Root/div/director,ADR/ACS/Hub_DTW,0,Yes
ADR,Hub_JFK,ACS,director,2,0.51,Goal,Root/div/director,ADR/ACS/Hub_JFK,0,Yes
ADR,Hub_LAX,ACS,director,2,0.23,Goal,Root/div/director,ADR/ACS/Hub_LAX,0,Yes
ADR,Hub_LGA,ACS,director,2,0.07,Goal,Root/div/director,ADR/ACS/Hub_LGA,0,Yes
ADR,Hub_MSP,ACS,director,2,0.49,Goal,Root/div/director,ADR/ACS/Hub_MSP,0,Yes
ADR,Hub_SEA,ACS,director,2,0.2,Goal,Root/div/director,ADR/ACS/Hub_SEA,0,Yes
ADR,Hub_SLC,ACS,director,2,0.19,Goal,Root/div/director,ADR/ACS/Hub_SLC,0,Yes
ADR,West_Director,ACS,director,2,0.54,Goal,Root/div/director,ADR/ACS/West_Director,0,Yes
ADR,ACSATL,ACS,division,2,0.28,Goal,Root/div/division,ADR/ACS/ACSATL,0,Yes
ADR,DTW_AUS_FL,ACS,division,2,0.15,Goal,Root/div/division,ADR/ACS/DTW_AUS_FL,0,Yes
ADR,East,ACS,division,2,0.47,Goal,Root/div/division,ADR/ACS/East,0,Yes
ADR,FieldStations,ACS,division,2,0.43,Goal,Root/div/division,ADR/ACS/FieldStations,0,Yes
ADR,International,ACS,division,2,0.2,Goal,Root/div/division,ADR/ACS/International,0,Yes
ADR,JFK_BOS,ACS,division,2,0.3,Goal,Root/div/division,ADR/ACS/JFK_BOS,0,Yes
ADR,MSP_SEA_SLC,ACS,division,2,0.32,Goal,Root/div/division,ADR/ACS/MSP_SEA_SLC,0,Yes
ADR,West_Central,ACS,division,2,0.31,Goal,Root/div/division,ADR/ACS/West_Central,0,Yes
ADR,AMS_Region,ACS,region,2,0.52,Goal,Root/div/region,ADR/ACS/AMS_Region,0,Yes
ADR,AUS_Region,ACS,region,2,0.21,Goal,Root/div/region,ADR/ACS/AUS_Region,0,Yes
ADR,Canada_Region,ACS,region,2,0.45,Goal,Root/div/region,ADR/ACS/Canada_Region,0,Yes
ADR,Caribbean_Region,ACS,region,2,0.08,Goal,Root/div/region,ADR/ACS/Caribbean_Region,0,Yes
ADR,CDG_Region,ACS,region,2,0.16,Goal,Root/div/region,ADR/ACS/CDG_Region,0,Yes
ADR,CentralAmerica_Region,ACS,region,2,0.15,Goal,Root/div/region,ADR/ACS/CentralAmerica_Region,0,Yes
ADR,Central_Region,ACS,region,2,0.17,Goal,Root/div/region,ADR/ACS/Central_Region,0,Yes
ADR,EastAsia_Region,ACS,region,2,0.14,Goal,Root/div/region,ADR/ACS/EastAsia_Region,0,Yes
