KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
APU_GATE_RT,APU_GATE_RT,,Root,0,1,Goal,Root,APU_GATE_RT,3,No
APU_GATE_RT,VND,APU_GATE_RT,div,1,15.77,Goal,Root/div,APU_GATE_RT/VND,117,No
APU_GATE_RT,ABE,VND,station,2,1.58,Goal,Root/div/station,APU_GATE_RT/VND/ABE,1,No
APU_GATE_RT,Unifi,ABE,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/ABE/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/ABE/Unifi/FS,0,Yes
APU_GATE_RT,ABR,VND,station,2,0.28,Goal,Root/div/station,APU_GATE_RT/VND/ABR,1,No
APU_GATE_RT,Unifi,ABR,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/ABR/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/ABR/Unifi/FS,0,Yes
APU_GATE_RT,ABY,VND,station,2,0.6,Goal,Root/div/station,APU_GATE_RT/VND/ABY,1,No
APU_GATE_RT,Menzies Aviation,ABY,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/ABY/Menzies Aviation,1,No
APU_GATE_RT,FS,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/ABY/Menzies Aviation/FS,0,Yes
APU_GATE_RT,ACK,VND,station,2,0.91,Goal,Root/div/station,APU_GATE_RT/VND/ACK,1,No
APU_GATE_RT,Unifi,ACK,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/ACK/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/ACK/Unifi/FS,0,Yes
APU_GATE_RT,AEX,VND,station,2,0.28,Goal,Root/div/station,APU_GATE_RT/VND/AEX,1,No
APU_GATE_RT,Unifi,AEX,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/AEX/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/AEX/Unifi/FS,0,Yes
APU_GATE_RT,AGS,VND,station,2,0.38,Goal,Root/div/station,APU_GATE_RT/VND/AGS,1,No
APU_GATE_RT,Unifi,AGS,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/AGS/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/AGS/Unifi/FS,0,Yes
APU_GATE_RT,APN,VND,station,2,0.71,Goal,Root/div/station,APU_GATE_RT/VND/APN,1,No
APU_GATE_RT,Unifi,APN,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/APN/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/APN/Unifi/FS,0,Yes
APU_GATE_RT,ASE,VND,station,2,1.47,Goal,Root/div/station,APU_GATE_RT/VND/ASE,1,No
APU_GATE_RT,SkyWest,ASE,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/ASE/SkyWest,1,No
APU_GATE_RT,FS,SkyWest,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/ASE/SkyWest/FS,0,Yes
APU_GATE_RT,ATW,VND,station,2,1.51,Goal,Root/div/station,APU_GATE_RT/VND/ATW,1,No
APU_GATE_RT,Unifi,ATW,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/ATW/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/ATW/Unifi/FS,0,Yes
APU_GATE_RT,AVL,VND,station,2,1.31,Goal,Root/div/station,APU_GATE_RT/VND/AVL,1,No
APU_GATE_RT,Unifi,AVL,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/AVL/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/AVL/Unifi/FS,0,Yes
APU_GATE_RT,AZO,VND,station,2,0.87,Goal,Root/div/station,APU_GATE_RT/VND/AZO,1,No
APU_GATE_RT,Unifi,AZO,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/AZO/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/AZO/Unifi/FS,0,Yes
APU_GATE_RT,BGR,VND,station,2,0.51,Goal,Root/div/station,APU_GATE_RT/VND/BGR,1,No
APU_GATE_RT,Unifi,BGR,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/BGR/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/BGR/Unifi/FS,0,Yes
APU_GATE_RT,BIL,VND,station,2,0.69,Goal,Root/div/station,APU_GATE_RT/VND/BIL,1,No
APU_GATE_RT,Unifi,BIL,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/BIL/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/BIL/Unifi/FS,0,Yes
APU_GATE_RT,BIS,VND,station,2,0.79,Goal,Root/div/station,APU_GATE_RT/VND/BIS,1,No
APU_GATE_RT,Unifi,BIS,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/BIS/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/BIS/Unifi/FS,0,Yes
APU_GATE_RT,BJI,VND,station,2,0.36,Goal,Root/div/station,APU_GATE_RT/VND/BJI,1,No
APU_GATE_RT,Unifi,BJI,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/BJI/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/BJI/Unifi/FS,0,Yes
APU_GATE_RT,BMI,VND,station,2,0.96,Goal,Root/div/station,APU_GATE_RT/VND/BMI,1,No
APU_GATE_RT,Unifi,BMI,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/BMI/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/BMI/Unifi/FS,0,Yes
APU_GATE_RT,BQK,VND,station,2,0.2,Goal,Root/div/station,APU_GATE_RT/VND/BQK,1,No
APU_GATE_RT,Menzies Aviation,BQK,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/BQK/Menzies Aviation,1,No
APU_GATE_RT,FS,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/BQK/Menzies Aviation/FS,0,Yes
APU_GATE_RT,BRD,VND,station,2,1.05,Goal,Root/div/station,APU_GATE_RT/VND/BRD,1,No
APU_GATE_RT,Unifi,BRD,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/BRD/Unifi,1,No
APU_GATE_RT,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/BRD/Unifi/FS,0,Yes
APU_GATE_RT,BTM,VND,station,2,1.39,Goal,Root/div/station,APU_GATE_RT/VND/BTM,1,No
APU_GATE_RT,SkyWest,BTM,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/BTM/SkyWest,1,No
APU_GATE_RT,FS,SkyWest,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,APU_GATE_RT/VND/BTM/SkyWest/FS,0,Yes
APU_GATE_RT,BTR,VND,station,2,1.18,Goal,Root/div/station,APU_GATE_RT/VND/BTR,1,No
APU_GATE_RT,Unifi,BTR,vendor,3,100.0,Goal,Root/div/station/vendor,APU_GATE_RT/VND/BTR/Unifi,1,No
