KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
APU_RT_ARR,APU_RT_ARR,,Root,0,1,Goal,Root,APU_RT_ARR,6,No
APU_RT_ARR,ML,APU_RT_ARR,carrier,1,15.87,Goal,Root/carrier,APU_RT_ARR/ML,0,Yes
APU_RT_ARR,9E,APU_RT_ARR,dc_carrier,1,15.28,Goal,Root/dc_carrier,APU_RT_ARR/9E,0,Yes
APU_RT_ARR,OO,APU_RT_ARR,dc_carrier,1,13.86,Goal,Root/dc_carrier,APU_RT_ARR/OO,0,Yes
APU_RT_ARR,YX,APU_RT_ARR,dc_carrier,1,19.48,Goal,Root/dc_carrier,APU_RT_ARR/YX,0,Yes
APU_RT_ARR,ACS,APU_RT_ARR,div,1,15.02,Goal,Root/div,APU_RT_ARR/ACS,358,No
APU_RT_ARR,DC,ACS,carrier,2,0.13,Goal,Root/div/carrier,APU_RT_ARR/ACS/DC,246,No
APU_RT_ARR,AUS_Director,DC,director,3,0.62,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/AUS_Director,0,Yes
APU_RT_ARR,CANMEX_Director,DC,director,3,0.21,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/CANMEX_Director,0,Yes
APU_RT_ARR,Central_Director,DC,director,3,0.3,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/Central_Director,0,Yes
APU_RT_ARR,East_Director,DC,director,3,0.81,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/East_Director,0,Yes
APU_RT_ARR,FieldStations_Director,DC,director,3,0.71,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/FieldStations_Director,0,Yes
APU_RT_ARR,Florida_Director,DC,director,3,0.32,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/Florida_Director,0,Yes
APU_RT_ARR,Hub_ATL,DC,director,3,0.35,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/Hub_ATL,0,Yes
APU_RT_ARR,Hub_BOS,DC,director,3,0.1,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/Hub_BOS,0,Yes
APU_RT_ARR,Hub_DTW,DC,director,3,0.61,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/Hub_DTW,0,Yes
APU_RT_ARR,Hub_JFK,DC,director,3,0.26,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/Hub_JFK,0,Yes
APU_RT_ARR,Hub_LAX,DC,director,3,0.17,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/Hub_LAX,0,Yes
APU_RT_ARR,Hub_LGA,DC,director,3,0.24,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/Hub_LGA,0,Yes
APU_RT_ARR,Hub_MSP,DC,director,3,0.08,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/Hub_MSP,0,Yes
APU_RT_ARR,Hub_SEA,DC,director,3,0.17,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/Hub_SEA,0,Yes
APU_RT_ARR,Hub_SLC,DC,director,3,0.04,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/Hub_SLC,0,Yes
APU_RT_ARR,West_Director,DC,director,3,0.18,Goal,Root/div/carrier/director,APU_RT_ARR/ACS/DC/West_Director,0,Yes
APU_RT_ARR,ACSATL,DC,division,3,0.33,Goal,Root/div/carrier/division,APU_RT_ARR/ACS/DC/ACSATL,0,Yes
APU_RT_ARR,ACSJFK,DC,division,3,0.38,Goal,Root/div/carrier/division,APU_RT_ARR/ACS/DC/ACSJFK,0,Yes
APU_RT_ARR,DTW_AUS_FL,DC,division,3,0.75,Goal,Root/div/carrier/division,APU_RT_ARR/ACS/DC/DTW_AUS_FL,0,Yes
APU_RT_ARR,East,DC,division,3,0.03,Goal,Root/div/carrier/division,APU_RT_ARR/ACS/DC/East,0,Yes
APU_RT_ARR,FieldStations,DC,division,3,0.18,Goal,Root/div/carrier/division,APU_RT_ARR/ACS/DC/FieldStations,0,Yes
APU_RT_ARR,International,DC,division,3,0.18,Goal,Root/div/carrier/division,APU_RT_ARR/ACS/DC/International,0,Yes
APU_RT_ARR,MSP_SEA_SLC,DC,division,3,0.5,Goal,Root/div/carrier/division,APU_RT_ARR/ACS/DC/MSP_SEA_SLC,0,Yes
APU_RT_ARR,West_Central,DC,division,3,0.6,Goal,Root/div/carrier/division,APU_RT_ARR/ACS/DC/West_Central,0,Yes
APU_RT_ARR,AUS_Region,DC,region,3,0.8,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/AUS_Region,0,Yes
APU_RT_ARR,Canada_Region,DC,region,3,0.16,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/Canada_Region,0,Yes
APU_RT_ARR,Central_Region,DC,region,3,0.58,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/Central_Region,0,Yes
APU_RT_ARR,Florida_Region,DC,region,3,0.67,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/Florida_Region,0,Yes
APU_RT_ARR,FS_Central,DC,region,3,0.74,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/FS_Central,0,Yes
APU_RT_ARR,FS_East,DC,region,3,0.06,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/FS_East,0,Yes
APU_RT_ARR,FS_MountainWest,DC,region,3,0.31,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/FS_MountainWest,0,Yes
APU_RT_ARR,FS_South,DC,region,3,0.54,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/FS_South,0,Yes
APU_RT_ARR,FS_West,DC,region,3,0.68,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/FS_West,0,Yes
APU_RT_ARR,GreatLakes_Region,DC,region,3,0.65,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/GreatLakes_Region,0,Yes
APU_RT_ARR,MCO_Region,DC,region,3,0.71,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/MCO_Region,0,Yes
APU_RT_ARR,MIA_Region,DC,region,3,0.61,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/MIA_Region,0,Yes
APU_RT_ARR,Northeast_Region,DC,region,3,0.71,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/Northeast_Region,0,Yes
APU_RT_ARR,Southeast_Region,DC,region,3,0.62,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/Southeast_Region,0,Yes
APU_RT_ARR,SouthWest_Region,DC,region,3,0.51,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/SouthWest_Region,0,Yes
APU_RT_ARR,West_Region,DC,region,3,0.07,Goal,Root/div/carrier/region,APU_RT_ARR/ACS/DC/West_Region,0,Yes
APU_RT_ARR,ABE,DC,station,3,0.07,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/ABE,0,Yes
APU_RT_ARR,ABQ,DC,station,3,0.65,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/ABQ,0,Yes
APU_RT_ARR,ABY,DC,station,3,0.7,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/ABY,0,Yes
APU_RT_ARR,ACK,DC,station,3,0.77,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/ACK,0,Yes
APU_RT_ARR,AEX,DC,station,3,0.21,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/AEX,0,Yes
APU_RT_ARR,AGS,DC,station,3,0.59,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/AGS,0,Yes
APU_RT_ARR,ALB,DC,station,3,0.45,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/ALB,0,Yes
APU_RT_ARR,APN,DC,station,3,0.7,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/APN,0,Yes
APU_RT_ARR,ASE,DC,station,3,0.65,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/ASE,0,Yes
APU_RT_ARR,ATL,DC,station,3,0.44,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/ATL,0,Yes
APU_RT_ARR,ATW,DC,station,3,0.83,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/ATW,0,Yes
APU_RT_ARR,ATY,DC,station,3,0.13,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/ATY,0,Yes
APU_RT_ARR,AUS,DC,station,3,0.58,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/AUS,0,Yes
APU_RT_ARR,AVL,DC,station,3,0.76,Goal,Root/div/carrier/station,APU_RT_ARR/ACS/DC/AVL,0,Yes
