KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
CF,CF,,Root,0,1,Goal,Root,CF,8,No
CF,9E,CF,dc_carrier,1,29.79,Goal,Root/dc_carrier,CF/9E,0,Yes
CF,OO,CF,dc_carrier,1,28.32,Goal,Root/dc_carrier,CF/OO,0,Yes
CF,YX,CF,dc_carrier,1,6.87,Goal,Root/dc_carrier,CF/YX,0,Yes
CF,FOP,CF,div,1,4.64,Goal,Root/div,CF/FOP,0,Yes
CF,DC,CF,carrier,1,3.52,Goal,Root/carrier,CF/DC,0,Yes
CF,ML,CF,carrier,1,8.53,Goal,Root/carrier,CF/ML,0,Yes
CF,DL,CF,sys,1,3.59,Goal,Root/sys,CF/DL,0,Yes
CF,TOP,CF,div,1,14.74,Goal,Root/div,CF/TOP,281,No
CF,ML,TOP,carrier,2,0.24,Goal,Root/div/carrier,CF/TOP/ML,1,No
CF,NON_MTC,ML,region,3,100.0,Goal,Root/div/carrier/region,CF/TOP/ML/NON_MTC,0,Yes
CF,A220-ALL,TOP,hgst_fleet,2,0.44,Goal,Root/div/hgst_fleet,CF/TOP/A220-ALL,0,Yes
CF,A319,TOP,hgst_fleet,2,0.11,Goal,Root/div/hgst_fleet,CF/TOP/A319,0,Yes
CF,A330-ALL,TOP,hgst_fleet,2,0.41,Goal,Root/div/hgst_fleet,CF/TOP/A330-ALL,0,Yes
CF,A350-ALL,TOP,hgst_fleet,2,0.53,Goal,Root/div/hgst_fleet,CF/TOP/A350-ALL,0,Yes
CF,B717-200,TOP,hgst_fleet,2,0.53,Goal,Root/div/hgst_fleet,CF/TOP/B717-200,0,Yes
CF,B737-ALL,TOP,hgst_fleet,2,0.22,Goal,Root/div/hgst_fleet,CF/TOP/B737-ALL,0,Yes
CF,B757-ALL,TOP,hgst_fleet,2,0.47,Goal,Root/div/hgst_fleet,CF/TOP/B757-ALL,0,Yes
CF,B767-300,TOP,hgst_fleet,2,0.53,Goal,Root/div/hgst_fleet,CF/TOP/B767-300,0,Yes
CF,B767-400,TOP,hgst_fleet,2,0.21,Goal,Root/div/hgst_fleet,CF/TOP/B767-400,0,Yes
CF,A221,TOP,lwst_fleet,2,0.44,Goal,Root/div/lwst_fleet,CF/TOP/A221,0,Yes
CF,A223,TOP,lwst_fleet,2,0.64,Goal,Root/div/lwst_fleet,CF/TOP/A223,0,Yes
CF,A321,TOP,lwst_fleet,2,0.56,Goal,Root/div/lwst_fleet,CF/TOP/A321,0,Yes
CF,A321CEO,TOP,lwst_fleet,2,0.65,Goal,Root/div/lwst_fleet,CF/TOP/A321CEO,0,Yes
CF,A321NEO,TOP,lwst_fleet,2,0.58,Goal,Root/div/lwst_fleet,CF/TOP/A321NEO,0,Yes
CF,A330CEO,TOP,lwst_fleet,2,0.47,Goal,Root/div/lwst_fleet,CF/TOP/A330CEO,0,Yes
CF,A330NEO,TOP,lwst_fleet,2,0.07,Goal,Root/div/lwst_fleet,CF/TOP/A330NEO,0,Yes
CF,A350-941,TOP,lwst_fleet,2,0.48,Goal,Root/div/lwst_fleet,CF/TOP/A350-941,0,Yes
CF,B737-800,TOP,lwst_fleet,2,0.49,Goal,Root/div/lwst_fleet,CF/TOP/B737-800,0,Yes
CF,B737-900,TOP,lwst_fleet,2,0.65,Goal,Root/div/lwst_fleet,CF/TOP/B737-900,0,Yes
CF,ATL,TOP,region,2,0.22,Goal,Root/div/region,CF/TOP/ATL,0,Yes
CF,Atlantic,TOP,region,2,0.27,Goal,Root/div/region,CF/TOP/Atlantic,0,Yes
CF,Central,TOP,region,2,0.29,Goal,Root/div/region,CF/TOP/Central,0,Yes
CF,East,TOP,region,2,0.58,Goal,Root/div/region,CF/TOP/East,0,Yes
CF,Northeast,TOP,region,2,0.65,Goal,Root/div/region,CF/TOP/Northeast,0,Yes
CF,Pacific,TOP,region,2,0.11,Goal,Root/div/region,CF/TOP/Pacific,0,Yes
CF,South America,TOP,region,2,0.38,Goal,Root/div/region,CF/TOP/South America,0,Yes
CF,West,TOP,region,2,0.39,Goal,Root/div/region,CF/TOP/West,0,Yes
CF,ABQ,TOP,station,2,0.13,Goal,Root/div/station,CF/TOP/ABQ,0,Yes
CF,ACC,TOP,station,2,0.33,Goal,Root/div/station,CF/TOP/ACC,0,Yes
CF,AGS,TOP,station,2,0.54,Goal,Root/div/station,CF/TOP/AGS,0,Yes
CF,AKL,TOP,station,2,0.17,Goal,Root/div/station,CF/TOP/AKL,0,Yes
CF,ALB,TOP,station,2,0.48,Goal,Root/div/station,CF/TOP/ALB,0,Yes
CF,AMS,TOP,station,2,0.15,Goal,Root/div/station,CF/TOP/AMS,0,Yes
CF,ANC,TOP,station,2,0.32,Goal,Root/div/station,CF/TOP/ANC,0,Yes
CF,ANU,TOP,station,2,0.39,Goal,Root/div/station,CF/TOP/ANU,0,Yes
CF,ARN,TOP,station,2,0.28,Goal,Root/div/station,CF/TOP/ARN,0,Yes
CF,ATH,TOP,station,2,0.51,Goal,Root/div/station,CF/TOP/ATH,0,Yes
CF,ATLD,TOP,station,2,0.19,Goal,Root/div/station,CF/TOP/ATLD,0,Yes
CF,ATLI,TOP,station,2,0.2,Goal,Root/div/station,CF/TOP/ATLI,0,Yes
CF,ATW,TOP,station,2,0.11,Goal,Root/div/station,CF/TOP/ATW,0,Yes
CF,AUA,TOP,station,2,0.43,Goal,Root/div/station,CF/TOP/AUA,0,Yes
CF,AUS,TOP,station,2,0.28,Goal,Root/div/station,CF/TOP/AUS,0,Yes
CF,AVL,TOP,station,2,0.18,Goal,Root/div/station,CF/TOP/AVL,0,Yes
CF,BCN,TOP,station,2,0.65,Goal,Root/div/station,CF/TOP/BCN,0,Yes
CF,BDA,TOP,station,2,0.58,Goal,Root/div/station,CF/TOP/BDA,0,Yes
CF,BDL,TOP,station,2,0.06,Goal,Root/div/station,CF/TOP/BDL,0,Yes
CF,BER,TOP,station,2,0.38,Goal,Root/div/station,CF/TOP/BER,0,Yes
CF,BGI,TOP,station,2,0.55,Goal,Root/div/station,CF/TOP/BGI,0,Yes
CF,BGR,TOP,station,2,0.61,Goal,Root/div/station,CF/TOP/BGR,0,Yes
CF,BHM,TOP,station,2,0.5,Goal,Root/div/station,CF/TOP/BHM,0,Yes
CF,BIL,TOP,station,2,0.61,Goal,Root/div/station,CF/TOP/BIL,0,Yes
CF,BIS,TOP,station,2,0.32,Goal,Root/div/station,CF/TOP/BIS,0,Yes
CF,BNA,TOP,station,2,0.23,Goal,Root/div/station,CF/TOP/BNA,0,Yes
CF,BNE,TOP,station,2,0.26,Goal,Root/div/station,CF/TOP/BNE,0,Yes
CF,BOG,TOP,station,2,0.22,Goal,Root/div/station,CF/TOP/BOG,0,Yes
CF,BOI,TOP,station,2,0.08,Goal,Root/div/station,CF/TOP/BOI,0,Yes
CF,BON,TOP,station,2,0.1,Goal,Root/div/station,CF/TOP/BON,0,Yes
CF,BOS,TOP,station,2,0.57,Goal,Root/div/station,CF/TOP/BOS,0,Yes
CF,BRU,TOP,station,2,0.36,Goal,Root/div/station,CF/TOP/BRU,0,Yes
CF,BTR,TOP,station,2,0.35,Goal,Root/div/station,CF/TOP/BTR,0,Yes
CF,BTV,TOP,station,2,0.33,Goal,Root/div/station,CF/TOP/BTV,0,Yes
CF,BUF,TOP,station,2,0.32,Goal,Root/div/station,CF/TOP/BUF,0,Yes
CF,BUR,TOP,station,2,0.4,Goal,Root/div/station,CF/TOP/BUR,0,Yes
CF,BWI,TOP,station,2,0.56,Goal,Root/div/station,CF/TOP/BWI,0,Yes
CF,BZE,TOP,station,2,0.33,Goal,Root/div/station,CF/TOP/BZE,0,Yes
CF,BZN,TOP,station,2,0.41,Goal,Root/div/station,CF/TOP/BZN,0,Yes
CF,CAE,TOP,station,2,0.22,Goal,Root/div/station,CF/TOP/CAE,0,Yes
CF,CDG,TOP,station,2,0.11,Goal,Root/div/station,CF/TOP/CDG,0,Yes
CF,CHA,TOP,station,2,0.49,Goal,Root/div/station,CF/TOP/CHA,0,Yes
CF,CHO,TOP,station,2,0.26,Goal,Root/div/station,CF/TOP/CHO,0,Yes
CF,CHS,TOP,station,2,0.67,Goal,Root/div/station,CF/TOP/CHS,0,Yes
CF,CID,TOP,station,2,0.18,Goal,Root/div/station,CF/TOP/CID,0,Yes
CF,CLE,TOP,station,2,0.46,Goal,Root/div/station,CF/TOP/CLE,0,Yes
CF,CLT,TOP,station,2,0.05,Goal,Root/div/station,CF/TOP/CLT,0,Yes
CF,CMH,TOP,station,2,0.52,Goal,Root/div/station,CF/TOP/CMH,0,Yes
CF,COS,TOP,station,2,0.32,Goal,Root/div/station,CF/TOP/COS,0,Yes
CF,CPH,TOP,station,2,0.4,Goal,Root/div/station,CF/TOP/CPH,0,Yes
CF,CPT,TOP,station,2,0.4,Goal,Root/div/station,CF/TOP/CPT,0,Yes
CF,CTA,TOP,station,2,0.43,Goal,Root/div/station,CF/TOP/CTA,0,Yes
CF,CTG,TOP,station,2,0.47,Goal,Root/div/station,CF/TOP/CTG,0,Yes
CF,CUN,TOP,station,2,0.58,Goal,Root/div/station,CF/TOP/CUN,0,Yes
CF,CUR,TOP,station,2,0.56,Goal,Root/div/station,CF/TOP/CUR,0,Yes
CF,CVG,TOP,station,2,0.59,Goal,Root/div/station,CF/TOP/CVG,0,Yes
CF,CZM,TOP,station,2,0.55,Goal,Root/div/station,CF/TOP/CZM,0,Yes
