KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
CGO_KG_HR,CGO_KG_HR,,Root,0,1,Goal,Root,CGO_KG_HR,1,No
CGO_KG_HR,CGO,CGO_KG_HR,div,1,100.0,Goal,Root/div,CGO_KG_HR/CGO,811,No
CGO_KG_HR,",null,",CGO,station,2,0.15,Goal,Root/div/station,"CGO_KG_HR/CGO/,null,",0,Yes
CGO_KG_HR,AAL,CGO,station,2,0.24,Goal,Root/div/station,CGO_KG_HR/CGO/AAL,0,Yes
CGO_KG_HR,AAT,CGO,station,2,0.15,Goal,Root/div/station,CGO_KG_HR/CGO/AAT,0,Yes
CGO_KG_HR,ABE,CGO,station,2,0.01,Goal,Root/div/station,CGO_KG_HR/CGO/ABE,0,Yes
CGO_KG_HR,ABJ,CGO,station,2,0.04,Goal,Root/div/station,CGO_KG_HR/CGO/ABJ,0,Yes
CGO_KG_HR,ABQ,CGO,station,2,0.15,Goal,Root/div/station,CGO_KG_HR/CGO/ABQ,0,Yes
CGO_KG_HR,ABR,CGO,station,2,0.05,Goal,Root/div/station,CGO_KG_HR/CGO/ABR,0,Yes
CGO_KG_HR,ABV,CGO,station,2,0.21,Goal,Root/div/station,CGO_KG_HR/CGO/ABV,0,Yes
CGO_KG_HR,ABY,CGO,station,2,0.11,Goal,Root/div/station,CGO_KG_HR/CGO/ABY,0,Yes
CGO_KG_HR,ABZ,CGO,station,2,0.11,Goal,Root/div/station,CGO_KG_HR/CGO/ABZ,0,Yes
CGO_KG_HR,ACC,CGO,station,2,0.08,Goal,Root/div/station,CGO_KG_HR/CGO/ACC,0,Yes
CGO_KG_HR,ACK,CGO,station,2,0.14,Goal,Root/div/station,CGO_KG_HR/CGO/ACK,0,Yes
CGO_KG_HR,ADB,CGO,station,2,0.1,Goal,Root/div/station,CGO_KG_HR/CGO/ADB,0,Yes
CGO_KG_HR,ADD,CGO,station,2,0.23,Goal,Root/div/station,CGO_KG_HR/CGO/ADD,0,Yes
CGO_KG_HR,ADL,CGO,station,2,0.21,Goal,Root/div/station,CGO_KG_HR/CGO/ADL,0,Yes
CGO_KG_HR,AES,CGO,station,2,0.18,Goal,Root/div/station,CGO_KG_HR/CGO/AES,0,Yes
CGO_KG_HR,AEX,CGO,station,2,0.23,Goal,Root/div/station,CGO_KG_HR/CGO/AEX,0,Yes
CGO_KG_HR,AGP,CGO,station,2,0.08,Goal,Root/div/station,CGO_KG_HR/CGO/AGP,0,Yes
CGO_KG_HR,AGS,CGO,station,2,0.21,Goal,Root/div/station,CGO_KG_HR/CGO/AGS,0,Yes
CGO_KG_HR,AKL,CGO,station,2,0.17,Goal,Root/div/station,CGO_KG_HR/CGO/AKL,0,Yes
CGO_KG_HR,ALA,CGO,station,2,0.06,Goal,Root/div/station,CGO_KG_HR/CGO/ALA,0,Yes
CGO_KG_HR,ALB,CGO,station,2,0.14,Goal,Root/div/station,CGO_KG_HR/CGO/ALB,0,Yes
CGO_KG_HR,ALC,CGO,station,2,0.16,Goal,Root/div/station,CGO_KG_HR/CGO/ALC,0,Yes
CGO_KG_HR,ALG,CGO,station,2,0.01,Goal,Root/div/station,CGO_KG_HR/CGO/ALG,0,Yes
CGO_KG_HR,ALK,CGO,station,2,0.1,Goal,Root/div/station,CGO_KG_HR/CGO/ALK,0,Yes
CGO_KG_HR,ALT,CGO,station,2,0.07,Goal,Root/div/station,CGO_KG_HR/CGO/ALT,0,Yes
CGO_KG_HR,AMD,CGO,station,2,0.14,Goal,Root/div/station,CGO_KG_HR/CGO/AMD,0,Yes
CGO_KG_HR,AMM,CGO,station,2,0.12,Goal,Root/div/station,CGO_KG_HR/CGO/AMM,0,Yes
CGO_KG_HR,AMR,CGO,station,2,0.19,Goal,Root/div/station,CGO_KG_HR/CGO/AMR,0,Yes
CGO_KG_HR,AMS,CGO,station,2,0.06,Goal,Root/div/station,CGO_KG_HR/CGO/AMS,0,Yes
CGO_KG_HR,ANC,CGO,station,2,0.02,Goal,Root/div/station,CGO_KG_HR/CGO/ANC,0,Yes
CGO_KG_HR,ANR,CGO,station,2,0.12,Goal,Root/div/station,CGO_KG_HR/CGO/ANR,0,Yes
CGO_KG_HR,ANU,CGO,station,2,0.03,Goal,Root/div/station,CGO_KG_HR/CGO/ANU,0,Yes
CGO_KG_HR,AOI,CGO,station,2,0.23,Goal,Root/div/station,CGO_KG_HR/CGO/AOI,0,Yes
CGO_KG_HR,APN,CGO,station,2,0.18,Goal,Root/div/station,CGO_KG_HR/CGO/APN,0,Yes
CGO_KG_HR,APW,CGO,station,2,0.13,Goal,Root/div/station,CGO_KG_HR/CGO/APW,0,Yes
CGO_KG_HR,ARM,CGO,station,2,0.23,Goal,Root/div/station,CGO_KG_HR/CGO/ARM,0,Yes
CGO_KG_HR,ARN,CGO,station,2,0.04,Goal,Root/div/station,CGO_KG_HR/CGO/ARN,0,Yes
CGO_KG_HR,ASD,CGO,station,2,0.1,Goal,Root/div/station,CGO_KG_HR/CGO/ASD,0,Yes
CGO_KG_HR,ASE,CGO,station,2,0.13,Goal,Root/div/station,CGO_KG_HR/CGO/ASE,0,Yes
CGO_KG_HR,ATG,CGO,station,2,0.09,Goal,Root/div/station,CGO_KG_HR/CGO/ATG,0,Yes
CGO_KG_HR,ATH,CGO,station,2,0.09,Goal,Root/div/station,CGO_KG_HR/CGO/ATH,0,Yes
CGO_KG_HR,ATJ,CGO,station,2,0.15,Goal,Root/div/station,CGO_KG_HR/CGO/ATJ,0,Yes
CGO_KG_HR,ATL,CGO,station,2,0.07,Goal,Root/div/station,CGO_KG_HR/CGO/ATL,0,Yes
CGO_KG_HR,ATO,CGO,station,2,0.23,Goal,Root/div/station,CGO_KG_HR/CGO/ATO,0,Yes
CGO_KG_HR,ATR,CGO,station,2,0.06,Goal,Root/div/station,CGO_KG_HR/CGO/ATR,0,Yes
CGO_KG_HR,ATT,CGO,station,2,0.12,Goal,Root/div/station,CGO_KG_HR/CGO/ATT,0,Yes
CGO_KG_HR,ATW,CGO,station,2,0.21,Goal,Root/div/station,CGO_KG_HR/CGO/ATW,0,Yes
CGO_KG_HR,ATY,CGO,station,2,0.02,Goal,Root/div/station,CGO_KG_HR/CGO/ATY,0,Yes
CGO_KG_HR,AUA,CGO,station,2,0.04,Goal,Root/div/station,CGO_KG_HR/CGO/AUA,0,Yes
CGO_KG_HR,AUH,CGO,station,2,0.01,Goal,Root/div/station,CGO_KG_HR/CGO/AUH,0,Yes
CGO_KG_HR,AUS,CGO,station,2,0.22,Goal,Root/div/station,CGO_KG_HR/CGO/AUS,0,Yes
CGO_KG_HR,AVL,CGO,station,2,0.1,Goal,Root/div/station,CGO_KG_HR/CGO/AVL,0,Yes
CGO_KG_HR,AVP,CGO,station,2,0.2,Goal,Root/div/station,CGO_KG_HR/CGO/AVP,0,Yes
CGO_KG_HR,AWK,CGO,station,2,0.0,Goal,Root/div/station,CGO_KG_HR/CGO/AWK,0,Yes
CGO_KG_HR,AZO,CGO,station,2,0.17,Goal,Root/div/station,CGO_KG_HR/CGO/AZO,0,Yes
CGO_KG_HR,BAH,CGO,station,2,0.06,Goal,Root/div/station,CGO_KG_HR/CGO/BAH,0,Yes
CGO_KG_HR,BAQ,CGO,station,2,0.14,Goal,Root/div/station,CGO_KG_HR/CGO/BAQ,0,Yes
CGO_KG_HR,BCN,CGO,station,2,0.07,Goal,Root/div/station,CGO_KG_HR/CGO/BCN,0,Yes
CGO_KG_HR,BDA,CGO,station,2,0.16,Goal,Root/div/station,CGO_KG_HR/CGO/BDA,0,Yes
CGO_KG_HR,BDL,CGO,station,2,0.16,Goal,Root/div/station,CGO_KG_HR/CGO/BDL,0,Yes
CGO_KG_HR,BEG,CGO,station,2,0.15,Goal,Root/div/station,CGO_KG_HR/CGO/BEG,0,Yes
CGO_KG_HR,BEO,CGO,station,2,0.17,Goal,Root/div/station,CGO_KG_HR/CGO/BEO,0,Yes
CGO_KG_HR,BER,CGO,station,2,0.04,Goal,Root/div/station,CGO_KG_HR/CGO/BER,0,Yes
CGO_KG_HR,BEY,CGO,station,2,0.06,Goal,Root/div/station,CGO_KG_HR/CGO/BEY,0,Yes
CGO_KG_HR,BFS,CGO,station,2,0.18,Goal,Root/div/station,CGO_KG_HR/CGO/BFS,0,Yes
CGO_KG_HR,BGF,CGO,station,2,0.03,Goal,Root/div/station,CGO_KG_HR/CGO/BGF,0,Yes
CGO_KG_HR,BGI,CGO,station,2,0.21,Goal,Root/div/station,CGO_KG_HR/CGO/BGI,0,Yes
CGO_KG_HR,BGM,CGO,station,2,0.04,Goal,Root/div/station,CGO_KG_HR/CGO/BGM,0,Yes
CGO_KG_HR,BGO,CGO,station,2,0.07,Goal,Root/div/station,CGO_KG_HR/CGO/BGO,0,Yes
CGO_KG_HR,BGR,CGO,station,2,0.13,Goal,Root/div/station,CGO_KG_HR/CGO/BGR,0,Yes
CGO_KG_HR,BHM,CGO,station,2,0.07,Goal,Root/div/station,CGO_KG_HR/CGO/BHM,0,Yes
CGO_KG_HR,BHX,CGO,station,2,0.09,Goal,Root/div/station,CGO_KG_HR/CGO/BHX,0,Yes
CGO_KG_HR,BIL,CGO,station,2,0.05,Goal,Root/div/station,CGO_KG_HR/CGO/BIL,0,Yes
CGO_KG_HR,BIO,CGO,station,2,0.08,Goal,Root/div/station,CGO_KG_HR/CGO/BIO,0,Yes
CGO_KG_HR,BIS,CGO,station,2,0.16,Goal,Root/div/station,CGO_KG_HR/CGO/BIS,0,Yes
CGO_KG_HR,BJI,CGO,station,2,0.2,Goal,Root/div/station,CGO_KG_HR/CGO/BJI,0,Yes
CGO_KG_HR,BKK,CGO,station,2,0.21,Goal,Root/div/station,CGO_KG_HR/CGO/BKK,0,Yes
CGO_KG_HR,BKO,CGO,station,2,0.1,Goal,Root/div/station,CGO_KG_HR/CGO/BKO,0,Yes
CGO_KG_HR,BLL,CGO,station,2,0.21,Goal,Root/div/station,CGO_KG_HR/CGO/BLL,0,Yes
CGO_KG_HR,BLQ,CGO,station,2,0.24,Goal,Root/div/station,CGO_KG_HR/CGO/BLQ,0,Yes
CGO_KG_HR,BLR,CGO,station,2,0.08,Goal,Root/div/station,CGO_KG_HR/CGO/BLR,0,Yes
CGO_KG_HR,BLY,CGO,station,2,0.17,Goal,Root/div/station,CGO_KG_HR/CGO/BLY,0,Yes
CGO_KG_HR,BMI,CGO,station,2,0.04,Goal,Root/div/station,CGO_KG_HR/CGO/BMI,0,Yes
CGO_KG_HR,BNA,CGO,station,2,0.08,Goal,Root/div/station,CGO_KG_HR/CGO/BNA,0,Yes
CGO_KG_HR,BNE,CGO,station,2,0.02,Goal,Root/div/station,CGO_KG_HR/CGO/BNE,0,Yes
CGO_KG_HR,BOA,CGO,station,2,0.17,Goal,Root/div/station,CGO_KG_HR/CGO/BOA,0,Yes
CGO_KG_HR,BOD,CGO,station,2,0.15,Goal,Root/div/station,CGO_KG_HR/CGO/BOD,0,Yes
CGO_KG_HR,BOG,CGO,station,2,0.1,Goal,Root/div/station,CGO_KG_HR/CGO/BOG,0,Yes
CGO_KG_HR,BOI,CGO,station,2,0.19,Goal,Root/div/station,CGO_KG_HR/CGO/BOI,0,Yes
CGO_KG_HR,BOM,CGO,station,2,0.23,Goal,Root/div/station,CGO_KG_HR/CGO/BOM,0,Yes
CGO_KG_HR,BON,CGO,station,2,0.08,Goal,Root/div/station,CGO_KG_HR/CGO/BON,0,Yes
CGO_KG_HR,BOQ,CGO,station,2,0.11,Goal,Root/div/station,CGO_KG_HR/CGO/BOQ,0,Yes
CGO_KG_HR,BOS,CGO,station,2,0.24,Goal,Root/div/station,CGO_KG_HR/CGO/BOS,0,Yes
CGO_KG_HR,BQK,CGO,station,2,0.24,Goal,Root/div/station,CGO_KG_HR/CGO/BQK,0,Yes
CGO_KG_HR,BQL,CGO,station,2,0.05,Goal,Root/div/station,CGO_KG_HR/CGO/BQL,0,Yes
CGO_KG_HR,BQN,CGO,station,2,0.13,Goal,Root/div/station,CGO_KG_HR/CGO/BQN,0,Yes
CGO_KG_HR,BQY,CGO,station,2,0.17,Goal,Root/div/station,CGO_KG_HR/CGO/BQY,0,Yes
CGO_KG_HR,BRC,CGO,station,2,0.09,Goal,Root/div/station,CGO_KG_HR/CGO/BRC,0,Yes
CGO_KG_HR,BRD,CGO,station,2,0.19,Goal,Root/div/station,CGO_KG_HR/CGO/BRD,0,Yes
CGO_KG_HR,BRE,CGO,station,2,0.17,Goal,Root/div/station,CGO_KG_HR/CGO/BRE,0,Yes
CGO_KG_HR,BRN,CGO,station,2,0.01,Goal,Root/div/station,CGO_KG_HR/CGO/BRN,0,Yes
CGO_KG_HR,BRS,CGO,station,2,0.05,Goal,Root/div/station,CGO_KG_HR/CGO/BRS,0,Yes
CGO_KG_HR,BRU,CGO,station,2,0.03,Goal,Root/div/station,CGO_KG_HR/CGO/BRU,0,Yes
CGO_KG_HR,BRV,CGO,station,2,0.04,Goal,Root/div/station,CGO_KG_HR/CGO/BRV,0,Yes
CGO_KG_HR,BSB,CGO,station,2,0.11,Goal,Root/div/station,CGO_KG_HR/CGO/BSB,0,Yes
CGO_KG_HR,BSL,CGO,station,2,0.05,Goal,Root/div/station,CGO_KG_HR/CGO/BSL,0,Yes
CGO_KG_HR,BTM,CGO,station,2,0.19,Goal,Root/div/station,CGO_KG_HR/CGO/BTM,0,Yes
CGO_KG_HR,BTR,CGO,station,2,0.06,Goal,Root/div/station,CGO_KG_HR/CGO/BTR,0,Yes
CGO_KG_HR,BTS,CGO,station,2,0.03,Goal,Root/div/station,CGO_KG_HR/CGO/BTS,0,Yes
CGO_KG_HR,BTV,CGO,station,2,0.12,Goal,Root/div/station,CGO_KG_HR/CGO/BTV,0,Yes
CGO_KG_HR,BUD,CGO,station,2,0.17,Goal,Root/div/station,CGO_KG_HR/CGO/BUD,0,Yes
CGO_KG_HR,BUF,CGO,station,2,0.24,Goal,Root/div/station,CGO_KG_HR/CGO/BUF,0,Yes
CGO_KG_HR,BUR,CGO,station,2,0.22,Goal,Root/div/station,CGO_KG_HR/CGO/BUR,0,Yes
CGO_KG_HR,BWI,CGO,station,2,0.06,Goal,Root/div/station,CGO_KG_HR/CGO/BWI,0,Yes
CGO_KG_HR,BWN,CGO,station,2,0.18,Goal,Root/div/station,CGO_KG_HR/CGO/BWN,0,Yes
CGO_KG_HR,BZE,CGO,station,2,0.24,Goal,Root/div/station,CGO_KG_HR/CGO/BZE,0,Yes
CGO_KG_HR,BZG,CGO,station,2,0.21,Goal,Root/div/station,CGO_KG_HR/CGO/BZG,0,Yes
CGO_KG_HR,BZN,CGO,station,2,0.19,Goal,Root/div/station,CGO_KG_HR/CGO/BZN,0,Yes
CGO_KG_HR,BZV,CGO,station,2,0.18,Goal,Root/div/station,CGO_KG_HR/CGO/BZV,0,Yes
CGO_KG_HR,CAE,CGO,station,2,0.15,Goal,Root/div/station,CGO_KG_HR/CGO/CAE,0,Yes
CGO_KG_HR,CAI,CGO,station,2,0.23,Goal,Root/div/station,CGO_KG_HR/CGO/CAI,0,Yes
CGO_KG_HR,CAK,CGO,station,2,0.0,Goal,Root/div/station,CGO_KG_HR/CGO/CAK,0,Yes
CGO_KG_HR,CAN,CGO,station,2,0.18,Goal,Root/div/station,CGO_KG_HR/CGO/CAN,0,Yes
CGO_KG_HR,CAR,CGO,station,2,0.2,Goal,Root/div/station,CGO_KG_HR/CGO/CAR,0,Yes
CGO_KG_HR,CAY,CGO,station,2,0.01,Goal,Root/div/station,CGO_KG_HR/CGO/CAY,0,Yes
CGO_KG_HR,CBR,CGO,station,2,0.18,Goal,Root/div/station,CGO_KG_HR/CGO/CBR,0,Yes
CGO_KG_HR,CCG,CGO,station,2,0.15,Goal,Root/div/station,CGO_KG_HR/CGO/CCG,0,Yes
CGO_KG_HR,CCS,CGO,station,2,0.02,Goal,Root/div/station,CGO_KG_HR/CGO/CCS,0,Yes
CGO_KG_HR,CCU,CGO,station,2,0.12,Goal,Root/div/station,CGO_KG_HR/CGO/CCU,0,Yes
CGO_KG_HR,CDC,CGO,station,2,0.16,Goal,Root/div/station,CGO_KG_HR/CGO/CDC,0,Yes
CGO_KG_HR,CDG,CGO,station,2,0.02,Goal,Root/div/station,CGO_KG_HR/CGO/CDG,0,Yes
CGO_KG_HR,CEB,CGO,station,2,0.12,Goal,Root/div/station,CGO_KG_HR/CGO/CEB,0,Yes
CGO_KG_HR,CEG,CGO,station,2,0.06,Goal,Root/div/station,CGO_KG_HR/CGO/CEG,0,Yes
CGO_KG_HR,CGK,CGO,station,2,0.15,Goal,Root/div/station,CGO_KG_HR/CGO/CGK,0,Yes
CGO_KG_HR,CGN,CGO,station,2,0.2,Goal,Root/div/station,CGO_KG_HR/CGO/CGN,0,Yes
CGO_KG_HR,CGO,CGO,station,2,0.16,Goal,Root/div/station,CGO_KG_HR/CGO/CGO,0,Yes
CGO_KG_HR,CHA,CGO,station,2,0.17,Goal,Root/div/station,CGO_KG_HR/CGO/CHA,0,Yes
CGO_KG_HR,CHC,CGO,station,2,0.08,Goal,Root/div/station,CGO_KG_HR/CGO/CHC,0,Yes
CGO_KG_HR,CHO,CGO,station,2,0.14,Goal,Root/div/station,CGO_KG_HR/CGO/CHO,0,Yes
