KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
CGO_LD,CGO_LD,,Root,0,1,Goal,Root,CGO_LD,3,No
CGO_LD,ACS,CGO_LD,div,1,0.98,Goal,Root/div,CGO_LD/ACS,291,No
CGO_LD,AMS_Director,ACS,director,2,0.06,Goal,Root/div/director,CGO_LD/ACS/AMS_Director,0,Yes
CGO_LD,APAC_Director,ACS,director,2,0.67,Goal,Root/div/director,CGO_LD/ACS/APAC_Director,0,Yes
CGO_LD,AUS_Director,ACS,director,2,0.27,Goal,Root/div/director,CGO_LD/ACS/AUS_Director,0,Yes
CGO_LD,CANMEX_Director,ACS,director,2,0.03,Goal,Root/div/director,CGO_LD/ACS/CANMEX_Director,0,Yes
CGO_LD,Caribbean_Director,ACS,director,2,0.19,Goal,Root/div/director,CGO_LD/ACS/Caribbean_Director,0,Yes
CGO_LD,CASA_Director,ACS,director,2,0.72,Goal,Root/div/director,CGO_LD/ACS/CASA_Director,0,Yes
CGO_LD,CDG_Director,ACS,director,2,0.16,Goal,Root/div/director,CGO_LD/ACS/CDG_Director,0,Yes
CGO_LD,Central_Director,ACS,director,2,0.01,Goal,Root/div/director,CGO_LD/ACS/Central_Director,0,Yes
CGO_LD,East_Director,ACS,director,2,0.12,Goal,Root/div/director,CGO_LD/ACS/East_Director,0,Yes
CGO_LD,EMEA-A,ACS,director,2,0.25,Goal,Root/div/director,CGO_LD/ACS/EMEA-A,0,Yes
CGO_LD,EMEA-B,ACS,director,2,0.34,Goal,Root/div/director,CGO_LD/ACS/EMEA-B,0,Yes
CGO_LD,FieldStations_Director,ACS,director,2,0.37,Goal,Root/div/director,CGO_LD/ACS/FieldStations_Director,0,Yes
CGO_LD,Florida_Director,ACS,director,2,0.18,Goal,Root/div/director,CGO_LD/ACS/Florida_Director,0,Yes
CGO_LD,Hub_ATL,ACS,director,2,0.16,Goal,Root/div/director,CGO_LD/ACS/Hub_ATL,0,Yes
CGO_LD,Hub_BOS,ACS,director,2,0.01,Goal,Root/div/director,CGO_LD/ACS/Hub_BOS,0,Yes
CGO_LD,Hub_DTW,ACS,director,2,0.09,Goal,Root/div/director,CGO_LD/ACS/Hub_DTW,0,Yes
CGO_LD,Hub_JFK,ACS,director,2,0.37,Goal,Root/div/director,CGO_LD/ACS/Hub_JFK,0,Yes
CGO_LD,Hub_LAX,ACS,director,2,0.12,Goal,Root/div/director,CGO_LD/ACS/Hub_LAX,0,Yes
CGO_LD,Hub_LGA,ACS,director,2,0.12,Goal,Root/div/director,CGO_LD/ACS/Hub_LGA,0,Yes
CGO_LD,Hub_MSP,ACS,director,2,0.24,Goal,Root/div/director,CGO_LD/ACS/Hub_MSP,0,Yes
CGO_LD,Hub_SEA,ACS,director,2,0.02,Goal,Root/div/director,CGO_LD/ACS/Hub_SEA,0,Yes
CGO_LD,Hub_SLC,ACS,director,2,0.61,Goal,Root/div/director,CGO_LD/ACS/Hub_SLC,0,Yes
CGO_LD,West_Director,ACS,director,2,0.34,Goal,Root/div/director,CGO_LD/ACS/West_Director,0,Yes
CGO_LD,ACSATL,ACS,division,2,0.71,Goal,Root/div/division,CGO_LD/ACS/ACSATL,0,Yes
CGO_LD,Central,ACS,division,2,0.52,Goal,Root/div/division,CGO_LD/ACS/Central,0,Yes
CGO_LD,East,ACS,division,2,0.1,Goal,Root/div/division,CGO_LD/ACS/East,0,Yes
CGO_LD,FieldStations,ACS,division,2,0.37,Goal,Root/div/division,CGO_LD/ACS/FieldStations,0,Yes
CGO_LD,International,ACS,division,2,0.15,Goal,Root/div/division,CGO_LD/ACS/International,0,Yes
CGO_LD,JFK_BOS,ACS,division,2,0.61,Goal,Root/div/division,CGO_LD/ACS/JFK_BOS,0,Yes
CGO_LD,MSP_SEA_SLC,ACS,division,2,0.7,Goal,Root/div/division,CGO_LD/ACS/MSP_SEA_SLC,0,Yes
CGO_LD,West,ACS,division,2,0.02,Goal,Root/div/division,CGO_LD/ACS/West,0,Yes
CGO_LD,AMS_Region,ACS,region,2,0.31,Goal,Root/div/region,CGO_LD/ACS/AMS_Region,0,Yes
CGO_LD,AUS_Region,ACS,region,2,0.3,Goal,Root/div/region,CGO_LD/ACS/AUS_Region,0,Yes
CGO_LD,Canada_Region,ACS,region,2,0.29,Goal,Root/div/region,CGO_LD/ACS/Canada_Region,0,Yes
CGO_LD,Caribbean_Region,ACS,region,2,0.18,Goal,Root/div/region,CGO_LD/ACS/Caribbean_Region,0,Yes
CGO_LD,CDG_Region,ACS,region,2,0.02,Goal,Root/div/region,CGO_LD/ACS/CDG_Region,0,Yes
CGO_LD,CentralAmerica_Region,ACS,region,2,0.1,Goal,Root/div/region,CGO_LD/ACS/CentralAmerica_Region,0,Yes
CGO_LD,Central_Region,ACS,region,2,0.36,Goal,Root/div/region,CGO_LD/ACS/Central_Region,0,Yes
CGO_LD,EastAsia_Region,ACS,region,2,0.69,Goal,Root/div/region,CGO_LD/ACS/EastAsia_Region,0,Yes
CGO_LD,Florida_Region,ACS,region,2,0.23,Goal,Root/div/region,CGO_LD/ACS/Florida_Region,0,Yes
CGO_LD,FS_Central,ACS,region,2,0.29,Goal,Root/div/region,CGO_LD/ACS/FS_Central,0,Yes
CGO_LD,FS_East,ACS,region,2,0.24,Goal,Root/div/region,CGO_LD/ACS/FS_East,0,Yes
CGO_LD,FS_MountainWest,ACS,region,2,0.23,Goal,Root/div/region,CGO_LD/ACS/FS_MountainWest,0,Yes
CGO_LD,FS_South,ACS,region,2,0.17,Goal,Root/div/region,CGO_LD/ACS/FS_South,0,Yes
CGO_LD,FS_West,ACS,region,2,0.11,Goal,Root/div/region,CGO_LD/ACS/FS_West,0,Yes
CGO_LD,GreatLakes_Region,ACS,region,2,0.61,Goal,Root/div/region,CGO_LD/ACS/GreatLakes_Region,0,Yes
CGO_LD,MCO_Region,ACS,region,2,0.02,Goal,Root/div/region,CGO_LD/ACS/MCO_Region,0,Yes
CGO_LD,Mexico_Region,ACS,region,2,0.36,Goal,Root/div/region,CGO_LD/ACS/Mexico_Region,0,Yes
CGO_LD,MIA_Region,ACS,region,2,0.02,Goal,Root/div/region,CGO_LD/ACS/MIA_Region,0,Yes
CGO_LD,Northeast_Region,ACS,region,2,0.37,Goal,Root/div/region,CGO_LD/ACS/Northeast_Region,0,Yes
CGO_LD,SouthAmerica_Region,ACS,region,2,0.42,Goal,Root/div/region,CGO_LD/ACS/SouthAmerica_Region,0,Yes
CGO_LD,Southeast_Region,ACS,region,2,0.04,Goal,Root/div/region,CGO_LD/ACS/Southeast_Region,0,Yes
CGO_LD,SouthPacific_Region,ACS,region,2,0.62,Goal,Root/div/region,CGO_LD/ACS/SouthPacific_Region,0,Yes
CGO_LD,SouthWest_Region,ACS,region,2,0.55,Goal,Root/div/region,CGO_LD/ACS/SouthWest_Region,0,Yes
CGO_LD,West_Region,ACS,region,2,0.04,Goal,Root/div/region,CGO_LD/ACS/West_Region,0,Yes
CGO_LD,ABE,ACS,station,2,0.14,Goal,Root/div/station,CGO_LD/ACS/ABE,0,Yes
CGO_LD,ABQ,ACS,station,2,0.67,Goal,Root/div/station,CGO_LD/ACS/ABQ,0,Yes
CGO_LD,ABY,ACS,station,2,0.23,Goal,Root/div/station,CGO_LD/ACS/ABY,0,Yes
CGO_LD,ACC,ACS,station,2,0.03,Goal,Root/div/station,CGO_LD/ACS/ACC,0,Yes
CGO_LD,AEX,ACS,station,2,0.45,Goal,Root/div/station,CGO_LD/ACS/AEX,0,Yes
CGO_LD,AGS,ACS,station,2,0.02,Goal,Root/div/station,CGO_LD/ACS/AGS,0,Yes
CGO_LD,AKL,ACS,station,2,0.0,Goal,Root/div/station,CGO_LD/ACS/AKL,0,Yes
CGO_LD,ALB,ACS,station,2,0.67,Goal,Root/div/station,CGO_LD/ACS/ALB,0,Yes
CGO_LD,AMS,ACS,station,2,0.14,Goal,Root/div/station,CGO_LD/ACS/AMS,0,Yes
CGO_LD,ANC,ACS,station,2,0.04,Goal,Root/div/station,CGO_LD/ACS/ANC,0,Yes
CGO_LD,ARN,ACS,station,2,0.71,Goal,Root/div/station,CGO_LD/ACS/ARN,0,Yes
CGO_LD,ATH,ACS,station,2,0.37,Goal,Root/div/station,CGO_LD/ACS/ATH,0,Yes
CGO_LD,ATL,ACS,station,2,0.22,Goal,Root/div/station,CGO_LD/ACS/ATL,0,Yes
CGO_LD,ATW,ACS,station,2,0.11,Goal,Root/div/station,CGO_LD/ACS/ATW,0,Yes
CGO_LD,AUS,ACS,station,2,0.36,Goal,Root/div/station,CGO_LD/ACS/AUS,0,Yes
CGO_LD,AVL,ACS,station,2,0.26,Goal,Root/div/station,CGO_LD/ACS/AVL,0,Yes
CGO_LD,AZO,ACS,station,2,0.46,Goal,Root/div/station,CGO_LD/ACS/AZO,0,Yes
CGO_LD,BCN,ACS,station,2,0.21,Goal,Root/div/station,CGO_LD/ACS/BCN,0,Yes
CGO_LD,BDA,ACS,station,2,0.14,Goal,Root/div/station,CGO_LD/ACS/BDA,0,Yes
CGO_LD,BER,ACS,station,2,0.16,Goal,Root/div/station,CGO_LD/ACS/BER,0,Yes
CGO_LD,BGM,ACS,station,2,0.46,Goal,Root/div/station,CGO_LD/ACS/BGM,0,Yes
CGO_LD,BGR,ACS,station,2,0.2,Goal,Root/div/station,CGO_LD/ACS/BGR,0,Yes
CGO_LD,BHM,ACS,station,2,0.15,Goal,Root/div/station,CGO_LD/ACS/BHM,0,Yes
CGO_LD,BIL,ACS,station,2,0.4,Goal,Root/div/station,CGO_LD/ACS/BIL,0,Yes
CGO_LD,BIS,ACS,station,2,0.04,Goal,Root/div/station,CGO_LD/ACS/BIS,0,Yes
CGO_LD,BMI,ACS,station,2,0.12,Goal,Root/div/station,CGO_LD/ACS/BMI,0,Yes
CGO_LD,BNA,ACS,station,2,0.24,Goal,Root/div/station,CGO_LD/ACS/BNA,0,Yes
CGO_LD,BNE,ACS,station,2,0.14,Goal,Root/div/station,CGO_LD/ACS/BNE,0,Yes
CGO_LD,BOG,ACS,station,2,0.37,Goal,Root/div/station,CGO_LD/ACS/BOG,0,Yes
CGO_LD,BOI,ACS,station,2,0.41,Goal,Root/div/station,CGO_LD/ACS/BOI,0,Yes
CGO_LD,BOS,ACS,station,2,0.35,Goal,Root/div/station,CGO_LD/ACS/BOS,0,Yes
CGO_LD,BRU,ACS,station,2,0.13,Goal,Root/div/station,CGO_LD/ACS/BRU,0,Yes
CGO_LD,BTR,ACS,station,2,0.58,Goal,Root/div/station,CGO_LD/ACS/BTR,0,Yes
CGO_LD,BTV,ACS,station,2,0.69,Goal,Root/div/station,CGO_LD/ACS/BTV,0,Yes
CGO_LD,BWI,ACS,station,2,0.37,Goal,Root/div/station,CGO_LD/ACS/BWI,0,Yes
CGO_LD,CAE,ACS,station,2,0.14,Goal,Root/div/station,CGO_LD/ACS/CAE,0,Yes
CGO_LD,CDG,ACS,station,2,0.72,Goal,Root/div/station,CGO_LD/ACS/CDG,0,Yes
CGO_LD,CHA,ACS,station,2,0.69,Goal,Root/div/station,CGO_LD/ACS/CHA,0,Yes
CGO_LD,CHO,ACS,station,2,0.56,Goal,Root/div/station,CGO_LD/ACS/CHO,0,Yes
CGO_LD,CHS,ACS,station,2,0.59,Goal,Root/div/station,CGO_LD/ACS/CHS,0,Yes
CGO_LD,CID,ACS,station,2,0.34,Goal,Root/div/station,CGO_LD/ACS/CID,0,Yes
CGO_LD,CLE,ACS,station,2,0.07,Goal,Root/div/station,CGO_LD/ACS/CLE,0,Yes
CGO_LD,CLT,ACS,station,2,0.26,Goal,Root/div/station,CGO_LD/ACS/CLT,0,Yes
CGO_LD,CMH,ACS,station,2,0.46,Goal,Root/div/station,CGO_LD/ACS/CMH,0,Yes
CGO_LD,CPH,ACS,station,2,0.65,Goal,Root/div/station,CGO_LD/ACS/CPH,0,Yes
CGO_LD,CPT,ACS,station,2,0.35,Goal,Root/div/station,CGO_LD/ACS/CPT,0,Yes
CGO_LD,CRW,ACS,station,2,0.04,Goal,Root/div/station,CGO_LD/ACS/CRW,0,Yes
CGO_LD,CSG,ACS,station,2,0.22,Goal,Root/div/station,CGO_LD/ACS/CSG,0,Yes
CGO_LD,CTG,ACS,station,2,0.66,Goal,Root/div/station,CGO_LD/ACS/CTG,0,Yes
CGO_LD,CUN,ACS,station,2,0.57,Goal,Root/div/station,CGO_LD/ACS/CUN,0,Yes
CGO_LD,CVG,ACS,station,2,0.45,Goal,Root/div/station,CGO_LD/ACS/CVG,0,Yes
CGO_LD,CWA,ACS,station,2,0.27,Goal,Root/div/station,CGO_LD/ACS/CWA,0,Yes
CGO_LD,DAB,ACS,station,2,0.47,Goal,Root/div/station,CGO_LD/ACS/DAB,0,Yes
CGO_LD,DAY,ACS,station,2,0.54,Goal,Root/div/station,CGO_LD/ACS/DAY,0,Yes
CGO_LD,DCA,ACS,station,2,0.71,Goal,Root/div/station,CGO_LD/ACS/DCA,0,Yes
CGO_LD,DEN,ACS,station,2,0.56,Goal,Root/div/station,CGO_LD/ACS/DEN,0,Yes
CGO_LD,DFW,ACS,station,2,0.22,Goal,Root/div/station,CGO_LD/ACS/DFW,0,Yes
CGO_LD,DLH,ACS,station,2,0.21,Goal,Root/div/station,CGO_LD/ACS/DLH,0,Yes
CGO_LD,DSM,ACS,station,2,0.48,Goal,Root/div/station,CGO_LD/ACS/DSM,0,Yes
CGO_LD,DSS,ACS,station,2,0.13,Goal,Root/div/station,CGO_LD/ACS/DSS,0,Yes
CGO_LD,DTW,ACS,station,2,0.27,Goal,Root/div/station,CGO_LD/ACS/DTW,0,Yes
CGO_LD,DUB,ACS,station,2,0.11,Goal,Root/div/station,CGO_LD/ACS/DUB,0,Yes
CGO_LD,EDI,ACS,station,2,0.55,Goal,Root/div/station,CGO_LD/ACS/EDI,0,Yes
