KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
CL_HC,CL_HC,,Root,0,1,Goal,Root,CL_HC,2,No
CL_HC,VND,CL_HC,div,1,1.66,Goal,Root/div,CL_HC/VND,33,No
CL_HC,BNA,VND,station,2,4.77,Goal,Root/div/station,CL_HC/VND/BNA,1,No
CL_HC,Prospect,BNA,vendor,3,100.0,Goal,Root/div/station/vendor,CL_HC/VND/BNA/Prospect,1,No
CL_HC,Cabin,Prospect,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,CL_HC/VND/BNA/Prospect/Cabin,0,Yes
CL_HC,BOS,VND,station,2,0.65,Goal,Root/div/station,CL_HC/VND/BOS,2,No
CL_HC,HHS,BOS,vendor,3,79.68,Goal,Root/div/station/vendor,CL_HC/VND/BOS/HHS,1,No
CL_HC,Cabin,HHS,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,CL_HC/VND/BOS/HHS/Cabin,0,Yes
CL_HC,HHS Aviation,BOS,vendor,3,20.32,Goal,Root/div/station/vendor,CL_HC/VND/BOS/HHS Aviation,0,Yes
CL_HC,CVG,VND,station,2,4.8,Goal,Root/div/station,CL_HC/VND/CVG,1,No
CL_HC,Unifi,CVG,vendor,3,100.0,Goal,Root/div/station/vendor,CL_HC/VND/CVG/Unifi,1,No
CL_HC,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,CL_HC/VND/CVG/Unifi/Cabin,0,Yes
CL_HC,DCA,VND,station,2,3.68,Goal,Root/div/station,CL_HC/VND/DCA,1,No
CL_HC,Eulen,DCA,vendor,3,100.0,Goal,Root/div/station/vendor,CL_HC/VND/DCA/Eulen,1,No
CL_HC,Cabin,Eulen,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,CL_HC/VND/DCA/Eulen/Cabin,0,Yes
CL_HC,DEN,VND,station,2,0.12,Goal,Root/div/station,CL_HC/VND/DEN,1,No
CL_HC,Unifi,DEN,vendor,3,100.0,Goal,Root/div/station/vendor,CL_HC/VND/DEN/Unifi,1,No
CL_HC,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,CL_HC/VND/DEN/Unifi/Cabin,0,Yes
CL_HC,DFW,VND,station,2,1.37,Goal,Root/div/station,CL_HC/VND/DFW,2,No
CL_HC,HHS,DFW,vendor,3,66.81,Goal,Root/div/station/vendor,CL_HC/VND/DFW/HHS,1,No
CL_HC,Cabin,HHS,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,CL_HC/VND/DFW/HHS/Cabin,0,Yes
CL_HC,HHS Aviation,DFW,vendor,3,33.19,Goal,Root/div/station/vendor,CL_HC/VND/DFW/HHS Aviation,0,Yes
CL_HC,DTW,VND,station,2,0.23,Goal,Root/div/station,CL_HC/VND/DTW,1,No
CL_HC,G2,DTW,vendor,3,100.0,Goal,Root/div/station/vendor,CL_HC/VND/DTW/G2,1,No
CL_HC,Cabin,G2,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,CL_HC/VND/DTW/G2/Cabin,0,Yes
CL_HC,FLL,VND,station,2,5.2,Goal,Root/div/station,CL_HC/VND/FLL,2,No
CL_HC,HHS,FLL,vendor,3,57.13,Goal,Root/div/station/vendor,CL_HC/VND/FLL/HHS,1,No
CL_HC,Cabin,HHS,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,CL_HC/VND/FLL/HHS/Cabin,0,Yes
CL_HC,HHS Aviation,FLL,vendor,3,42.87,Goal,Root/div/station/vendor,CL_HC/VND/FLL/HHS Aviation,0,Yes
CL_HC,IAH,VND,station,2,2.81,Goal,Root/div/station,CL_HC/VND/IAH,1,No
CL_HC,G2,IAH,vendor,3,100.0,Goal,Root/div/station/vendor,CL_HC/VND/IAH/G2,1,No
CL_HC,Cabin,G2,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,CL_HC/VND/IAH/G2/Cabin,0,Yes
CL_HC,IND,VND,station,2,5.11,Goal,Root/div/station,CL_HC/VND/IND,1,No
CL_HC,G2,IND,vendor,3,100.0,Goal,Root/div/station/vendor,CL_HC/VND/IND/G2,1,No
CL_HC,Cabin,G2,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,CL_HC/VND/IND/G2/Cabin,0,Yes
CL_HC,JFK,VND,station,2,3.33,Goal,Root/div/station,CL_HC/VND/JFK,1,No
CL_HC,Unifi,JFK,vendor,3,100.0,Goal,Root/div/station/vendor,CL_HC/VND/JFK/Unifi,1,No
CL_HC,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,CL_HC/VND/JFK/Unifi/Cabin,0,Yes
CL_HC,LAS,VND,station,2,2.86,Goal,Root/div/station,CL_HC/VND/LAS,1,No
CL_HC,Unifi,LAS,vendor,3,100.0,Goal,Root/div/station/vendor,CL_HC/VND/LAS/Unifi,1,No
