KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
DMG_MBR,DMG_MBR,,Root,0,1,Goal,Root,DMG_MBR,3,No
DMG_MBR,ACS,DMG_MBR,div,1,7.37,Goal,Root/div,DMG_MBR/ACS,385,No
DMG_MBR,APAC_Director,ACS,director,2,0.07,Goal,Root/div/director,DMG_MBR/ACS/APAC_Director,0,Yes
DMG_MBR,AUS_Director,ACS,director,2,0.27,Goal,Root/div/director,DMG_MBR/ACS/AUS_Director,0,Yes
DMG_MBR,CANMEX_Director,ACS,director,2,0.05,Goal,Root/div/director,DMG_MBR/ACS/CANMEX_Director,0,Yes
DMG_MBR,Caribbean_Director,ACS,director,2,0.42,Goal,Root/div/director,DMG_MBR/ACS/Caribbean_Director,0,Yes
DMG_MBR,CASA_Director,ACS,director,2,0.02,Goal,Root/div/director,DMG_MBR/ACS/CASA_Director,0,Yes
DMG_MBR,Central_Director,ACS,director,2,0.39,Goal,Root/div/director,DMG_MBR/ACS/Central_Director,0,Yes
DMG_MBR,East_Director,ACS,director,2,0.14,Goal,Root/div/director,DMG_MBR/ACS/East_Director,0,Yes
DMG_MBR,FieldStations_Director,ACS,director,2,0.18,Goal,Root/div/director,DMG_MBR/ACS/FieldStations_Director,0,Yes
DMG_MBR,Florida_Director,ACS,director,2,0.32,Goal,Root/div/director,DMG_MBR/ACS/Florida_Director,0,Yes
DMG_MBR,Hub_ATL,ACS,director,2,0.48,Goal,Root/div/director,DMG_MBR/ACS/Hub_ATL,0,Yes
DMG_MBR,Hub_BOS,ACS,director,2,0.05,Goal,Root/div/director,DMG_MBR/ACS/Hub_BOS,0,Yes
DMG_MBR,Hub_DTW,ACS,director,2,0.1,Goal,Root/div/director,DMG_MBR/ACS/Hub_DTW,0,Yes
DMG_MBR,Hub_JFK,ACS,director,2,0.16,Goal,Root/div/director,DMG_MBR/ACS/Hub_JFK,0,Yes
DMG_MBR,Hub_LAX,ACS,director,2,0.21,Goal,Root/div/director,DMG_MBR/ACS/Hub_LAX,0,Yes
DMG_MBR,Hub_LGA,ACS,director,2,0.4,Goal,Root/div/director,DMG_MBR/ACS/Hub_LGA,0,Yes
DMG_MBR,Hub_MSP,ACS,director,2,0.38,Goal,Root/div/director,DMG_MBR/ACS/Hub_MSP,0,Yes
DMG_MBR,Hub_SEA,ACS,director,2,0.43,Goal,Root/div/director,DMG_MBR/ACS/Hub_SEA,0,Yes
