KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
FLT_GATE_OPEN,FLT_GATE_OPEN,,Root,0,1,Goal,Root,FLT_GATE_OPEN,1,No
FLT_GATE_OPEN,VND,FLT_GATE_OPEN,div,1,100.0,Goal,Root/div,FLT_GATE_OPEN/VND,1,No
FLT_GATE_OPEN,DC,VND,carrier,2,100.0,Goal,Root/div/carrier,FLT_GATE_OPEN/VND/DC,2,No
FLT_GATE_OPEN,DTW,DC,station,3,91.54,Goal,Root/div/carrier/station,FLT_GATE_OPEN/VND/DC/DTW,1,No
FLT_GATE_OPEN,Unifi,DTW,vendor,4,100.0,Goal,Root/div/carrier/station/vendor,FLT_GATE_OPEN/VND/DC/DTW/Unifi,1,No
FLT_GATE_OPEN,PAX,Unifi,function,5,100.0,Goal,Root/div/carrier/station/vendor/function,FLT_GATE_OPEN/VND/DC/DTW/Unifi/PAX,1,No
FLT_GATE_OPEN,MSPDTW,PAX,variant,6,100.0,Goal,Root/div/carrier/station/vendor/function/variant,FLT_GATE_OPEN/VND/DC/DTW/Unifi/PAX/MSPDTW,0,Yes
FLT_GATE_OPEN,MSP,DC,station,3,8.46,Goal,Root/div/carrier/station,FLT_GATE_OPEN/VND/DC/MSP,1,No
FLT_GATE_OPEN,Unifi,MSP,vendor,4,100.0,Goal,Root/div/carrier/station/vendor,FLT_GATE_OPEN/VND/DC/MSP/Unifi,1,No
FLT_GATE_OPEN,PAX,Unifi,function,5,100.0,Goal,Root/div/carrier/station/vendor/function,FLT_GATE_OPEN/VND/DC/MSP/Unifi/PAX,1,No
FLT_GATE_OPEN,MSPDTW,PAX,variant,6,100.0,Goal,Root/div/carrier/station/vendor/function/variant,FLT_GATE_OPEN/VND/DC/MSP/Unifi/PAX/MSPDTW,0,Yes
