KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
GIR,GIR,,Root,0,1,Goal,Root,GIR,8,No
GIR,ACS,GIR,div,1,21.69,Goal,Root/div,GIR/ACS,240,No
GIR,APAC_Director,ACS,director,2,0.31,Goal,Root/div/director,GIR/ACS/APAC_Director,1,No
GIR,Field,APAC_Director,bu,3,100.0,Goal,Root/div/director/bu,GIR/ACS/APAC_Director/Field,0,Yes
GIR,AUS_Director,ACS,director,2,0.03,Goal,Root/div/director,GIR/ACS/AUS_Director,1,No
GIR,Field,AUS_Director,bu,3,100.0,Goal,Root/div/director/bu,GIR/ACS/AUS_Director/Field,0,Yes
GIR,CANMEX_Director,ACS,director,2,0.28,Goal,Root/div/director,GIR/ACS/CANMEX_Director,1,No
GIR,Field,CANMEX_Director,bu,3,100.0,Goal,Root/div/director/bu,GIR/ACS/CANMEX_Director/Field,0,Yes
GIR,Caribbean_Director,ACS,director,2,0.1,Goal,Root/div/director,GIR/ACS/Caribbean_Director,1,No
GIR,Field,Caribbean_Director,bu,3,100.0,Goal,Root/div/director/bu,GIR/ACS/Caribbean_Director/Field,0,Yes
GIR,CASA_Director,ACS,director,2,0.75,Goal,Root/div/director,GIR/ACS/CASA_Director,1,No
GIR,Field,CASA_Director,bu,3,100.0,Goal,Root/div/director/bu,GIR/ACS/CASA_Director/Field,0,Yes
GIR,Central_Director,ACS,director,2,0.2,Goal,Root/div/director,GIR/ACS/Central_Director,1,No
GIR,Field,Central_Director,bu,3,100.0,Goal,Root/div/director/bu,GIR/ACS/Central_Director/Field,0,Yes
GIR,East_Director,ACS,director,2,0.1,Goal,Root/div/director,GIR/ACS/East_Director,1,No
GIR,Field,East_Director,bu,3,100.0,Goal,Root/div/director/bu,GIR/ACS/East_Director/Field,0,Yes
GIR,EMEA-A,ACS,director,2,0.44,Goal,Root/div/director,GIR/ACS/EMEA-A,1,No
GIR,Field,EMEA-A,bu,3,100.0,Goal,Root/div/director/bu,GIR/ACS/EMEA-A/Field,0,Yes
GIR,EMEA-B,ACS,director,2,0.19,Goal,Root/div/director,GIR/ACS/EMEA-B,1,No
GIR,Field,EMEA-B,bu,3,100.0,Goal,Root/div/director/bu,GIR/ACS/EMEA-B/Field,0,Yes
GIR,Florida_Director,ACS,director,2,0.52,Goal,Root/div/director,GIR/ACS/Florida_Director,1,No
GIR,Field,Florida_Director,bu,3,100.0,Goal,Root/div/director/bu,GIR/ACS/Florida_Director/Field,0,Yes
