KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
IMP_DLY_PER_FLT,IMP_DLY_PER_FLT,,Root,0,1,Goal,Root,IMP_DLY_PER_FLT,1,No
IMP_DLY_PER_FLT,OBS,IMP_DLY_PER_FLT,div,1,100.0,Goal,Root/div,IMP_DLY_PER_FLT/OBS,176,No
IMP_DLY_PER_FLT,Aerococina,OBS,caterer,2,0.9,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/Aerococina,0,Yes
IMP_DLY_PER_FLT,AirFayre,OBS,caterer,2,0.3,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/AirFayre,0,Yes
IMP_DLY_PER_FLT,Alpha,OBS,caterer,2,0.04,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/Alpha,0,Yes
IMP_DLY_PER_FLT,Canonica,OBS,caterer,2,0.97,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/Canonica,0,Yes
IMP_DLY_PER_FLT,CasaProveedora,OBS,caterer,2,0.42,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/CasaProveedora,0,Yes
IMP_DLY_PER_FLT,CateringPor,OBS,caterer,2,0.71,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/CateringPor,0,Yes
IMP_DLY_PER_FLT,Dakar,OBS,caterer,2,0.43,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/Dakar,0,Yes
IMP_DLY_PER_FLT,dnata,OBS,caterer,2,0.37,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/dnata,0,Yes
IMP_DLY_PER_FLT,DOCO,OBS,caterer,2,0.99,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/DOCO,0,Yes
IMP_DLY_PER_FLT,EFG,OBS,caterer,2,0.56,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/EFG,0,Yes
IMP_DLY_PER_FLT,EGSC,OBS,caterer,2,0.67,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/EGSC,0,Yes
IMP_DLY_PER_FLT,FlyFoodGrp,OBS,caterer,2,0.27,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/FlyFoodGrp,0,Yes
IMP_DLY_PER_FLT,GG,OBS,caterer,2,1.01,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/GG,0,Yes
IMP_DLY_PER_FLT,Goddard,OBS,caterer,2,0.95,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/Goddard,0,Yes
IMP_DLY_PER_FLT,IMC,OBS,caterer,2,0.32,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/IMC,0,Yes
IMP_DLY_PER_FLT,ISS,OBS,caterer,2,0.53,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/ISS,0,Yes
IMP_DLY_PER_FLT,LSG,OBS,caterer,2,1.04,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/LSG,0,Yes
IMP_DLY_PER_FLT,Mainline,OBS,caterer,2,0.68,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/Mainline,0,Yes
IMP_DLY_PER_FLT,Newrest,OBS,caterer,2,0.91,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/Newrest,0,Yes
IMP_DLY_PER_FLT,Servair,OBS,caterer,2,0.34,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/Servair,0,Yes
IMP_DLY_PER_FLT,ShanghaiEast,OBS,caterer,2,0.69,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/ShanghaiEast,0,Yes
IMP_DLY_PER_FLT,Sharp-DOCO,OBS,caterer,2,0.13,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/Sharp-DOCO,0,Yes
IMP_DLY_PER_FLT,SkyCater,OBS,caterer,2,0.57,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/SkyCater,0,Yes
IMP_DLY_PER_FLT,TFK,OBS,caterer,2,0.55,Goal,Root/div/caterer,IMP_DLY_PER_FLT/OBS/TFK,0,Yes
