KPI_Name,parent,node,Tier,sys,ml_dc_1,ml_dc_2,frst_flt_ind,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,Goal_Num,Goal_Den,Source,Goal_Yr,YTD_Num,YTD_Den
D0,,sys,1,sys,,,,68.29,1216960,1782050,71.7,5.00%,1.0,1277808.0,1782050,Goal Input,2027,1277808.0,1782050
D0,sys,DC,2,sys,DC,,,72.13,446980,619723,75.73,5.00%,0.36729226926110964,469329.0,619723,Goal Input,2027,469329.0,619723
D0,sys,DL,2,sys,DL,,,66.24,769980,1162327,69.56,5.00%,0.6327077307388903,808479.0,1162327,Goal Input,2027,808479.0,1162327
D0,sys/DC,9E,3,sys,DC,9E,,68.21,173872,254904,71.62,5.00%,0.38899279609825943,182565.6,254904,Cascaded,2027,182565.6,254904
D0,sys/DC,OO,3,sys,DC,OO,,76.2,202544,265791,80.01,5.00%,0.4531388429012484,212671.2,265791,Cascaded,2027,212671.2,265791
D0,sys/DC,YX,3,sys,DC,YX,,71.26,70564,99028,74.82,5.00%,0.1578683610004922,74092.2,99028,Cascaded,2027,74092.2,99028
D0,sys/DL,DL,3,sys,DL,DL,,66.24,769980,1162327,69.56,5.00%,1.0,808479.0,1162327,Cascaded,2027,808479.0,1162327
D0,sys/DC/9E,First Flight,4,sys,DC,9E,First Flight,83.97,36197,43108,88.17,5.00%,0.20818188092389803,38006.85,43108,Cascaded,2027,38006.85,43108
D0,sys/DC/9E,Not First Flight,4,sys,DC,9E,Not First Flight,65.0,137675,211796,68.25,5.00%,0.791818119076102,144558.75,211796,Cascaded,2027,144558.75,211796
D0,sys/DC/OO,First Flight,4,sys,DC,OO,First Flight,87.44,37989,43448,91.81,5.00%,0.18755924638597046,39888.45,43448,Cascaded,2027,39888.450000000004,43448
D0,sys/DC/OO,Not First Flight,4,sys,DC,OO,Not First Flight,74.01,164555,222343,77.71,5.00%,0.8124407536140296,172782.75,222343,Cascaded,2027,172782.75,222343
D0,sys/DC/YX,First Flight,4,sys,DC,YX,First Flight,85.77,15357,17905,90.06,5.00%,0.21763222039566918,16124.85,17905,Cascaded,2027,16124.849999999999,17905
D0,sys/DC/YX,Not First Flight,4,sys,DC,YX,Not First Flight,68.05,55207,81123,71.46,5.00%,0.7823677796043308,57967.35,81123,Cascaded,2027,57967.35,81123
D0,sys/DL/DL,First Flight,4,sys,DL,DL,First Flight,80.36,187485,233313,84.38,5.00%,0.24349333748928545,196859.25,233313,Cascaded,2027,196859.25,233313
D0,sys/DL/DL,Not First Flight,4,sys,DL,DL,Not First Flight,62.7,582495,929014,65.84,5.00%,0.7565066625107145,611619.75,929014,Cascaded,2027,611619.75,929014
