KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
LAV_COMP,LAV_COMP,,Root,0,1,Goal,Root,LAV_COMP,1,No
LAV_COMP,GCS,LAV_COMP,div,1,100.0,Goal,Root/div,LAV_COMP/GCS,106,No
LAV_COMP,ABQ,GCS,station,2,1.49,Goal,Root/div/station,LAV_COMP/GCS/ABQ,2,No
LAV_COMP,",null,",ABQ,vendor,3,49.27,Goal,Root/div/station/vendor,"LAV_COMP/GCS/ABQ/,null,",1,No
LAV_COMP,Blended,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"LAV_COMP/GCS/ABQ/,null,/Blended",0,Yes
LAV_COMP,Unifi,ABQ,vendor,3,50.73,Goal,Root/div/station/vendor,LAV_COMP/GCS/ABQ/Unifi,1,No
LAV_COMP,Blended,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,LAV_COMP/GCS/ABQ/Unifi/Blended,0,Yes
LAV_COMP,AGS,GCS,station,2,0.73,Goal,Root/div/station,LAV_COMP/GCS/AGS,1,No
LAV_COMP,Unifi,AGS,vendor,3,100.0,Goal,Root/div/station/vendor,LAV_COMP/GCS/AGS/Unifi,1,No
LAV_COMP,Blended,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,LAV_COMP/GCS/AGS/Unifi/Blended,0,Yes
LAV_COMP,ALB,GCS,station,2,0.91,Goal,Root/div/station,LAV_COMP/GCS/ALB,2,No
LAV_COMP,",null,",ALB,vendor,3,52.98,Goal,Root/div/station/vendor,"LAV_COMP/GCS/ALB/,null,",1,No
LAV_COMP,Blended,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"LAV_COMP/GCS/ALB/,null,/Blended",0,Yes
LAV_COMP,Unifi,ALB,vendor,3,47.02,Goal,Root/div/station/vendor,LAV_COMP/GCS/ALB/Unifi,1,No
LAV_COMP,Blended,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,LAV_COMP/GCS/ALB/Unifi/Blended,0,Yes
LAV_COMP,ANC,GCS,station,2,0.2,Goal,Root/div/station,LAV_COMP/GCS/ANC,2,No
LAV_COMP,",null,",ANC,vendor,3,35.19,Goal,Root/div/station/vendor,"LAV_COMP/GCS/ANC/,null,",1,No
LAV_COMP,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"LAV_COMP/GCS/ANC/,null,/Cabin",0,Yes
LAV_COMP,Pegasus,ANC,vendor,3,64.81,Goal,Root/div/station/vendor,LAV_COMP/GCS/ANC/Pegasus,1,No
LAV_COMP,Cabin,Pegasus,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,LAV_COMP/GCS/ANC/Pegasus/Cabin,0,Yes
LAV_COMP,ATL,GCS,station,2,1.33,Goal,Root/div/station,LAV_COMP/GCS/ATL,2,No
LAV_COMP,",null,",ATL,vendor,3,19.21,Goal,Root/div/station/vendor,"LAV_COMP/GCS/ATL/,null,",1,No
LAV_COMP,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"LAV_COMP/GCS/ATL/,null,/Cabin",0,Yes
LAV_COMP,Delta,ATL,vendor,3,80.79,Goal,Root/div/station/vendor,LAV_COMP/GCS/ATL/Delta,1,No
LAV_COMP,Cabin,Delta,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,LAV_COMP/GCS/ATL/Delta/Cabin,0,Yes
LAV_COMP,AUS,GCS,station,2,0.48,Goal,Root/div/station,LAV_COMP/GCS/AUS,2,No
LAV_COMP,",null,",AUS,vendor,3,52.74,Goal,Root/div/station/vendor,"LAV_COMP/GCS/AUS/,null,",1,No
LAV_COMP,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"LAV_COMP/GCS/AUS/,null,/Cabin",0,Yes
LAV_COMP,Unifi,AUS,vendor,3,47.26,Goal,Root/div/station/vendor,LAV_COMP/GCS/AUS/Unifi,1,No
LAV_COMP,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,LAV_COMP/GCS/AUS/Unifi/Cabin,0,Yes
LAV_COMP,BDL,GCS,station,2,0.68,Goal,Root/div/station,LAV_COMP/GCS/BDL,2,No
LAV_COMP,",null,",BDL,vendor,3,42.38,Goal,Root/div/station/vendor,"LAV_COMP/GCS/BDL/,null,",1,No
LAV_COMP,Blended,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"LAV_COMP/GCS/BDL/,null,/Blended",0,Yes
LAV_COMP,Menzies Aviation,BDL,vendor,3,57.62,Goal,Root/div/station/vendor,LAV_COMP/GCS/BDL/Menzies Aviation,1,No
LAV_COMP,Blended,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,LAV_COMP/GCS/BDL/Menzies Aviation/Blended,0,Yes
LAV_COMP,BHM,GCS,station,2,1.19,Goal,Root/div/station,LAV_COMP/GCS/BHM,2,No
LAV_COMP,",null,",BHM,vendor,3,61.83,Goal,Root/div/station/vendor,"LAV_COMP/GCS/BHM/,null,",1,No
LAV_COMP,Blended,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"LAV_COMP/GCS/BHM/,null,/Blended",0,Yes
