KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
LAV_QR_SCAN,LAV_QR_SCAN,,Root,0,1,Goal,Root,LAV_QR_SCAN,1,No
LAV_QR_SCAN,GCS,LAV_QR_SCAN,div,1,100.0,Goal,Root/div,LAV_QR_SCAN/GCS,56,No
LAV_QR_SCAN,ANC,GCS,station,2,1.52,Goal,Root/div/station,LAV_QR_SCAN/GCS/ANC,2,No
LAV_QR_SCAN,",null,",ANC,vendor,3,54.23,Goal,Root/div/station/vendor,"LAV_QR_SCAN/GCS/ANC/,null,",1,No
LAV_QR_SCAN,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"LAV_QR_SCAN/GCS/ANC/,null,/Cabin",0,Yes
LAV_QR_SCAN,Pegasus,ANC,vendor,3,45.77,Goal,Root/div/station/vendor,LAV_QR_SCAN/GCS/ANC/Pegasus,1,No
LAV_QR_SCAN,Cabin,Pegasus,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,LAV_QR_SCAN/GCS/ANC/Pegasus/Cabin,0,Yes
LAV_QR_SCAN,ATL,GCS,station,2,0.15,Goal,Root/div/station,LAV_QR_SCAN/GCS/ATL,2,No
LAV_QR_SCAN,",null,",ATL,vendor,3,58.59,Goal,Root/div/station/vendor,"LAV_QR_SCAN/GCS/ATL/,null,",1,No
LAV_QR_SCAN,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"LAV_QR_SCAN/GCS/ATL/,null,/Cabin",0,Yes
LAV_QR_SCAN,Delta,ATL,vendor,3,41.41,Goal,Root/div/station/vendor,LAV_QR_SCAN/GCS/ATL/Delta,1,No
LAV_QR_SCAN,Cabin,Delta,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,LAV_QR_SCAN/GCS/ATL/Delta/Cabin,0,Yes
