KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
LIP_NOTI,LIP_NOTI,,Root,0,1,Goal,Root,LIP_NOTI,3,No
LIP_NOTI,CGO,LIP_NOTI,div,1,27.82,Goal,Root/div,LIP_NOTI/CGO,532,No
LIP_NOTI,ABE,CGO,station,2,0.22,Goal,Root/div/station,LIP_NOTI/CGO/ABE,2,No
LIP_NOTI,D,ABE,dom_int,3,69.21,Goal,Root/div/station/dom_int,LIP_NOTI/CGO/ABE/D,0,Yes
LIP_NOTI,I,ABE,dom_int,3,30.79,Goal,Root/div/station/dom_int,LIP_NOTI/CGO/ABE/I,0,Yes
LIP_NOTI,ABJ,CGO,station,2,0.05,Goal,Root/div/station,LIP_NOTI/CGO/ABJ,1,No
LIP_NOTI,I,ABJ,dom_int,3,100.0,Goal,Root/div/station/dom_int,LIP_NOTI/CGO/ABJ/I,0,Yes
LIP_NOTI,ABQ,CGO,station,2,0.06,Goal,Root/div/station,LIP_NOTI/CGO/ABQ,2,No
LIP_NOTI,D,ABQ,dom_int,3,46.51,Goal,Root/div/station/dom_int,LIP_NOTI/CGO/ABQ/D,0,Yes
LIP_NOTI,I,ABQ,dom_int,3,53.49,Goal,Root/div/station/dom_int,LIP_NOTI/CGO/ABQ/I,0,Yes
LIP_NOTI,ABR,CGO,station,2,0.01,Goal,Root/div/station,LIP_NOTI/CGO/ABR,1,No
LIP_NOTI,D,ABR,dom_int,3,100.0,Goal,Root/div/station/dom_int,LIP_NOTI/CGO/ABR/D,0,Yes
LIP_NOTI,ABV,CGO,station,2,0.08,Goal,Root/div/station,LIP_NOTI/CGO/ABV,1,No
LIP_NOTI,I,ABV,dom_int,3,100.0,Goal,Root/div/station/dom_int,LIP_NOTI/CGO/ABV/I,0,Yes
LIP_NOTI,ABY,CGO,station,2,0.08,Goal,Root/div/station,LIP_NOTI/CGO/ABY,1,No
LIP_NOTI,D,ABY,dom_int,3,100.0,Goal,Root/div/station/dom_int,LIP_NOTI/CGO/ABY/D,0,Yes
LIP_NOTI,ABZ,CGO,station,2,0.23,Goal,Root/div/station,LIP_NOTI/CGO/ABZ,2,No
LIP_NOTI,D,ABZ,dom_int,3,56.65,Goal,Root/div/station/dom_int,LIP_NOTI/CGO/ABZ/D,0,Yes
LIP_NOTI,I,ABZ,dom_int,3,43.35,Goal,Root/div/station/dom_int,LIP_NOTI/CGO/ABZ/I,0,Yes
LIP_NOTI,ACC,CGO,station,2,0.33,Goal,Root/div/station,LIP_NOTI/CGO/ACC,2,No
