KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
PREM_FB_NSAT,PREM_FB_NSAT,,Root,0,1,Goal,Root,PREM_FB_NSAT,2,No
PREM_FB_NSAT,ML,PREM_FB_NSAT,carrier,1,26.66,Goal,Root/carrier,PREM_FB_NSAT/ML,2,No
PREM_FB_NSAT,D,ML,dom_int,2,31.44,Goal,Root/carrier/dom_int,PREM_FB_NSAT/ML/D,1,No
PREM_FB_NSAT,FC,D,cabin,3,100.0,Goal,Root/carrier/dom_int/cabin,PREM_FB_NSAT/ML/D/FC,0,Yes
PREM_FB_NSAT,TATL,ML,entity,2,68.56,Goal,Root/carrier/entity,PREM_FB_NSAT/ML/TATL,1,No
PREM_FB_NSAT,D1,TATL,cabin,3,100.0,Goal,Root/carrier/entity/cabin,PREM_FB_NSAT/ML/TATL/D1,0,Yes
PREM_FB_NSAT,OBS,PREM_FB_NSAT,div,1,73.34,Goal,Root/div,PREM_FB_NSAT/OBS,1,No
PREM_FB_NSAT,ML,OBS,carrier,2,100.0,Goal,Root/div/carrier,PREM_FB_NSAT/OBS/ML,177,No
PREM_FB_NSAT,ABM,ML,caterer,3,0.1,Goal,Root/div/carrier/caterer,PREM_FB_NSAT/OBS/ML/ABM,1,No
PREM_FB_NSAT,TATL,ABM,entity,4,100.0,Goal,Root/div/carrier/caterer/entity,PREM_FB_NSAT/OBS/ML/ABM/TATL,1,No
PREM_FB_NSAT,D1,TATL,cabin,5,100.0,Goal,Root/div/carrier/caterer/entity/cabin,PREM_FB_NSAT/OBS/ML/ABM/TATL/D1,0,Yes
PREM_FB_NSAT,AirChefs,ML,caterer,3,0.4,Goal,Root/div/carrier/caterer,PREM_FB_NSAT/OBS/ML/AirChefs,1,No
PREM_FB_NSAT,TATL,AirChefs,entity,4,100.0,Goal,Root/div/carrier/caterer/entity,PREM_FB_NSAT/OBS/ML/AirChefs/TATL,1,No
PREM_FB_NSAT,D1,TATL,cabin,5,100.0,Goal,Root/div/carrier/caterer/entity/cabin,PREM_FB_NSAT/OBS/ML/AirChefs/TATL/D1,0,Yes
PREM_FB_NSAT,Alpha,ML,caterer,3,0.21,Goal,Root/div/carrier/caterer,PREM_FB_NSAT/OBS/ML/Alpha,1,No
PREM_FB_NSAT,TATL,Alpha,entity,4,100.0,Goal,Root/div/carrier/caterer/entity,PREM_FB_NSAT/OBS/ML/Alpha/TATL,1,No
PREM_FB_NSAT,D1,TATL,cabin,5,100.0,Goal,Root/div/carrier/caterer/entity/cabin,PREM_FB_NSAT/OBS/ML/Alpha/TATL/D1,0,Yes
