KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
RSGE_D0,RSGE_D0,,Root,0,1,Goal,Root,RSGE_D0,3,No
RSGE_D0,ACS,RSGE_D0,div,1,9.61,Goal,Root/div,RSGE_D0/ACS,318,No
RSGE_D0,APAC_Director,ACS,director,2,0.15,Goal,Root/div/director,RSGE_D0/ACS/APAC_Director,0,Yes
RSGE_D0,AUS_Director,ACS,director,2,0.52,Goal,Root/div/director,RSGE_D0/ACS/AUS_Director,0,Yes
RSGE_D0,CANMEX_Director,ACS,director,2,0.36,Goal,Root/div/director,RSGE_D0/ACS/CANMEX_Director,0,Yes
RSGE_D0,Caribbean_Director,ACS,director,2,0.55,Goal,Root/div/director,RSGE_D0/ACS/Caribbean_Director,0,Yes
RSGE_D0,CASA_Director,ACS,director,2,0.39,Goal,Root/div/director,RSGE_D0/ACS/CASA_Director,0,Yes
RSGE_D0,Central_Director,ACS,director,2,0.54,Goal,Root/div/director,RSGE_D0/ACS/Central_Director,0,Yes
RSGE_D0,East_Director,ACS,director,2,0.51,Goal,Root/div/director,RSGE_D0/ACS/East_Director,0,Yes
RSGE_D0,EMEA-A,ACS,director,2,0.32,Goal,Root/div/director,RSGE_D0/ACS/EMEA-A,0,Yes
RSGE_D0,EMEA-B,ACS,director,2,0.44,Goal,Root/div/director,RSGE_D0/ACS/EMEA-B,0,Yes
RSGE_D0,FieldStations_Director,ACS,director,2,0.14,Goal,Root/div/director,RSGE_D0/ACS/FieldStations_Director,0,Yes
RSGE_D0,Florida_Director,ACS,director,2,0.43,Goal,Root/div/director,RSGE_D0/ACS/Florida_Director,0,Yes
RSGE_D0,Hub_ATL,ACS,director,2,0.57,Goal,Root/div/director,RSGE_D0/ACS/Hub_ATL,0,Yes
RSGE_D0,Hub_BOS,ACS,director,2,0.26,Goal,Root/div/director,RSGE_D0/ACS/Hub_BOS,0,Yes
RSGE_D0,Hub_DTW,ACS,director,2,0.28,Goal,Root/div/director,RSGE_D0/ACS/Hub_DTW,0,Yes
RSGE_D0,Hub_JFK,ACS,director,2,0.07,Goal,Root/div/director,RSGE_D0/ACS/Hub_JFK,0,Yes
RSGE_D0,Hub_LAX,ACS,director,2,0.51,Goal,Root/div/director,RSGE_D0/ACS/Hub_LAX,0,Yes
RSGE_D0,Hub_LGA,ACS,director,2,0.56,Goal,Root/div/director,RSGE_D0/ACS/Hub_LGA,0,Yes
RSGE_D0,Hub_MSP,ACS,director,2,0.34,Goal,Root/div/director,RSGE_D0/ACS/Hub_MSP,0,Yes
RSGE_D0,Hub_SEA,ACS,director,2,0.48,Goal,Root/div/director,RSGE_D0/ACS/Hub_SEA,0,Yes
RSGE_D0,Hub_SLC,ACS,director,2,0.64,Goal,Root/div/director,RSGE_D0/ACS/Hub_SLC,0,Yes
RSGE_D0,West_Director,ACS,director,2,0.05,Goal,Root/div/director,RSGE_D0/ACS/West_Director,0,Yes
RSGE_D0,ACSATL,ACS,division,2,0.02,Goal,Root/div/division,RSGE_D0/ACS/ACSATL,0,Yes
RSGE_D0,DTW_AUS_FL,ACS,division,2,0.31,Goal,Root/div/division,RSGE_D0/ACS/DTW_AUS_FL,0,Yes
RSGE_D0,East,ACS,division,2,0.33,Goal,Root/div/division,RSGE_D0/ACS/East,0,Yes
RSGE_D0,FieldStations,ACS,division,2,0.45,Goal,Root/div/division,RSGE_D0/ACS/FieldStations,0,Yes
RSGE_D0,International,ACS,division,2,0.47,Goal,Root/div/division,RSGE_D0/ACS/International,0,Yes
RSGE_D0,JFK_BOS,ACS,division,2,0.51,Goal,Root/div/division,RSGE_D0/ACS/JFK_BOS,0,Yes
RSGE_D0,MSP_SEA_SLC,ACS,division,2,0.45,Goal,Root/div/division,RSGE_D0/ACS/MSP_SEA_SLC,0,Yes
RSGE_D0,West_Central,ACS,division,2,0.05,Goal,Root/div/division,RSGE_D0/ACS/West_Central,0,Yes
RSGE_D0,AUS_Region,ACS,region,2,0.34,Goal,Root/div/region,RSGE_D0/ACS/AUS_Region,0,Yes
RSGE_D0,Canada_Region,ACS,region,2,0.32,Goal,Root/div/region,RSGE_D0/ACS/Canada_Region,0,Yes
RSGE_D0,Caribbean_Region,ACS,region,2,0.08,Goal,Root/div/region,RSGE_D0/ACS/Caribbean_Region,0,Yes
RSGE_D0,CDG_Region,ACS,region,2,0.59,Goal,Root/div/region,RSGE_D0/ACS/CDG_Region,0,Yes
RSGE_D0,CentralAmerica_Region,ACS,region,2,0.05,Goal,Root/div/region,RSGE_D0/ACS/CentralAmerica_Region,0,Yes
RSGE_D0,Central_Region,ACS,region,2,0.37,Goal,Root/div/region,RSGE_D0/ACS/Central_Region,0,Yes
RSGE_D0,EastAsia_Region,ACS,region,2,0.15,Goal,Root/div/region,RSGE_D0/ACS/EastAsia_Region,0,Yes
RSGE_D0,Florida_Region,ACS,region,2,0.27,Goal,Root/div/region,RSGE_D0/ACS/Florida_Region,0,Yes
RSGE_D0,FS_Central,ACS,region,2,0.04,Goal,Root/div/region,RSGE_D0/ACS/FS_Central,0,Yes
RSGE_D0,FS_East,ACS,region,2,0.61,Goal,Root/div/region,RSGE_D0/ACS/FS_East,0,Yes
RSGE_D0,FS_MountainWest,ACS,region,2,0.33,Goal,Root/div/region,RSGE_D0/ACS/FS_MountainWest,0,Yes
RSGE_D0,FS_South,ACS,region,2,0.34,Goal,Root/div/region,RSGE_D0/ACS/FS_South,0,Yes
RSGE_D0,FS_West,ACS,region,2,0.11,Goal,Root/div/region,RSGE_D0/ACS/FS_West,0,Yes
RSGE_D0,GreatLakes_Region,ACS,region,2,0.12,Goal,Root/div/region,RSGE_D0/ACS/GreatLakes_Region,0,Yes
RSGE_D0,MCO_Region,ACS,region,2,0.47,Goal,Root/div/region,RSGE_D0/ACS/MCO_Region,0,Yes
RSGE_D0,Mexico_Region,ACS,region,2,0.09,Goal,Root/div/region,RSGE_D0/ACS/Mexico_Region,0,Yes
RSGE_D0,MIA_Region,ACS,region,2,0.05,Goal,Root/div/region,RSGE_D0/ACS/MIA_Region,0,Yes
RSGE_D0,Northeast_Region,ACS,region,2,0.28,Goal,Root/div/region,RSGE_D0/ACS/Northeast_Region,0,Yes
RSGE_D0,SouthAmerica_Region,ACS,region,2,0.59,Goal,Root/div/region,RSGE_D0/ACS/SouthAmerica_Region,0,Yes
RSGE_D0,Southeast_Region,ACS,region,2,0.47,Goal,Root/div/region,RSGE_D0/ACS/Southeast_Region,0,Yes
RSGE_D0,SouthPacific_Region,ACS,region,2,0.14,Goal,Root/div/region,RSGE_D0/ACS/SouthPacific_Region,0,Yes
RSGE_D0,SouthWest_Region,ACS,region,2,0.03,Goal,Root/div/region,RSGE_D0/ACS/SouthWest_Region,0,Yes
RSGE_D0,West_Region,ACS,region,2,0.28,Goal,Root/div/region,RSGE_D0/ACS/West_Region,0,Yes
RSGE_D0,ABQ,ACS,station,2,0.42,Goal,Root/div/station,RSGE_D0/ACS/ABQ,0,Yes
RSGE_D0,ACC,ACS,station,2,0.15,Goal,Root/div/station,RSGE_D0/ACS/ACC,0,Yes
RSGE_D0,AGS,ACS,station,2,0.64,Goal,Root/div/station,RSGE_D0/ACS/AGS,0,Yes
RSGE_D0,AKL,ACS,station,2,0.15,Goal,Root/div/station,RSGE_D0/ACS/AKL,0,Yes
RSGE_D0,ALB,ACS,station,2,0.08,Goal,Root/div/station,RSGE_D0/ACS/ALB,0,Yes
RSGE_D0,ANC,ACS,station,2,0.53,Goal,Root/div/station,RSGE_D0/ACS/ANC,0,Yes
RSGE_D0,ANU,ACS,station,2,0.22,Goal,Root/div/station,RSGE_D0/ACS/ANU,0,Yes
RSGE_D0,ARN,ACS,station,2,0.51,Goal,Root/div/station,RSGE_D0/ACS/ARN,0,Yes
RSGE_D0,ATH,ACS,station,2,0.64,Goal,Root/div/station,RSGE_D0/ACS/ATH,0,Yes
RSGE_D0,ATL,ACS,station,2,0.17,Goal,Root/div/station,RSGE_D0/ACS/ATL,0,Yes
RSGE_D0,ATW,ACS,station,2,0.42,Goal,Root/div/station,RSGE_D0/ACS/ATW,0,Yes
RSGE_D0,AUA,ACS,station,2,0.35,Goal,Root/div/station,RSGE_D0/ACS/AUA,0,Yes
RSGE_D0,AUS,ACS,station,2,0.65,Goal,Root/div/station,RSGE_D0/ACS/AUS,0,Yes
RSGE_D0,AVL,ACS,station,2,0.62,Goal,Root/div/station,RSGE_D0/ACS/AVL,0,Yes
RSGE_D0,BCN,ACS,station,2,0.51,Goal,Root/div/station,RSGE_D0/ACS/BCN,0,Yes
RSGE_D0,BDA,ACS,station,2,0.42,Goal,Root/div/station,RSGE_D0/ACS/BDA,0,Yes
RSGE_D0,BDL,ACS,station,2,0.05,Goal,Root/div/station,RSGE_D0/ACS/BDL,0,Yes
RSGE_D0,BER,ACS,station,2,0.49,Goal,Root/div/station,RSGE_D0/ACS/BER,0,Yes
RSGE_D0,BGI,ACS,station,2,0.57,Goal,Root/div/station,RSGE_D0/ACS/BGI,0,Yes
RSGE_D0,BGR,ACS,station,2,0.47,Goal,Root/div/station,RSGE_D0/ACS/BGR,0,Yes
RSGE_D0,BHM,ACS,station,2,0.26,Goal,Root/div/station,RSGE_D0/ACS/BHM,0,Yes
RSGE_D0,BIL,ACS,station,2,0.11,Goal,Root/div/station,RSGE_D0/ACS/BIL,0,Yes
RSGE_D0,BIS,ACS,station,2,0.47,Goal,Root/div/station,RSGE_D0/ACS/BIS,0,Yes
RSGE_D0,BNA,ACS,station,2,0.31,Goal,Root/div/station,RSGE_D0/ACS/BNA,0,Yes
RSGE_D0,BNE,ACS,station,2,0.44,Goal,Root/div/station,RSGE_D0/ACS/BNE,0,Yes
RSGE_D0,BOG,ACS,station,2,0.17,Goal,Root/div/station,RSGE_D0/ACS/BOG,0,Yes
RSGE_D0,BOI,ACS,station,2,0.51,Goal,Root/div/station,RSGE_D0/ACS/BOI,0,Yes
RSGE_D0,BON,ACS,station,2,0.15,Goal,Root/div/station,RSGE_D0/ACS/BON,0,Yes
RSGE_D0,BOS,ACS,station,2,0.35,Goal,Root/div/station,RSGE_D0/ACS/BOS,0,Yes
RSGE_D0,BRU,ACS,station,2,0.25,Goal,Root/div/station,RSGE_D0/ACS/BRU,0,Yes
RSGE_D0,BTR,ACS,station,2,0.37,Goal,Root/div/station,RSGE_D0/ACS/BTR,0,Yes
RSGE_D0,BTV,ACS,station,2,0.0,Goal,Root/div/station,RSGE_D0/ACS/BTV,0,Yes
RSGE_D0,BUF,ACS,station,2,0.06,Goal,Root/div/station,RSGE_D0/ACS/BUF,0,Yes
