KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
TOT_MEAL_COST,TOT_MEAL_COST,,Root,0,1,Goal,Root,TOT_MEAL_COST,1,No
TOT_MEAL_COST,OBS,TOT_MEAL_COST,div,1,100.0,Goal,Root/div,TOT_MEAL_COST/OBS,17,No
TOT_MEAL_COST,DOCO,OBS,caterer,2,7.66,Goal,Root/div/caterer,TOT_MEAL_COST/OBS/DOCO,0,Yes
TOT_MEAL_COST,LSG,OBS,caterer,2,9.83,Goal,Root/div/caterer,TOT_MEAL_COST/OBS/LSG,0,Yes
TOT_MEAL_COST,Mainline,OBS,caterer,2,6.26,Goal,Root/div/caterer,TOT_MEAL_COST/OBS/Mainline,0,Yes
TOT_MEAL_COST,Newrest,OBS,caterer,2,8.76,Goal,Root/div/caterer,TOT_MEAL_COST/OBS/Newrest,0,Yes
TOT_MEAL_COST,North_America,OBS,continental_region,2,6.47,Goal,Root/div/continental_region,TOT_MEAL_COST/OBS/North_America,0,Yes
TOT_MEAL_COST,Northeast_Hubs,OBS,director,2,0.77,Goal,Root/div/director,TOT_MEAL_COST/OBS/Northeast_Hubs,0,Yes
TOT_MEAL_COST,T2_East,OBS,director,2,4.72,Goal,Root/div/director,TOT_MEAL_COST/OBS/T2_East,0,Yes
TOT_MEAL_COST,West_Hubs,OBS,director,2,8.37,Goal,Root/div/director,TOT_MEAL_COST/OBS/West_Hubs,0,Yes
TOT_MEAL_COST,East,OBS,region,2,3.79,Goal,Root/div/region,TOT_MEAL_COST/OBS/East,0,Yes
TOT_MEAL_COST,ATL,OBS,station,2,4.74,Goal,Root/div/station,TOT_MEAL_COST/OBS/ATL,2,No
TOT_MEAL_COST,Mainline,ATL,caterer,3,10.84,Goal,Root/div/station/caterer,TOT_MEAL_COST/OBS/ATL/Mainline,1,No
TOT_MEAL_COST,IFK,Mainline,kitchen,4,100.0,Goal,Root/div/station/caterer/kitchen,TOT_MEAL_COST/OBS/ATL/Mainline/IFK,0,Yes
TOT_MEAL_COST,Newrest,ATL,caterer,3,89.16,Goal,Root/div/station/caterer,TOT_MEAL_COST/OBS/ATL/Newrest,1,No
TOT_MEAL_COST,DFK,Newrest,kitchen,4,100.0,Goal,Root/div/station/caterer/kitchen,TOT_MEAL_COST/OBS/ATL/Newrest/DFK,0,Yes
TOT_MEAL_COST,BOS,OBS,station,2,4.45,Goal,Root/div/station,TOT_MEAL_COST/OBS/BOS,0,Yes
TOT_MEAL_COST,DTW,OBS,station,2,9.25,Goal,Root/div/station,TOT_MEAL_COST/OBS/DTW,0,Yes
TOT_MEAL_COST,MSP,OBS,station,2,2.73,Goal,Root/div/station,TOT_MEAL_COST/OBS/MSP,0,Yes
TOT_MEAL_COST,RDU,OBS,station,2,9.91,Goal,Root/div/station,TOT_MEAL_COST/OBS/RDU,0,Yes
TOT_MEAL_COST,SLC,OBS,station,2,0.82,Goal,Root/div/station,TOT_MEAL_COST/OBS/SLC,0,Yes
TOT_MEAL_COST,ATL_DFK,OBS,stn_kitchen,2,6.6,Goal,Root/div/stn_kitchen,TOT_MEAL_COST/OBS/ATL_DFK,0,Yes
TOT_MEAL_COST,ATL_IFK,OBS,stn_kitchen,2,4.87,Goal,Root/div/stn_kitchen,TOT_MEAL_COST/OBS/ATL_IFK,0,Yes
