KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
VND_DOOR_CLOSE,VND_DOOR_CLOSE,,Root,0,1,Goal,Root,VND_DOOR_CLOSE,1,No
VND_DOOR_CLOSE,VND,VND_DOOR_CLOSE,div,1,100.0,Goal,Root/div,VND_DOOR_CLOSE/VND,53,No
VND_DOOR_CLOSE,ABQ,VND,station,2,1.01,Goal,Root/div/station,VND_DOOR_CLOSE/VND/ABQ,1,No
VND_DOOR_CLOSE,Unifi,ABQ,vendor,3,100.0,Goal,Root/div/station/vendor,VND_DOOR_CLOSE/VND/ABQ/Unifi,1,No
VND_DOOR_CLOSE,Blended,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,VND_DOOR_CLOSE/VND/ABQ/Unifi/Blended,0,Yes
VND_DOOR_CLOSE,ALB,VND,station,2,2.8,Goal,Root/div/station,VND_DOOR_CLOSE/VND/ALB,1,No
VND_DOOR_CLOSE,Unifi,ALB,vendor,3,100.0,Goal,Root/div/station/vendor,VND_DOOR_CLOSE/VND/ALB/Unifi,1,No
VND_DOOR_CLOSE,Blended,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,VND_DOOR_CLOSE/VND/ALB/Unifi/Blended,0,Yes
VND_DOOR_CLOSE,BDL,VND,station,2,0.1,Goal,Root/div/station,VND_DOOR_CLOSE/VND/BDL,1,No
VND_DOOR_CLOSE,Menzies Aviation,BDL,vendor,3,100.0,Goal,Root/div/station/vendor,VND_DOOR_CLOSE/VND/BDL/Menzies Aviation,1,No
VND_DOOR_CLOSE,Blended,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,VND_DOOR_CLOSE/VND/BDL/Menzies Aviation/Blended,0,Yes
VND_DOOR_CLOSE,BHM,VND,station,2,2.65,Goal,Root/div/station,VND_DOOR_CLOSE/VND/BHM,1,No
VND_DOOR_CLOSE,Unifi,BHM,vendor,3,100.0,Goal,Root/div/station/vendor,VND_DOOR_CLOSE/VND/BHM/Unifi,1,No
VND_DOOR_CLOSE,Blended,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,VND_DOOR_CLOSE/VND/BHM/Unifi/Blended,0,Yes
VND_DOOR_CLOSE,BOI,VND,station,2,0.51,Goal,Root/div/station,VND_DOOR_CLOSE/VND/BOI,1,No
VND_DOOR_CLOSE,Unifi,BOI,vendor,3,100.0,Goal,Root/div/station/vendor,VND_DOOR_CLOSE/VND/BOI/Unifi,1,No
VND_DOOR_CLOSE,Blended,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,VND_DOOR_CLOSE/VND/BOI/Unifi/Blended,0,Yes
VND_DOOR_CLOSE,BZN,VND,station,2,2.31,Goal,Root/div/station,VND_DOOR_CLOSE/VND/BZN,1,No
VND_DOOR_CLOSE,WFS -Worldwide Flight Services,BZN,vendor,3,100.0,Goal,Root/div/station/vendor,VND_DOOR_CLOSE/VND/BZN/WFS -Worldwide Flight Services,1,No
VND_DOOR_CLOSE,Blended,WFS -Worldwide Flight Services,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,VND_DOOR_CLOSE/VND/BZN/WFS -Worldwide Flight Services/Blended,0,Yes
VND_DOOR_CLOSE,CAE,VND,station,2,2.61,Goal,Root/div/station,VND_DOOR_CLOSE/VND/CAE,1,No
VND_DOOR_CLOSE,Unifi,CAE,vendor,3,100.0,Goal,Root/div/station/vendor,VND_DOOR_CLOSE/VND/CAE/Unifi,1,No
VND_DOOR_CLOSE,Blended,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,VND_DOOR_CLOSE/VND/CAE/Unifi/Blended,0,Yes
VND_DOOR_CLOSE,CHS,VND,station,2,0.28,Goal,Root/div/station,VND_DOOR_CLOSE/VND/CHS,1,No
VND_DOOR_CLOSE,Unifi,CHS,vendor,3,100.0,Goal,Root/div/station/vendor,VND_DOOR_CLOSE/VND/CHS/Unifi,1,No
VND_DOOR_CLOSE,Blended,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,VND_DOOR_CLOSE/VND/CHS/Unifi/Blended,0,Yes
VND_DOOR_CLOSE,CLE,VND,station,2,2.29,Goal,Root/div/station,VND_DOOR_CLOSE/VND/CLE,1,No
VND_DOOR_CLOSE,Unifi,CLE,vendor,3,100.0,Goal,Root/div/station/vendor,VND_DOOR_CLOSE/VND/CLE/Unifi,1,No
VND_DOOR_CLOSE,Blended,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,VND_DOOR_CLOSE/VND/CLE/Unifi/Blended,0,Yes
VND_DOOR_CLOSE,CLT,VND,station,2,2.91,Goal,Root/div/station,VND_DOOR_CLOSE/VND/CLT,1,No
VND_DOOR_CLOSE,Unifi,CLT,vendor,3,100.0,Goal,Root/div/station/vendor,VND_DOOR_CLOSE/VND/CLT/Unifi,1,No
VND_DOOR_CLOSE,Blended,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,VND_DOOR_CLOSE/VND/CLT/Unifi/Blended,0,Yes
VND_DOOR_CLOSE,COS,VND,station,2,1.95,Goal,Root/div/station,VND_DOOR_CLOSE/VND/COS,1,No
VND_DOOR_CLOSE,Unifi,COS,vendor,3,100.0,Goal,Root/div/station/vendor,VND_DOOR_CLOSE/VND/COS/Unifi,1,No
VND_DOOR_CLOSE,Blended,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,VND_DOOR_CLOSE/VND/COS/Unifi/Blended,0,Yes
VND_DOOR_CLOSE,DAB,VND,station,2,0.89,Goal,Root/div/station,VND_DOOR_CLOSE/VND/DAB,1,No
VND_DOOR_CLOSE,Menzies Aviation,DAB,vendor,3,100.0,Goal,Root/div/station/vendor,VND_DOOR_CLOSE/VND/DAB/Menzies Aviation,1,No
VND_DOOR_CLOSE,Blended,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,VND_DOOR_CLOSE/VND/DAB/Menzies Aviation/Blended,0,Yes
VND_DOOR_CLOSE,DAY,VND,station,2,2.5,Goal,Root/div/station,VND_DOOR_CLOSE/VND/DAY,1,No
