KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
WCH_TIME_ORIG,WCH_TIME_ORIG,,Root,0,1,Goal,Root,WCH_TIME_ORIG,1,No
WCH_TIME_ORIG,VND,WCH_TIME_ORIG,div,1,100.0,Goal,Root/div,WCH_TIME_ORIG/VND,14,No
WCH_TIME_ORIG,ATL,VND,station,2,3.68,Goal,Root/div/station,WCH_TIME_ORIG/VND/ATL,1,No
WCH_TIME_ORIG,Unifi,ATL,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_TIME_ORIG/VND/ATL/Unifi,1,No
WCH_TIME_ORIG,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_TIME_ORIG/VND/ATL/Unifi/WCH,0,Yes
WCH_TIME_ORIG,BOS,VND,station,2,4.74,Goal,Root/div/station,WCH_TIME_ORIG/VND/BOS,1,No
WCH_TIME_ORIG,Unifi,BOS,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_TIME_ORIG/VND/BOS/Unifi,1,No
WCH_TIME_ORIG,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_TIME_ORIG/VND/BOS/Unifi/WCH,0,Yes
WCH_TIME_ORIG,DTW,VND,station,2,5.91,Goal,Root/div/station,WCH_TIME_ORIG/VND/DTW,1,No
WCH_TIME_ORIG,Unifi,DTW,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_TIME_ORIG/VND/DTW/Unifi,1,No
WCH_TIME_ORIG,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_TIME_ORIG/VND/DTW/Unifi/WCH,0,Yes
WCH_TIME_ORIG,FLL,VND,station,2,13.57,Goal,Root/div/station,WCH_TIME_ORIG/VND/FLL,1,No
WCH_TIME_ORIG,HHS Aviation,FLL,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_TIME_ORIG/VND/FLL/HHS Aviation,1,No
WCH_TIME_ORIG,WCH,HHS Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_TIME_ORIG/VND/FLL/HHS Aviation/WCH,0,Yes
WCH_TIME_ORIG,JFK,VND,station,2,12.38,Goal,Root/div/station,WCH_TIME_ORIG/VND/JFK,1,No
WCH_TIME_ORIG,Unifi,JFK,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_TIME_ORIG/VND/JFK/Unifi,1,No
WCH_TIME_ORIG,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_TIME_ORIG/VND/JFK/Unifi/WCH,0,Yes
WCH_TIME_ORIG,LAS,VND,station,2,8.24,Goal,Root/div/station,WCH_TIME_ORIG/VND/LAS,1,No
WCH_TIME_ORIG,Unifi,LAS,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_TIME_ORIG/VND/LAS/Unifi,1,No
WCH_TIME_ORIG,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_TIME_ORIG/VND/LAS/Unifi/WCH,0,Yes
WCH_TIME_ORIG,LAX,VND,station,2,4.5,Goal,Root/div/station,WCH_TIME_ORIG/VND/LAX,1,No
WCH_TIME_ORIG,Unifi,LAX,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_TIME_ORIG/VND/LAX/Unifi,1,No
WCH_TIME_ORIG,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_TIME_ORIG/VND/LAX/Unifi/WCH,0,Yes
WCH_TIME_ORIG,LGA,VND,station,2,11.72,Goal,Root/div/station,WCH_TIME_ORIG/VND/LGA,1,No
WCH_TIME_ORIG,Menzies Aviation,LGA,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_TIME_ORIG/VND/LGA/Menzies Aviation,1,No
WCH_TIME_ORIG,WCH,Menzies Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_TIME_ORIG/VND/LGA/Menzies Aviation/WCH,0,Yes
WCH_TIME_ORIG,MCO,VND,station,2,2.31,Goal,Root/div/station,WCH_TIME_ORIG/VND/MCO,1,No
