KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
WDR,WDR,,Root,0,1,Goal,Root,WDR,4,No
WDR,ACS,WDR,div,1,44.88,Goal,Root/div,WDR/ACS,392,No
WDR,AMS_Director,ACS,director,2,0.19,Goal,Root/div/director,WDR/ACS/AMS_Director,0,Yes
WDR,APAC_Director,ACS,director,2,0.45,Goal,Root/div/director,WDR/ACS/APAC_Director,0,Yes
WDR,AUS_Director,ACS,director,2,0.17,Goal,Root/div/director,WDR/ACS/AUS_Director,0,Yes
WDR,CANMEX_Director,ACS,director,2,0.01,Goal,Root/div/director,WDR/ACS/CANMEX_Director,0,Yes
WDR,Caribbean_Director,ACS,director,2,0.25,Goal,Root/div/director,WDR/ACS/Caribbean_Director,0,Yes
WDR,CASA_Director,ACS,director,2,0.37,Goal,Root/div/director,WDR/ACS/CASA_Director,0,Yes
WDR,CDG_Director,ACS,director,2,0.07,Goal,Root/div/director,WDR/ACS/CDG_Director,0,Yes
WDR,Central_Director,ACS,director,2,0.14,Goal,Root/div/director,WDR/ACS/Central_Director,0,Yes
WDR,East_Director,ACS,director,2,0.05,Goal,Root/div/director,WDR/ACS/East_Director,0,Yes
WDR,EMEA-A,ACS,director,2,0.19,Goal,Root/div/director,WDR/ACS/EMEA-A,0,Yes
WDR,EMEA-B,ACS,director,2,0.42,Goal,Root/div/director,WDR/ACS/EMEA-B,0,Yes
WDR,FieldStations_Director,ACS,director,2,0.34,Goal,Root/div/director,WDR/ACS/FieldStations_Director,0,Yes
WDR,Florida_Director,ACS,director,2,0.0,Goal,Root/div/director,WDR/ACS/Florida_Director,0,Yes
WDR,Hub_ATL,ACS,director,2,0.2,Goal,Root/div/director,WDR/ACS/Hub_ATL,0,Yes
WDR,Hub_BOS,ACS,director,2,0.23,Goal,Root/div/director,WDR/ACS/Hub_BOS,0,Yes
WDR,Hub_DTW,ACS,director,2,0.0,Goal,Root/div/director,WDR/ACS/Hub_DTW,0,Yes
WDR,Hub_JFK,ACS,director,2,0.24,Goal,Root/div/director,WDR/ACS/Hub_JFK,0,Yes
WDR,Hub_LAX,ACS,director,2,0.13,Goal,Root/div/director,WDR/ACS/Hub_LAX,0,Yes
