KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
WDR_DISC,WDR_DISC,,Root,0,1,Goal,Root,WDR_DISC,1,No
WDR_DISC,VND,WDR_DISC,div,1,100.0,Goal,Root/div,WDR_DISC/VND,1,No
WDR_DISC,BW,VND,risk_grp,2,100.0,Goal,Root/div/risk_grp,WDR_DISC/VND/BW,116,No
WDR_DISC,ABE,BW,station,3,1.67,Goal,Root/div/risk_grp/station,WDR_DISC/VND/BW/ABE,1,No
WDR_DISC,Unifi,ABE,vendor,4,100.0,Goal,Root/div/risk_grp/station/vendor,WDR_DISC/VND/BW/ABE/Unifi,1,No
WDR_DISC,FS,Unifi,vnd_typ,5,100.0,Goal,Root/div/risk_grp/station/vendor/vnd_typ,WDR_DISC/VND/BW/ABE/Unifi/FS,0,Yes
WDR_DISC,ABQ,BW,station,3,0.46,Goal,Root/div/risk_grp/station,WDR_DISC/VND/BW/ABQ,1,No
WDR_DISC,Unifi,ABQ,vendor,4,100.0,Goal,Root/div/risk_grp/station/vendor,WDR_DISC/VND/BW/ABQ/Unifi,1,No
WDR_DISC,Blended,Unifi,vnd_typ,5,100.0,Goal,Root/div/risk_grp/station/vendor/vnd_typ,WDR_DISC/VND/BW/ABQ/Unifi/Blended,0,Yes
WDR_DISC,AGS,BW,station,3,0.62,Goal,Root/div/risk_grp/station,WDR_DISC/VND/BW/AGS,1,No
WDR_DISC,Unifi,AGS,vendor,4,100.0,Goal,Root/div/risk_grp/station/vendor,WDR_DISC/VND/BW/AGS/Unifi,2,No
WDR_DISC,Blended,Unifi,vnd_typ,5,82.82,Goal,Root/div/risk_grp/station/vendor/vnd_typ,WDR_DISC/VND/BW/AGS/Unifi/Blended,0,Yes
WDR_DISC,FS,Unifi,vnd_typ,5,17.18,Goal,Root/div/risk_grp/station/vendor/vnd_typ,WDR_DISC/VND/BW/AGS/Unifi/FS,0,Yes
WDR_DISC,ALB,BW,station,3,1.43,Goal,Root/div/risk_grp/station,WDR_DISC/VND/BW/ALB,1,No
WDR_DISC,Unifi,ALB,vendor,4,100.0,Goal,Root/div/risk_grp/station/vendor,WDR_DISC/VND/BW/ALB/Unifi,1,No
WDR_DISC,Blended,Unifi,vnd_typ,5,100.0,Goal,Root/div/risk_grp/station/vendor/vnd_typ,WDR_DISC/VND/BW/ALB/Unifi/Blended,0,Yes
WDR_DISC,ATW,BW,station,3,0.12,Goal,Root/div/risk_grp/station,WDR_DISC/VND/BW/ATW,1,No
WDR_DISC,Unifi,ATW,vendor,4,100.0,Goal,Root/div/risk_grp/station/vendor,WDR_DISC/VND/BW/ATW/Unifi,1,No
WDR_DISC,FS,Unifi,vnd_typ,5,100.0,Goal,Root/div/risk_grp/station/vendor/vnd_typ,WDR_DISC/VND/BW/ATW/Unifi/FS,0,Yes
WDR_DISC,AVL,BW,station,3,0.14,Goal,Root/div/risk_grp/station,WDR_DISC/VND/BW/AVL,1,No
WDR_DISC,Unifi,AVL,vendor,4,100.0,Goal,Root/div/risk_grp/station/vendor,WDR_DISC/VND/BW/AVL/Unifi,1,No
WDR_DISC,FS,Unifi,vnd_typ,5,100.0,Goal,Root/div/risk_grp/station/vendor/vnd_typ,WDR_DISC/VND/BW/AVL/Unifi/FS,0,Yes
WDR_DISC,BDL,BW,station,3,1.68,Goal,Root/div/risk_grp/station,WDR_DISC/VND/BW/BDL,1,No
WDR_DISC,Menzies Aviation,BDL,vendor,4,100.0,Goal,Root/div/risk_grp/station/vendor,WDR_DISC/VND/BW/BDL/Menzies Aviation,1,No
WDR_DISC,Blended,Menzies Aviation,vnd_typ,5,100.0,Goal,Root/div/risk_grp/station/vendor/vnd_typ,WDR_DISC/VND/BW/BDL/Menzies Aviation/Blended,0,Yes
WDR_DISC,BGR,BW,station,3,1.07,Goal,Root/div/risk_grp/station,WDR_DISC/VND/BW/BGR,1,No
WDR_DISC,Unifi,BGR,vendor,4,100.0,Goal,Root/div/risk_grp/station/vendor,WDR_DISC/VND/BW/BGR/Unifi,1,No
WDR_DISC,FS,Unifi,vnd_typ,5,100.0,Goal,Root/div/risk_grp/station/vendor/vnd_typ,WDR_DISC/VND/BW/BGR/Unifi/FS,0,Yes
WDR_DISC,BHM,BW,station,3,1.53,Goal,Root/div/risk_grp/station,WDR_DISC/VND/BW/BHM,1,No
WDR_DISC,Unifi,BHM,vendor,4,100.0,Goal,Root/div/risk_grp/station/vendor,WDR_DISC/VND/BW/BHM/Unifi,1,No
WDR_DISC,Blended,Unifi,vnd_typ,5,100.0,Goal,Root/div/risk_grp/station/vendor/vnd_typ,WDR_DISC/VND/BW/BHM/Unifi/Blended,0,Yes
WDR_DISC,BIL,BW,station,3,0.47,Goal,Root/div/risk_grp/station,WDR_DISC/VND/BW/BIL,1,No
WDR_DISC,Unifi,BIL,vendor,4,100.0,Goal,Root/div/risk_grp/station/vendor,WDR_DISC/VND/BW/BIL/Unifi,1,No
WDR_DISC,FS,Unifi,vnd_typ,5,100.0,Goal,Root/div/risk_grp/station/vendor/vnd_typ,WDR_DISC/VND/BW/BIL/Unifi/FS,0,Yes
WDR_DISC,BIS,BW,station,3,0.05,Goal,Root/div/risk_grp/station,WDR_DISC/VND/BW/BIS,1,No
WDR_DISC,Unifi,BIS,vendor,4,100.0,Goal,Root/div/risk_grp/station/vendor,WDR_DISC/VND/BW/BIS/Unifi,1,No
