KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
WDR_SENT,WDR_SENT,,Root,0,1,Goal,Root,WDR_SENT,1,No
WDR_SENT,ACS,WDR_SENT,div,1,100.0,Goal,Root/div,WDR_SENT/ACS,1,No
WDR_SENT,ML,ACS,carrier,2,100.0,Goal,Root/div/carrier,WDR_SENT/ACS/ML,318,No
WDR_SENT,APAC_Director,ML,director,3,0.19,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/APAC_Director,1,No
WDR_SENT,I,APAC_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/APAC_Director/I,0,Yes
WDR_SENT,AUS_Director,ML,director,3,0.08,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/AUS_Director,1,No
WDR_SENT,D,AUS_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/AUS_Director/D,0,Yes
WDR_SENT,CANMEX_Director,ML,director,3,0.15,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/CANMEX_Director,1,No
WDR_SENT,I,CANMEX_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/CANMEX_Director/I,0,Yes
WDR_SENT,Caribbean_Director,ML,director,3,0.06,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/Caribbean_Director,1,No
WDR_SENT,I,Caribbean_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/Caribbean_Director/I,0,Yes
WDR_SENT,CASA_Director,ML,director,3,0.22,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/CASA_Director,1,No
WDR_SENT,I,CASA_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/CASA_Director/I,0,Yes
WDR_SENT,CDG_Director,ML,director,3,0.36,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/CDG_Director,1,No
WDR_SENT,I,CDG_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/CDG_Director/I,0,Yes
WDR_SENT,Central_Director,ML,director,3,0.46,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/Central_Director,1,No
WDR_SENT,D,Central_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/Central_Director/D,0,Yes
WDR_SENT,East_Director,ML,director,3,0.22,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/East_Director,1,No
WDR_SENT,D,East_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/East_Director/D,0,Yes
WDR_SENT,EMEA-A,ML,director,3,0.05,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/EMEA-A,1,No
WDR_SENT,I,EMEA-A,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/EMEA-A/I,0,Yes
WDR_SENT,EMEA-B,ML,director,3,0.46,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/EMEA-B,1,No
WDR_SENT,I,EMEA-B,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/EMEA-B/I,0,Yes
WDR_SENT,FieldStations_Director,ML,director,3,0.16,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/FieldStations_Director,1,No
WDR_SENT,D,FieldStations_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/FieldStations_Director/D,0,Yes
WDR_SENT,Florida_Director,ML,director,3,0.57,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/Florida_Director,1,No
WDR_SENT,D,Florida_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/Florida_Director/D,0,Yes
WDR_SENT,Hub_ATL,ML,director,3,0.55,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/Hub_ATL,1,No
WDR_SENT,D,Hub_ATL,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/Hub_ATL/D,0,Yes
WDR_SENT,Hub_BOS,ML,director,3,0.1,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/Hub_BOS,1,No
WDR_SENT,D,Hub_BOS,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/Hub_BOS/D,0,Yes
WDR_SENT,Hub_DTW,ML,director,3,0.03,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/Hub_DTW,1,No
WDR_SENT,D,Hub_DTW,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/Hub_DTW/D,0,Yes
WDR_SENT,Hub_JFK,ML,director,3,0.3,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/Hub_JFK,1,No
WDR_SENT,D,Hub_JFK,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/Hub_JFK/D,0,Yes
WDR_SENT,Hub_LAX,ML,director,3,0.57,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/Hub_LAX,1,No
WDR_SENT,D,Hub_LAX,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/Hub_LAX/D,0,Yes
WDR_SENT,Hub_LGA,ML,director,3,0.17,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/Hub_LGA,1,No
WDR_SENT,D,Hub_LGA,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/Hub_LGA/D,0,Yes
WDR_SENT,Hub_MSP,ML,director,3,0.55,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/Hub_MSP,1,No
WDR_SENT,D,Hub_MSP,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,WDR_SENT/ACS/ML/Hub_MSP/D,0,Yes
WDR_SENT,Hub_SEA,ML,director,3,0.35,Goal,Root/div/carrier/director,WDR_SENT/ACS/ML/Hub_SEA,1,No
