KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
WFP,WFP,,Root,0,1,Goal,Root,WFP,2,No
WFP,ACS,WFP,div,1,72.88,Goal,Root/div,WFP/ACS,30,No
WFP,ATL,ACS,station,2,2.69,Goal,Root/div/station,WFP/ACS/ATL,0,Yes
WFP,AUS,ACS,station,2,3.87,Goal,Root/div/station,WFP/ACS/AUS,0,Yes
WFP,BNA,ACS,station,2,4.75,Goal,Root/div/station,WFP/ACS/BNA,0,Yes
WFP,BOS,ACS,station,2,3.97,Goal,Root/div/station,WFP/ACS/BOS,0,Yes
WFP,CVG,ACS,station,2,4.02,Goal,Root/div/station,WFP/ACS/CVG,0,Yes
WFP,DCA,ACS,station,2,6.59,Goal,Root/div/station,WFP/ACS/DCA,0,Yes
WFP,DEN,ACS,station,2,5.39,Goal,Root/div/station,WFP/ACS/DEN,0,Yes
WFP,DFW,ACS,station,2,2.4,Goal,Root/div/station,WFP/ACS/DFW,0,Yes
WFP,DTW,ACS,station,2,5.1,Goal,Root/div/station,WFP/ACS/DTW,0,Yes
WFP,EWR,ACS,station,2,0.11,Goal,Root/div/station,WFP/ACS/EWR,0,Yes
WFP,FLL,ACS,station,2,3.58,Goal,Root/div/station,WFP/ACS/FLL,0,Yes
WFP,IAH,ACS,station,2,5.54,Goal,Root/div/station,WFP/ACS/IAH,0,Yes
WFP,JFK,ACS,station,2,1.63,Goal,Root/div/station,WFP/ACS/JFK,0,Yes
WFP,LAS,ACS,station,2,0.32,Goal,Root/div/station,WFP/ACS/LAS,0,Yes
WFP,LAX,ACS,station,2,0.82,Goal,Root/div/station,WFP/ACS/LAX,0,Yes
WFP,LGA,ACS,station,2,2.6,Goal,Root/div/station,WFP/ACS/LGA,0,Yes
WFP,MCO,ACS,station,2,3.72,Goal,Root/div/station,WFP/ACS/MCO,0,Yes
WFP,MIA,ACS,station,2,3.09,Goal,Root/div/station,WFP/ACS/MIA,0,Yes
WFP,MSP,ACS,station,2,1.83,Goal,Root/div/station,WFP/ACS/MSP,0,Yes
WFP,MSY,ACS,station,2,6.11,Goal,Root/div/station,WFP/ACS/MSY,0,Yes
WFP,ORD,ACS,station,2,0.07,Goal,Root/div/station,WFP/ACS/ORD,0,Yes
WFP,PBI,ACS,station,2,4.37,Goal,Root/div/station,WFP/ACS/PBI,0,Yes
WFP,PDX,ACS,station,2,3.05,Goal,Root/div/station,WFP/ACS/PDX,0,Yes
WFP,PHX,ACS,station,2,6.58,Goal,Root/div/station,WFP/ACS/PHX,0,Yes
WFP,RDU,ACS,station,2,4.42,Goal,Root/div/station,WFP/ACS/RDU,0,Yes
WFP,SAN,ACS,station,2,0.62,Goal,Root/div/station,WFP/ACS/SAN,0,Yes
WFP,SEA,ACS,station,2,1.79,Goal,Root/div/station,WFP/ACS/SEA,0,Yes
WFP,SFO,ACS,station,2,1.5,Goal,Root/div/station,WFP/ACS/SFO,0,Yes
WFP,SLC,ACS,station,2,4.31,Goal,Root/div/station,WFP/ACS/SLC,0,Yes
WFP,TPA,ACS,station,2,5.16,Goal,Root/div/station,WFP/ACS/TPA,0,Yes
WFP,VND,WFP,div,1,27.12,Goal,Root/div,WFP/VND,2,No
WFP,DTW,VND,station,2,29.36,Goal,Root/div/station,WFP/VND/DTW,1,No
WFP,Unifi,DTW,vendor,3,100.0,Goal,Root/div/station/vendor,WFP/VND/DTW/Unifi,1,No
WFP,RMP,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WFP/VND/DTW/Unifi/RMP,1,No
WFP,MSPDTW,RMP,variant,5,100.0,Goal,Root/div/station/vendor/function/variant,WFP/VND/DTW/Unifi/RMP/MSPDTW,0,Yes
WFP,MSP,VND,station,2,70.64,Goal,Root/div/station,WFP/VND/MSP,1,No
WFP,Unifi,MSP,vendor,3,100.0,Goal,Root/div/station/vendor,WFP/VND/MSP/Unifi,1,No
WFP,RMP,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WFP/VND/MSP/Unifi/RMP,1,No
WFP,MSPDTW,RMP,variant,5,100.0,Goal,Root/div/station/vendor/function/variant,WFP/VND/MSP/Unifi/RMP/MSPDTW,0,Yes
