KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
WFP_PROXY,WFP_PROXY,,Root,0,1,Goal,Root,WFP_PROXY,1,No
WFP_PROXY,VND,WFP_PROXY,div,1,100.0,Goal,Root/div,WFP_PROXY/VND,399,No
WFP_PROXY,ABE,VND,station,2,0.21,Goal,Root/div/station,WFP_PROXY/VND/ABE,1,No
WFP_PROXY,Unifi,ABE,vendor,3,100.0,Goal,Root/div/station/vendor,WFP_PROXY/VND/ABE/Unifi,1,No
WFP_PROXY,RMP,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WFP_PROXY/VND/ABE/Unifi/RMP,1,No
WFP_PROXY,FS,RMP,vnd_typ,5,100.0,Goal,Root/div/station/vendor/function/vnd_typ,WFP_PROXY/VND/ABE/Unifi/RMP/FS,0,Yes
WFP_PROXY,ABQ,VND,station,2,0.44,Goal,Root/div/station,WFP_PROXY/VND/ABQ,2,No
WFP_PROXY,",null,",ABQ,vendor,3,24.56,Goal,Root/div/station/vendor,"WFP_PROXY/VND/ABQ/,null,",1,No
WFP_PROXY,RMP,",null,",function,4,100.0,Goal,Root/div/station/vendor/function,"WFP_PROXY/VND/ABQ/,null,/RMP",1,No
WFP_PROXY,Blended,RMP,vnd_typ,5,100.0,Goal,Root/div/station/vendor/function/vnd_typ,"WFP_PROXY/VND/ABQ/,null,/RMP/Blended",0,Yes
WFP_PROXY,Unifi,ABQ,vendor,3,75.44,Goal,Root/div/station/vendor,WFP_PROXY/VND/ABQ/Unifi,1,No
WFP_PROXY,RMP,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WFP_PROXY/VND/ABQ/Unifi/RMP,1,No
WFP_PROXY,Blended,RMP,vnd_typ,5,100.0,Goal,Root/div/station/vendor/function/vnd_typ,WFP_PROXY/VND/ABQ/Unifi/RMP/Blended,0,Yes
WFP_PROXY,ABR,VND,station,2,0.05,Goal,Root/div/station,WFP_PROXY/VND/ABR,1,No
WFP_PROXY,Unifi,ABR,vendor,3,100.0,Goal,Root/div/station/vendor,WFP_PROXY/VND/ABR/Unifi,1,No
WFP_PROXY,RMP,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WFP_PROXY/VND/ABR/Unifi/RMP,1,No
WFP_PROXY,FS,RMP,vnd_typ,5,100.0,Goal,Root/div/station/vendor/function/vnd_typ,WFP_PROXY/VND/ABR/Unifi/RMP/FS,0,Yes
WFP_PROXY,ABY,VND,station,2,0.25,Goal,Root/div/station,WFP_PROXY/VND/ABY,1,No
WFP_PROXY,Menzies Aviation,ABY,vendor,3,100.0,Goal,Root/div/station/vendor,WFP_PROXY/VND/ABY/Menzies Aviation,1,No
