KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
ALW,ALW,,Root,0,1,Goal,Root,ALW,8,No
ALW,ACS,ALW,div,1,19.37,Goal,Root/div,ALW/ACS,394,No
ALW,AMS_Director,ACS,director,2,0.07,Goal,Root/div/director,ALW/ACS/AMS_Director,0,Yes
ALW,APAC_Director,ACS,director,2,0.41,Goal,Root/div/director,ALW/ACS/APAC_Director,0,Yes
ALW,AUS_Director,ACS,director,2,0.3,Goal,Root/div/director,ALW/ACS/AUS_Director,0,Yes
ALW,CANMEX_Director,ACS,director,2,0.03,Goal,Root/div/director,ALW/ACS/CANMEX_Director,0,Yes
ALW,Caribbean_Director,ACS,director,2,0.17,Goal,Root/div/director,ALW/ACS/Caribbean_Director,0,Yes
ALW,CASA_Director,ACS,director,2,0.33,Goal,Root/div/director,ALW/ACS/CASA_Director,0,Yes
ALW,CDG_Director,ACS,director,2,0.21,Goal,Root/div/director,ALW/ACS/CDG_Director,0,Yes
ALW,Central_Director,ACS,director,2,0.48,Goal,Root/div/director,ALW/ACS/Central_Director,0,Yes
ALW,East_Director,ACS,director,2,0.21,Goal,Root/div/director,ALW/ACS/East_Director,0,Yes
ALW,EMEA-A,ACS,director,2,0.3,Goal,Root/div/director,ALW/ACS/EMEA-A,0,Yes
ALW,EMEA-B,ACS,director,2,0.07,Goal,Root/div/director,ALW/ACS/EMEA-B,0,Yes
ALW,FieldStations_Director,ACS,director,2,0.23,Goal,Root/div/director,ALW/ACS/FieldStations_Director,0,Yes
ALW,Florida_Director,ACS,director,2,0.4,Goal,Root/div/director,ALW/ACS/Florida_Director,0,Yes
ALW,Hub_ATL,ACS,director,2,0.17,Goal,Root/div/director,ALW/ACS/Hub_ATL,0,Yes
ALW,Hub_BOS,ACS,director,2,0.1,Goal,Root/div/director,ALW/ACS/Hub_BOS,0,Yes
ALW,Hub_DTW,ACS,director,2,0.17,Goal,Root/div/director,ALW/ACS/Hub_DTW,0,Yes
ALW,Hub_JFK,ACS,director,2,0.33,Goal,Root/div/director,ALW/ACS/Hub_JFK,0,Yes
ALW,Hub_LAX,ACS,director,2,0.19,Goal,Root/div/director,ALW/ACS/Hub_LAX,0,Yes
ALW,Hub_LGA,ACS,director,2,0.06,Goal,Root/div/director,ALW/ACS/Hub_LGA,0,Yes
ALW,Hub_MSP,ACS,director,2,0.03,Goal,Root/div/director,ALW/ACS/Hub_MSP,0,Yes
ALW,Hub_SEA,ACS,director,2,0.03,Goal,Root/div/director,ALW/ACS/Hub_SEA,0,Yes
ALW,Hub_SLC,ACS,director,2,0.36,Goal,Root/div/director,ALW/ACS/Hub_SLC,0,Yes
ALW,West_Director,ACS,director,2,0.46,Goal,Root/div/director,ALW/ACS/West_Director,0,Yes
ALW,ACSATL,ACS,division,2,0.36,Goal,Root/div/division,ALW/ACS/ACSATL,0,Yes
ALW,DTW_AUS_FL,ACS,division,2,0.22,Goal,Root/div/division,ALW/ACS/DTW_AUS_FL,0,Yes
ALW,East,ACS,division,2,0.02,Goal,Root/div/division,ALW/ACS/East,0,Yes
ALW,FieldStations,ACS,division,2,0.09,Goal,Root/div/division,ALW/ACS/FieldStations,0,Yes
ALW,International,ACS,division,2,0.43,Goal,Root/div/division,ALW/ACS/International,0,Yes
ALW,JFK_BOS,ACS,division,2,0.44,Goal,Root/div/division,ALW/ACS/JFK_BOS,0,Yes
ALW,MSP_SEA_SLC,ACS,division,2,0.13,Goal,Root/div/division,ALW/ACS/MSP_SEA_SLC,0,Yes
ALW,West_Central,ACS,division,2,0.27,Goal,Root/div/division,ALW/ACS/West_Central,0,Yes
ALW,AMS_Region,ACS,region,2,0.41,Goal,Root/div/region,ALW/ACS/AMS_Region,0,Yes
ALW,AUS_Region,ACS,region,2,0.24,Goal,Root/div/region,ALW/ACS/AUS_Region,0,Yes
ALW,Canada_Region,ACS,region,2,0.31,Goal,Root/div/region,ALW/ACS/Canada_Region,0,Yes
ALW,Caribbean_Region,ACS,region,2,0.48,Goal,Root/div/region,ALW/ACS/Caribbean_Region,0,Yes
ALW,CDG_Region,ACS,region,2,0.31,Goal,Root/div/region,ALW/ACS/CDG_Region,0,Yes
ALW,CentralAmerica_Region,ACS,region,2,0.02,Goal,Root/div/region,ALW/ACS/CentralAmerica_Region,0,Yes
ALW,Central_Region,ACS,region,2,0.24,Goal,Root/div/region,ALW/ACS/Central_Region,0,Yes
ALW,EastAsia_Region,ACS,region,2,0.07,Goal,Root/div/region,ALW/ACS/EastAsia_Region,0,Yes
ALW,Florida_Region,ACS,region,2,0.24,Goal,Root/div/region,ALW/ACS/Florida_Region,0,Yes
ALW,FS_Central,ACS,region,2,0.02,Goal,Root/div/region,ALW/ACS/FS_Central,0,Yes
ALW,FS_East,ACS,region,2,0.26,Goal,Root/div/region,ALW/ACS/FS_East,0,Yes
ALW,FS_MountainWest,ACS,region,2,0.04,Goal,Root/div/region,ALW/ACS/FS_MountainWest,0,Yes
ALW,FS_South,ACS,region,2,0.06,Goal,Root/div/region,ALW/ACS/FS_South,0,Yes
ALW,FS_West,ACS,region,2,0.3,Goal,Root/div/region,ALW/ACS/FS_West,0,Yes
ALW,GreatLakes_Region,ACS,region,2,0.46,Goal,Root/div/region,ALW/ACS/GreatLakes_Region,0,Yes
ALW,MCO_Region,ACS,region,2,0.41,Goal,Root/div/region,ALW/ACS/MCO_Region,0,Yes
ALW,Mexico_Region,ACS,region,2,0.48,Goal,Root/div/region,ALW/ACS/Mexico_Region,0,Yes
ALW,MIA_Region,ACS,region,2,0.1,Goal,Root/div/region,ALW/ACS/MIA_Region,0,Yes
ALW,Northeast_Region,ACS,region,2,0.14,Goal,Root/div/region,ALW/ACS/Northeast_Region,0,Yes
ALW,SouthAmerica_Region,ACS,region,2,0.06,Goal,Root/div/region,ALW/ACS/SouthAmerica_Region,0,Yes
ALW,Southeast_Region,ACS,region,2,0.46,Goal,Root/div/region,ALW/ACS/Southeast_Region,0,Yes
ALW,SouthPacific_Region,ACS,region,2,0.23,Goal,Root/div/region,ALW/ACS/SouthPacific_Region,0,Yes
ALW,SouthWest_Region,ACS,region,2,0.19,Goal,Root/div/region,ALW/ACS/SouthWest_Region,0,Yes
ALW,West_Region,ACS,region,2,0.12,Goal,Root/div/region,ALW/ACS/West_Region,0,Yes
ALW,ABE,ACS,station,2,0.5,Goal,Root/div/station,ALW/ACS/ABE,0,Yes
ALW,ABQ,ACS,station,2,0.44,Goal,Root/div/station,ALW/ACS/ABQ,0,Yes
ALW,ABR,ACS,station,2,0.29,Goal,Root/div/station,ALW/ACS/ABR,0,Yes
ALW,ABY,ACS,station,2,0.5,Goal,Root/div/station,ALW/ACS/ABY,0,Yes
ALW,ACC,ACS,station,2,0.41,Goal,Root/div/station,ALW/ACS/ACC,0,Yes
ALW,ACK,ACS,station,2,0.15,Goal,Root/div/station,ALW/ACS/ACK,0,Yes
ALW,AEX,ACS,station,2,0.32,Goal,Root/div/station,ALW/ACS/AEX,0,Yes
ALW,AGS,ACS,station,2,0.14,Goal,Root/div/station,ALW/ACS/AGS,0,Yes
ALW,AKL,ACS,station,2,0.32,Goal,Root/div/station,ALW/ACS/AKL,0,Yes
ALW,ALB,ACS,station,2,0.16,Goal,Root/div/station,ALW/ACS/ALB,0,Yes
ALW,AMS,ACS,station,2,0.17,Goal,Root/div/station,ALW/ACS/AMS,0,Yes
ALW,ANC,ACS,station,2,0.39,Goal,Root/div/station,ALW/ACS/ANC,0,Yes
ALW,ANU,ACS,station,2,0.47,Goal,Root/div/station,ALW/ACS/ANU,0,Yes
