KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
AOS_AVG,AOS_AVG,,Root,0,1,Goal,Root,AOS_AVG,16,No
AOS_AVG,TOP,AOS_AVG,div,1,8.26,Goal,Root/div,AOS_AVG/TOP,56,No
AOS_AVG,N,TOP,body_type_cd,2,3.47,Goal,Root/div/body_type_cd,AOS_AVG/TOP/N,0,Yes
AOS_AVG,W,TOP,body_type_cd,2,3.95,Goal,Root/div/body_type_cd,AOS_AVG/TOP/W,0,Yes
AOS_AVG,A220-ALL,TOP,hgst_fleet,2,1.25,Goal,Root/div/hgst_fleet,AOS_AVG/TOP/A220-ALL,0,Yes
AOS_AVG,A319,TOP,hgst_fleet,2,3.05,Goal,Root/div/hgst_fleet,AOS_AVG/TOP/A319,0,Yes
AOS_AVG,A330-ALL,TOP,hgst_fleet,2,2.19,Goal,Root/div/hgst_fleet,AOS_AVG/TOP/A330-ALL,0,Yes
AOS_AVG,A350-ALL,TOP,hgst_fleet,2,3.24,Goal,Root/div/hgst_fleet,AOS_AVG/TOP/A350-ALL,0,Yes
AOS_AVG,B717-200,TOP,hgst_fleet,2,1.26,Goal,Root/div/hgst_fleet,AOS_AVG/TOP/B717-200,0,Yes
AOS_AVG,B737-ALL,TOP,hgst_fleet,2,2.19,Goal,Root/div/hgst_fleet,AOS_AVG/TOP/B737-ALL,0,Yes
AOS_AVG,B757-ALL,TOP,hgst_fleet,2,4.06,Goal,Root/div/hgst_fleet,AOS_AVG/TOP/B757-ALL,0,Yes
AOS_AVG,B767-300,TOP,hgst_fleet,2,3.38,Goal,Root/div/hgst_fleet,AOS_AVG/TOP/B767-300,0,Yes
AOS_AVG,B767-400,TOP,hgst_fleet,2,0.88,Goal,Root/div/hgst_fleet,AOS_AVG/TOP/B767-400,0,Yes
AOS_AVG,A221,TOP,lwst_fleet,2,2.23,Goal,Root/div/lwst_fleet,AOS_AVG/TOP/A221,0,Yes
AOS_AVG,A223,TOP,lwst_fleet,2,2.62,Goal,Root/div/lwst_fleet,AOS_AVG/TOP/A223,0,Yes
AOS_AVG,A321,TOP,lwst_fleet,2,1.63,Goal,Root/div/lwst_fleet,AOS_AVG/TOP/A321,0,Yes
AOS_AVG,A321CEO,TOP,lwst_fleet,2,3.56,Goal,Root/div/lwst_fleet,AOS_AVG/TOP/A321CEO,0,Yes
AOS_AVG,A321NEO,TOP,lwst_fleet,2,0.56,Goal,Root/div/lwst_fleet,AOS_AVG/TOP/A321NEO,0,Yes
AOS_AVG,A330CEO,TOP,lwst_fleet,2,1.08,Goal,Root/div/lwst_fleet,AOS_AVG/TOP/A330CEO,0,Yes
AOS_AVG,A330NEO,TOP,lwst_fleet,2,0.09,Goal,Root/div/lwst_fleet,AOS_AVG/TOP/A330NEO,0,Yes
AOS_AVG,A350-941,TOP,lwst_fleet,2,1.66,Goal,Root/div/lwst_fleet,AOS_AVG/TOP/A350-941,0,Yes
AOS_AVG,B737-800,TOP,lwst_fleet,2,0.48,Goal,Root/div/lwst_fleet,AOS_AVG/TOP/B737-800,0,Yes
AOS_AVG,B737-900,TOP,lwst_fleet,2,2.38,Goal,Root/div/lwst_fleet,AOS_AVG/TOP/B737-900,0,Yes
AOS_AVG,ATL,TOP,station,2,0.7,Goal,Root/div/station,AOS_AVG/TOP/ATL,0,Yes
AOS_AVG,AUS,TOP,station,2,1.96,Goal,Root/div/station,AOS_AVG/TOP/AUS,0,Yes
AOS_AVG,BNA,TOP,station,2,1.46,Goal,Root/div/station,AOS_AVG/TOP/BNA,0,Yes
AOS_AVG,BOS,TOP,station,2,1.94,Goal,Root/div/station,AOS_AVG/TOP/BOS,0,Yes
AOS_AVG,BWI,TOP,station,2,0.19,Goal,Root/div/station,AOS_AVG/TOP/BWI,0,Yes
AOS_AVG,CLT,TOP,station,2,3.16,Goal,Root/div/station,AOS_AVG/TOP/CLT,0,Yes
AOS_AVG,CVG,TOP,station,2,0.89,Goal,Root/div/station,AOS_AVG/TOP/CVG,0,Yes
AOS_AVG,DCA,TOP,station,2,0.61,Goal,Root/div/station,AOS_AVG/TOP/DCA,0,Yes
AOS_AVG,DEN,TOP,station,2,0.7,Goal,Root/div/station,AOS_AVG/TOP/DEN,0,Yes
AOS_AVG,DFW,TOP,station,2,0.4,Goal,Root/div/station,AOS_AVG/TOP/DFW,0,Yes
AOS_AVG,DTW,TOP,station,2,2.75,Goal,Root/div/station,AOS_AVG/TOP/DTW,0,Yes
AOS_AVG,EWR,TOP,station,2,0.94,Goal,Root/div/station,AOS_AVG/TOP/EWR,0,Yes
AOS_AVG,FLL,TOP,station,2,0.12,Goal,Root/div/station,AOS_AVG/TOP/FLL,0,Yes
AOS_AVG,HNL,TOP,station,2,0.01,Goal,Root/div/station,AOS_AVG/TOP/HNL,0,Yes
AOS_AVG,IMA,TOP,station,2,2.36,Goal,Root/div/station,AOS_AVG/TOP/IMA,0,Yes
AOS_AVG,JFK,TOP,station,2,0.96,Goal,Root/div/station,AOS_AVG/TOP/JFK,0,Yes
AOS_AVG,LAS,TOP,station,2,3.21,Goal,Root/div/station,AOS_AVG/TOP/LAS,0,Yes
AOS_AVG,LAX,TOP,station,2,1.34,Goal,Root/div/station,AOS_AVG/TOP/LAX,0,Yes
AOS_AVG,LGA,TOP,station,2,3.96,Goal,Root/div/station,AOS_AVG/TOP/LGA,0,Yes
AOS_AVG,MCI,TOP,station,2,1.81,Goal,Root/div/station,AOS_AVG/TOP/MCI,0,Yes
AOS_AVG,MCO,TOP,station,2,2.35,Goal,Root/div/station,AOS_AVG/TOP/MCO,0,Yes
AOS_AVG,MEM,TOP,station,2,2.31,Goal,Root/div/station,AOS_AVG/TOP/MEM,0,Yes
AOS_AVG,MIA,TOP,station,2,3.16,Goal,Root/div/station,AOS_AVG/TOP/MIA,0,Yes
AOS_AVG,MSP,TOP,station,2,2.65,Goal,Root/div/station,AOS_AVG/TOP/MSP,0,Yes
AOS_AVG,MSY,TOP,station,2,0.11,Goal,Root/div/station,AOS_AVG/TOP/MSY,0,Yes
AOS_AVG,ORD,TOP,station,2,0.28,Goal,Root/div/station,AOS_AVG/TOP/ORD,0,Yes
AOS_AVG,PDX,TOP,station,2,0.3,Goal,Root/div/station,AOS_AVG/TOP/PDX,0,Yes
AOS_AVG,PHL,TOP,station,2,1.57,Goal,Root/div/station,AOS_AVG/TOP/PHL,0,Yes
AOS_AVG,PHX,TOP,station,2,1.29,Goal,Root/div/station,AOS_AVG/TOP/PHX,0,Yes
AOS_AVG,RDU,TOP,station,2,1.39,Goal,Root/div/station,AOS_AVG/TOP/RDU,0,Yes
AOS_AVG,SAN,TOP,station,2,1.38,Goal,Root/div/station,AOS_AVG/TOP/SAN,0,Yes
AOS_AVG,SEA,TOP,station,2,2.23,Goal,Root/div/station,AOS_AVG/TOP/SEA,0,Yes
AOS_AVG,SFO,TOP,station,2,3.19,Goal,Root/div/station,AOS_AVG/TOP/SFO,0,Yes
AOS_AVG,SLC,TOP,station,2,0.54,Goal,Root/div/station,AOS_AVG/TOP/SLC,0,Yes
AOS_AVG,TPA,TOP,station,2,2.5700000000000003,Goal,Root/div/station,AOS_AVG/TOP/TPA,0,Yes
AOS_AVG,A220-ALL,AOS_AVG,hgst_fleet,1,11.74,Goal,Root/hgst_fleet,AOS_AVG/A220-ALL,0,Yes
AOS_AVG,A319,AOS_AVG,hgst_fleet,1,1.35,Goal,Root/hgst_fleet,AOS_AVG/A319,0,Yes
AOS_AVG,A330-ALL,AOS_AVG,hgst_fleet,1,5.49,Goal,Root/hgst_fleet,AOS_AVG/A330-ALL,0,Yes
AOS_AVG,A350-ALL,AOS_AVG,hgst_fleet,1,9.35,Goal,Root/hgst_fleet,AOS_AVG/A350-ALL,0,Yes
AOS_AVG,B717-200,AOS_AVG,hgst_fleet,1,1.25,Goal,Root/hgst_fleet,AOS_AVG/B717-200,0,Yes
AOS_AVG,B737-ALL,AOS_AVG,hgst_fleet,1,11.14,Goal,Root/hgst_fleet,AOS_AVG/B737-ALL,0,Yes
AOS_AVG,B757-ALL,AOS_AVG,hgst_fleet,1,0.32,Goal,Root/hgst_fleet,AOS_AVG/B757-ALL,0,Yes
AOS_AVG,B767-300,AOS_AVG,hgst_fleet,1,11.6,Goal,Root/hgst_fleet,AOS_AVG/B767-300,0,Yes
AOS_AVG,B767-400,AOS_AVG,hgst_fleet,1,0.18,Goal,Root/hgst_fleet,AOS_AVG/B767-400,0,Yes
AOS_AVG,A221,AOS_AVG,lwst_fleet,1,9.21,Goal,Root/lwst_fleet,AOS_AVG/A221,0,Yes
AOS_AVG,A223,AOS_AVG,lwst_fleet,1,3.37,Goal,Root/lwst_fleet,AOS_AVG/A223,0,Yes
AOS_AVG,A350-941,AOS_AVG,lwst_fleet,1,8.82,Goal,Root/lwst_fleet,AOS_AVG/A350-941,0,Yes
AOS_AVG,B737-800,AOS_AVG,lwst_fleet,1,1.04,Goal,Root/lwst_fleet,AOS_AVG/B737-800,0,Yes
AOS_AVG,B737-900,AOS_AVG,lwst_fleet,1,5.29,Goal,Root/lwst_fleet,AOS_AVG/B737-900,0,Yes
AOS_AVG,DL,AOS_AVG,sys,1,11.59,Goal,Root/sys,AOS_AVG/DL,0,Yes
