KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
APT_INT,APT_INT,,Root,0,1,Goal,Root,APT_INT,3,No
APT_INT,ACS,APT_INT,div,1,4.1,Goal,Root/div,APT_INT/ACS,188,No
APT_INT,AUS_Director,ACS,director,2,0.88,Goal,Root/div/director,APT_INT/ACS/AUS_Director,0,Yes
APT_INT,Central_Director,ACS,director,2,0.22,Goal,Root/div/director,APT_INT/ACS/Central_Director,0,Yes
APT_INT,East_Director,ACS,director,2,0.2,Goal,Root/div/director,APT_INT/ACS/East_Director,0,Yes
APT_INT,FieldStations_Director,ACS,director,2,0.29,Goal,Root/div/director,APT_INT/ACS/FieldStations_Director,0,Yes
APT_INT,Florida_Director,ACS,director,2,0.33,Goal,Root/div/director,APT_INT/ACS/Florida_Director,0,Yes
APT_INT,Hub_ATL,ACS,director,2,0.6,Goal,Root/div/director,APT_INT/ACS/Hub_ATL,0,Yes
APT_INT,Hub_BOS,ACS,director,2,0.98,Goal,Root/div/director,APT_INT/ACS/Hub_BOS,0,Yes
APT_INT,Hub_DTW,ACS,director,2,1.09,Goal,Root/div/director,APT_INT/ACS/Hub_DTW,0,Yes
APT_INT,Hub_JFK,ACS,director,2,0.21,Goal,Root/div/director,APT_INT/ACS/Hub_JFK,0,Yes
APT_INT,Hub_LAX,ACS,director,2,0.47,Goal,Root/div/director,APT_INT/ACS/Hub_LAX,0,Yes
APT_INT,Hub_LGA,ACS,director,2,0.5,Goal,Root/div/director,APT_INT/ACS/Hub_LGA,0,Yes
APT_INT,Hub_MSP,ACS,director,2,0.47,Goal,Root/div/director,APT_INT/ACS/Hub_MSP,0,Yes
APT_INT,Hub_SEA,ACS,director,2,0.69,Goal,Root/div/director,APT_INT/ACS/Hub_SEA,0,Yes
APT_INT,Hub_SLC,ACS,director,2,0.45,Goal,Root/div/director,APT_INT/ACS/Hub_SLC,0,Yes
APT_INT,West_Director,ACS,director,2,0.21,Goal,Root/div/director,APT_INT/ACS/West_Director,0,Yes
APT_INT,ACSATL,ACS,division,2,0.66,Goal,Root/div/division,APT_INT/ACS/ACSATL,0,Yes
APT_INT,DTW_AUS_FL,ACS,division,2,0.69,Goal,Root/div/division,APT_INT/ACS/DTW_AUS_FL,0,Yes
APT_INT,East,ACS,division,2,0.57,Goal,Root/div/division,APT_INT/ACS/East,0,Yes
APT_INT,FieldStations,ACS,division,2,0.12,Goal,Root/div/division,APT_INT/ACS/FieldStations,0,Yes
APT_INT,JFK_BOS,ACS,division,2,1.03,Goal,Root/div/division,APT_INT/ACS/JFK_BOS,0,Yes
APT_INT,MSP_SEA_SLC,ACS,division,2,0.2,Goal,Root/div/division,APT_INT/ACS/MSP_SEA_SLC,0,Yes
APT_INT,West_Central,ACS,division,2,0.89,Goal,Root/div/division,APT_INT/ACS/West_Central,0,Yes
APT_INT,AUS_Region,ACS,region,2,0.76,Goal,Root/div/region,APT_INT/ACS/AUS_Region,0,Yes
APT_INT,Central_Region,ACS,region,2,0.18,Goal,Root/div/region,APT_INT/ACS/Central_Region,0,Yes
APT_INT,Florida_Region,ACS,region,2,0.12,Goal,Root/div/region,APT_INT/ACS/Florida_Region,0,Yes
APT_INT,FS_Central,ACS,region,2,0.93,Goal,Root/div/region,APT_INT/ACS/FS_Central,0,Yes
APT_INT,FS_East,ACS,region,2,0.24,Goal,Root/div/region,APT_INT/ACS/FS_East,0,Yes
APT_INT,FS_MountainWest,ACS,region,2,0.51,Goal,Root/div/region,APT_INT/ACS/FS_MountainWest,0,Yes
APT_INT,FS_South,ACS,region,2,0.57,Goal,Root/div/region,APT_INT/ACS/FS_South,0,Yes
APT_INT,FS_West,ACS,region,2,0.58,Goal,Root/div/region,APT_INT/ACS/FS_West,0,Yes
APT_INT,GreatLakes_Region,ACS,region,2,0.23,Goal,Root/div/region,APT_INT/ACS/GreatLakes_Region,0,Yes
APT_INT,MCO_Region,ACS,region,2,0.43,Goal,Root/div/region,APT_INT/ACS/MCO_Region,0,Yes
APT_INT,MIA_Region,ACS,region,2,0.12,Goal,Root/div/region,APT_INT/ACS/MIA_Region,0,Yes
APT_INT,Northeast_Region,ACS,region,2,1.06,Goal,Root/div/region,APT_INT/ACS/Northeast_Region,0,Yes
APT_INT,Southeast_Region,ACS,region,2,0.04,Goal,Root/div/region,APT_INT/ACS/Southeast_Region,0,Yes
APT_INT,SouthWest_Region,ACS,region,2,0.61,Goal,Root/div/region,APT_INT/ACS/SouthWest_Region,0,Yes
APT_INT,West_Region,ACS,region,2,1.0,Goal,Root/div/region,APT_INT/ACS/West_Region,0,Yes
APT_INT,ABE,ACS,station,2,0.93,Goal,Root/div/station,APT_INT/ACS/ABE,0,Yes
APT_INT,ABQ,ACS,station,2,0.8,Goal,Root/div/station,APT_INT/ACS/ABQ,0,Yes
APT_INT,AGS,ACS,station,2,0.01,Goal,Root/div/station,APT_INT/ACS/AGS,0,Yes
APT_INT,ALB,ACS,station,2,0.48,Goal,Root/div/station,APT_INT/ACS/ALB,0,Yes
APT_INT,ANC,ACS,station,2,0.09,Goal,Root/div/station,APT_INT/ACS/ANC,0,Yes
APT_INT,ATL,ACS,station,2,0.85,Goal,Root/div/station,APT_INT/ACS/ATL,0,Yes
APT_INT,ATW,ACS,station,2,0.72,Goal,Root/div/station,APT_INT/ACS/ATW,0,Yes
APT_INT,AUS,ACS,station,2,0.98,Goal,Root/div/station,APT_INT/ACS/AUS,0,Yes
APT_INT,AVL,ACS,station,2,0.98,Goal,Root/div/station,APT_INT/ACS/AVL,0,Yes
APT_INT,BDL,ACS,station,2,0.06,Goal,Root/div/station,APT_INT/ACS/BDL,0,Yes
APT_INT,BHM,ACS,station,2,0.68,Goal,Root/div/station,APT_INT/ACS/BHM,0,Yes
APT_INT,BIL,ACS,station,2,0.98,Goal,Root/div/station,APT_INT/ACS/BIL,0,Yes
APT_INT,BIS,ACS,station,2,0.48,Goal,Root/div/station,APT_INT/ACS/BIS,0,Yes
APT_INT,BNA,ACS,station,2,0.23,Goal,Root/div/station,APT_INT/ACS/BNA,0,Yes
APT_INT,BOI,ACS,station,2,0.67,Goal,Root/div/station,APT_INT/ACS/BOI,0,Yes
APT_INT,BOS,ACS,station,2,0.19,Goal,Root/div/station,APT_INT/ACS/BOS,0,Yes
APT_INT,BTR,ACS,station,2,0.85,Goal,Root/div/station,APT_INT/ACS/BTR,0,Yes
APT_INT,BTV,ACS,station,2,0.31,Goal,Root/div/station,APT_INT/ACS/BTV,0,Yes
APT_INT,BUF,ACS,station,2,0.63,Goal,Root/div/station,APT_INT/ACS/BUF,0,Yes
APT_INT,BUR,ACS,station,2,0.46,Goal,Root/div/station,APT_INT/ACS/BUR,0,Yes
APT_INT,BWI,ACS,station,2,0.08,Goal,Root/div/station,APT_INT/ACS/BWI,0,Yes
APT_INT,BZN,ACS,station,2,1.04,Goal,Root/div/station,APT_INT/ACS/BZN,0,Yes
APT_INT,CAE,ACS,station,2,0.94,Goal,Root/div/station,APT_INT/ACS/CAE,0,Yes
APT_INT,CHA,ACS,station,2,0.13,Goal,Root/div/station,APT_INT/ACS/CHA,0,Yes
APT_INT,CHO,ACS,station,2,0.41,Goal,Root/div/station,APT_INT/ACS/CHO,0,Yes
APT_INT,CHS,ACS,station,2,0.38,Goal,Root/div/station,APT_INT/ACS/CHS,0,Yes
APT_INT,CID,ACS,station,2,0.17,Goal,Root/div/station,APT_INT/ACS/CID,0,Yes
APT_INT,CLE,ACS,station,2,0.01,Goal,Root/div/station,APT_INT/ACS/CLE,0,Yes
APT_INT,CLT,ACS,station,2,0.07,Goal,Root/div/station,APT_INT/ACS/CLT,0,Yes
APT_INT,CMH,ACS,station,2,0.96,Goal,Root/div/station,APT_INT/ACS/CMH,0,Yes
APT_INT,COS,ACS,station,2,0.41,Goal,Root/div/station,APT_INT/ACS/COS,0,Yes
APT_INT,CVG,ACS,station,2,0.96,Goal,Root/div/station,APT_INT/ACS/CVG,0,Yes
APT_INT,DAB,ACS,station,2,0.24,Goal,Root/div/station,APT_INT/ACS/DAB,0,Yes
APT_INT,DAL,ACS,station,2,0.61,Goal,Root/div/station,APT_INT/ACS/DAL,0,Yes
APT_INT,DAY,ACS,station,2,0.96,Goal,Root/div/station,APT_INT/ACS/DAY,0,Yes
APT_INT,DCA,ACS,station,2,0.99,Goal,Root/div/station,APT_INT/ACS/DCA,0,Yes
APT_INT,DEN,ACS,station,2,0.44,Goal,Root/div/station,APT_INT/ACS/DEN,0,Yes
APT_INT,DFW,ACS,station,2,0.56,Goal,Root/div/station,APT_INT/ACS/DFW,0,Yes
APT_INT,DSM,ACS,station,2,0.89,Goal,Root/div/station,APT_INT/ACS/DSM,0,Yes
APT_INT,DTW,ACS,station,2,0.43,Goal,Root/div/station,APT_INT/ACS/DTW,0,Yes
APT_INT,ECP,ACS,station,2,0.96,Goal,Root/div/station,APT_INT/ACS/ECP,0,Yes
APT_INT,EUG,ACS,station,2,0.53,Goal,Root/div/station,APT_INT/ACS/EUG,0,Yes
APT_INT,EWR,ACS,station,2,0.2,Goal,Root/div/station,APT_INT/ACS/EWR,0,Yes
APT_INT,EYW,ACS,station,2,0.02,Goal,Root/div/station,APT_INT/ACS/EYW,0,Yes
APT_INT,FAR,ACS,station,2,0.1,Goal,Root/div/station,APT_INT/ACS/FAR,0,Yes
APT_INT,FAT,ACS,station,2,0.48,Goal,Root/div/station,APT_INT/ACS/FAT,0,Yes
APT_INT,FCA,ACS,station,2,0.83,Goal,Root/div/station,APT_INT/ACS/FCA,0,Yes
APT_INT,FLL,ACS,station,2,0.95,Goal,Root/div/station,APT_INT/ACS/FLL,0,Yes
APT_INT,FSD,ACS,station,2,0.79,Goal,Root/div/station,APT_INT/ACS/FSD,0,Yes
APT_INT,FWA,ACS,station,2,0.12,Goal,Root/div/station,APT_INT/ACS/FWA,0,Yes
APT_INT,GEG,ACS,station,2,0.0,Goal,Root/div/station,APT_INT/ACS/GEG,0,Yes
APT_INT,GNV,ACS,station,2,0.55,Goal,Root/div/station,APT_INT/ACS/GNV,0,Yes
APT_INT,GPT,ACS,station,2,1.09,Goal,Root/div/station,APT_INT/ACS/GPT,0,Yes
APT_INT,GRB,ACS,station,2,0.98,Goal,Root/div/station,APT_INT/ACS/GRB,0,Yes
APT_INT,GRR,ACS,station,2,1.06,Goal,Root/div/station,APT_INT/ACS/GRR,0,Yes
APT_INT,GSO,ACS,station,2,0.32,Goal,Root/div/station,APT_INT/ACS/GSO,0,Yes
APT_INT,GSP,ACS,station,2,0.13,Goal,Root/div/station,APT_INT/ACS/GSP,0,Yes
APT_INT,HNL,ACS,station,2,0.42,Goal,Root/div/station,APT_INT/ACS/HNL,0,Yes
APT_INT,HOU,ACS,station,2,0.64,Goal,Root/div/station,APT_INT/ACS/HOU,0,Yes
APT_INT,HPN,ACS,station,2,0.94,Goal,Root/div/station,APT_INT/ACS/HPN,0,Yes
APT_INT,HSV,ACS,station,2,0.24,Goal,Root/div/station,APT_INT/ACS/HSV,0,Yes
APT_INT,IAD,ACS,station,2,0.63,Goal,Root/div/station,APT_INT/ACS/IAD,0,Yes
APT_INT,IAH,ACS,station,2,0.94,Goal,Root/div/station,APT_INT/ACS/IAH,0,Yes
APT_INT,ICT,ACS,station,2,0.06,Goal,Root/div/station,APT_INT/ACS/ICT,0,Yes
APT_INT,ILM,ACS,station,2,0.79,Goal,Root/div/station,APT_INT/ACS/ILM,0,Yes
APT_INT,IND,ACS,station,2,0.35,Goal,Root/div/station,APT_INT/ACS/IND,0,Yes
APT_INT,JAN,ACS,station,2,0.17,Goal,Root/div/station,APT_INT/ACS/JAN,0,Yes
APT_INT,JAX,ACS,station,2,0.03,Goal,Root/div/station,APT_INT/ACS/JAX,0,Yes
APT_INT,JFK,ACS,station,2,0.49,Goal,Root/div/station,APT_INT/ACS/JFK,0,Yes
APT_INT,KOA,ACS,station,2,0.95,Goal,Root/div/station,APT_INT/ACS/KOA,0,Yes
APT_INT,LAS,ACS,station,2,1.05,Goal,Root/div/station,APT_INT/ACS/LAS,0,Yes
APT_INT,LAX,ACS,station,2,0.52,Goal,Root/div/station,APT_INT/ACS/LAX,0,Yes
APT_INT,LEX,ACS,station,2,0.87,Goal,Root/div/station,APT_INT/ACS/LEX,0,Yes
APT_INT,LGA,ACS,station,2,0.46,Goal,Root/div/station,APT_INT/ACS/LGA,0,Yes
APT_INT,LGB,ACS,station,2,0.06,Goal,Root/div/station,APT_INT/ACS/LGB,0,Yes
APT_INT,LIH,ACS,station,2,0.7,Goal,Root/div/station,APT_INT/ACS/LIH,0,Yes
APT_INT,LIT,ACS,station,2,0.08,Goal,Root/div/station,APT_INT/ACS/LIT,0,Yes
APT_INT,MCI,ACS,station,2,0.92,Goal,Root/div/station,APT_INT/ACS/MCI,0,Yes
APT_INT,MCO,ACS,station,2,0.3,Goal,Root/div/station,APT_INT/ACS/MCO,0,Yes
APT_INT,MDT,ACS,station,2,0.49,Goal,Root/div/station,APT_INT/ACS/MDT,0,Yes
APT_INT,MDW,ACS,station,2,0.87,Goal,Root/div/station,APT_INT/ACS/MDW,0,Yes
APT_INT,MEM,ACS,station,2,0.5,Goal,Root/div/station,APT_INT/ACS/MEM,0,Yes
APT_INT,MFR,ACS,station,2,0.68,Goal,Root/div/station,APT_INT/ACS/MFR,0,Yes
APT_INT,MIA,ACS,station,2,0.21,Goal,Root/div/station,APT_INT/ACS/MIA,0,Yes
APT_INT,MKE,ACS,station,2,0.54,Goal,Root/div/station,APT_INT/ACS/MKE,0,Yes
APT_INT,MLB,ACS,station,2,0.53,Goal,Root/div/station,APT_INT/ACS/MLB,0,Yes
APT_INT,MSN,ACS,station,2,0.04,Goal,Root/div/station,APT_INT/ACS/MSN,0,Yes
APT_INT,MSO,ACS,station,2,0.48,Goal,Root/div/station,APT_INT/ACS/MSO,0,Yes
APT_INT,MSP,ACS,station,2,0.96,Goal,Root/div/station,APT_INT/ACS/MSP,0,Yes
APT_INT,MSY,ACS,station,2,0.76,Goal,Root/div/station,APT_INT/ACS/MSY,0,Yes
APT_INT,MYR,ACS,station,2,0.09,Goal,Root/div/station,APT_INT/ACS/MYR,0,Yes
APT_INT,OAK,ACS,station,2,0.01,Goal,Root/div/station,APT_INT/ACS/OAK,0,Yes
APT_INT,OGG,ACS,station,2,0.7,Goal,Root/div/station,APT_INT/ACS/OGG,0,Yes
APT_INT,OKC,ACS,station,2,0.24,Goal,Root/div/station,APT_INT/ACS/OKC,0,Yes
APT_INT,OMA,ACS,station,2,0.32,Goal,Root/div/station,APT_INT/ACS/OMA,0,Yes
APT_INT,ONT,ACS,station,2,0.63,Goal,Root/div/station,APT_INT/ACS/ONT,0,Yes
APT_INT,ORD,ACS,station,2,0.9,Goal,Root/div/station,APT_INT/ACS/ORD,0,Yes
APT_INT,ORF,ACS,station,2,0.58,Goal,Root/div/station,APT_INT/ACS/ORF,0,Yes
APT_INT,PBI,ACS,station,2,0.69,Goal,Root/div/station,APT_INT/ACS/PBI,0,Yes
APT_INT,PDX,ACS,station,2,0.95,Goal,Root/div/station,APT_INT/ACS/PDX,0,Yes
APT_INT,PHL,ACS,station,2,0.63,Goal,Root/div/station,APT_INT/ACS/PHL,0,Yes
APT_INT,PHX,ACS,station,2,0.96,Goal,Root/div/station,APT_INT/ACS/PHX,0,Yes
APT_INT,PIT,ACS,station,2,0.76,Goal,Root/div/station,APT_INT/ACS/PIT,0,Yes
APT_INT,PNS,ACS,station,2,0.6,Goal,Root/div/station,APT_INT/ACS/PNS,0,Yes
