KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
APT_INT_INTL,APT_INT_INTL,,Root,0,1,Goal,Root,APT_INT_INTL,1,No
APT_INT_INTL,ACS,APT_INT_INTL,div,1,100.0,Goal,Root/div,APT_INT_INTL/ACS,96,No
APT_INT_INTL,AMS_Director,ACS,director,2,0.13,Goal,Root/div/director,APT_INT_INTL/ACS/AMS_Director,0,Yes
APT_INT_INTL,APAC_Director,ACS,director,2,0.48,Goal,Root/div/director,APT_INT_INTL/ACS/APAC_Director,0,Yes
APT_INT_INTL,CANMEX_Director,ACS,director,2,0.35,Goal,Root/div/director,APT_INT_INTL/ACS/CANMEX_Director,0,Yes
APT_INT_INTL,Caribbean_Director,ACS,director,2,0.45,Goal,Root/div/director,APT_INT_INTL/ACS/Caribbean_Director,0,Yes
APT_INT_INTL,CASA_Director,ACS,director,2,1.6,Goal,Root/div/director,APT_INT_INTL/ACS/CASA_Director,0,Yes
APT_INT_INTL,CDG_Director,ACS,director,2,1.24,Goal,Root/div/director,APT_INT_INTL/ACS/CDG_Director,0,Yes
APT_INT_INTL,EMEA-A,ACS,director,2,1.8,Goal,Root/div/director,APT_INT_INTL/ACS/EMEA-A,0,Yes
APT_INT_INTL,EMEA-B,ACS,director,2,0.45,Goal,Root/div/director,APT_INT_INTL/ACS/EMEA-B,0,Yes
APT_INT_INTL,International,ACS,division,2,1.16,Goal,Root/div/division,APT_INT_INTL/ACS/International,0,Yes
APT_INT_INTL,ACC,ACS,station,2,1.91,Goal,Root/div/station,APT_INT_INTL/ACS/ACC,0,Yes
APT_INT_INTL,AKL,ACS,station,2,1.14,Goal,Root/div/station,APT_INT_INTL/ACS/AKL,0,Yes
APT_INT_INTL,AMS,ACS,station,2,1.44,Goal,Root/div/station,APT_INT_INTL/ACS/AMS,0,Yes
APT_INT_INTL,ANU,ACS,station,2,0.98,Goal,Root/div/station,APT_INT_INTL/ACS/ANU,0,Yes
APT_INT_INTL,ARN,ACS,station,2,1.37,Goal,Root/div/station,APT_INT_INTL/ACS/ARN,0,Yes
APT_INT_INTL,ATH,ACS,station,2,1.33,Goal,Root/div/station,APT_INT_INTL/ACS/ATH,0,Yes
APT_INT_INTL,AUA,ACS,station,2,0.62,Goal,Root/div/station,APT_INT_INTL/ACS/AUA,0,Yes
APT_INT_INTL,BCN,ACS,station,2,0.32,Goal,Root/div/station,APT_INT_INTL/ACS/BCN,0,Yes
APT_INT_INTL,BDA,ACS,station,2,1.01,Goal,Root/div/station,APT_INT_INTL/ACS/BDA,0,Yes
APT_INT_INTL,BER,ACS,station,2,1.05,Goal,Root/div/station,APT_INT_INTL/ACS/BER,0,Yes
APT_INT_INTL,BGI,ACS,station,2,1.09,Goal,Root/div/station,APT_INT_INTL/ACS/BGI,0,Yes
APT_INT_INTL,BNE,ACS,station,2,0.57,Goal,Root/div/station,APT_INT_INTL/ACS/BNE,0,Yes
APT_INT_INTL,BOG,ACS,station,2,1.82,Goal,Root/div/station,APT_INT_INTL/ACS/BOG,0,Yes
APT_INT_INTL,BRU,ACS,station,2,1.78,Goal,Root/div/station,APT_INT_INTL/ACS/BRU,0,Yes
APT_INT_INTL,BZE,ACS,station,2,1.58,Goal,Root/div/station,APT_INT_INTL/ACS/BZE,0,Yes
APT_INT_INTL,CDG,ACS,station,2,1.1,Goal,Root/div/station,APT_INT_INTL/ACS/CDG,0,Yes
APT_INT_INTL,CPH,ACS,station,2,1.07,Goal,Root/div/station,APT_INT_INTL/ACS/CPH,0,Yes
APT_INT_INTL,CPT,ACS,station,2,1.39,Goal,Root/div/station,APT_INT_INTL/ACS/CPT,0,Yes
