KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
APU_RT_DPRT,APU_RT_DPRT,,Root,0,1,Goal,Root,APU_RT_DPRT,6,No
APU_RT_DPRT,ML,APU_RT_DPRT,carrier,1,1.55,Goal,Root/carrier,APU_RT_DPRT/ML,0,Yes
APU_RT_DPRT,9E,APU_RT_DPRT,dc_carrier,1,28.18,Goal,Root/dc_carrier,APU_RT_DPRT/9E,0,Yes
APU_RT_DPRT,OO,APU_RT_DPRT,dc_carrier,1,5.07,Goal,Root/dc_carrier,APU_RT_DPRT/OO,0,Yes
APU_RT_DPRT,YX,APU_RT_DPRT,dc_carrier,1,32.48,Goal,Root/dc_carrier,APU_RT_DPRT/YX,0,Yes
APU_RT_DPRT,ACS,APU_RT_DPRT,div,1,5.64,Goal,Root/div,APU_RT_DPRT/ACS,375,No
APU_RT_DPRT,DC,ACS,carrier,2,0.4,Goal,Root/div/carrier,APU_RT_DPRT/ACS/DC,90,No
APU_RT_DPRT,AUS_Director,DC,director,3,0.42,Goal,Root/div/carrier/director,APU_RT_DPRT/ACS/DC/AUS_Director,0,Yes
APU_RT_DPRT,CANMEX_Director,DC,director,3,1.31,Goal,Root/div/carrier/director,APU_RT_DPRT/ACS/DC/CANMEX_Director,0,Yes
APU_RT_DPRT,Caribbean_Director,DC,director,3,1.35,Goal,Root/div/carrier/director,APU_RT_DPRT/ACS/DC/Caribbean_Director,0,Yes
APU_RT_DPRT,Central_Director,DC,director,3,1.51,Goal,Root/div/carrier/director,APU_RT_DPRT/ACS/DC/Central_Director,0,Yes
APU_RT_DPRT,East_Director,DC,director,3,0.96,Goal,Root/div/carrier/director,APU_RT_DPRT/ACS/DC/East_Director,0,Yes
APU_RT_DPRT,FieldStations_Director,DC,director,3,1.61,Goal,Root/div/carrier/director,APU_RT_DPRT/ACS/DC/FieldStations_Director,0,Yes
APU_RT_DPRT,Florida_Director,DC,director,3,0.08,Goal,Root/div/carrier/director,APU_RT_DPRT/ACS/DC/Florida_Director,0,Yes
APU_RT_DPRT,Hub_ATL,DC,director,3,0.31,Goal,Root/div/carrier/director,APU_RT_DPRT/ACS/DC/Hub_ATL,0,Yes
