KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
BOARD_SAT,BOARD_SAT,,Root,0,1,Goal,Root,BOARD_SAT,3,No
BOARD_SAT,ACS,BOARD_SAT,div,1,1.78,Goal,Root/div,BOARD_SAT/ACS,188,No
BOARD_SAT,AUS_Director,ACS,director,2,0.19,Goal,Root/div/director,BOARD_SAT/ACS/AUS_Director,0,Yes
BOARD_SAT,Central_Director,ACS,director,2,0.87,Goal,Root/div/director,BOARD_SAT/ACS/Central_Director,0,Yes
BOARD_SAT,East_Director,ACS,director,2,0.02,Goal,Root/div/director,BOARD_SAT/ACS/East_Director,0,Yes
BOARD_SAT,FieldStations_Director,ACS,director,2,0.57,Goal,Root/div/director,BOARD_SAT/ACS/FieldStations_Director,0,Yes
BOARD_SAT,Florida_Director,ACS,director,2,0.74,Goal,Root/div/director,BOARD_SAT/ACS/Florida_Director,0,Yes
BOARD_SAT,Hub_ATL,ACS,director,2,0.98,Goal,Root/div/director,BOARD_SAT/ACS/Hub_ATL,0,Yes
BOARD_SAT,Hub_BOS,ACS,director,2,0.08,Goal,Root/div/director,BOARD_SAT/ACS/Hub_BOS,0,Yes
BOARD_SAT,Hub_DTW,ACS,director,2,0.09,Goal,Root/div/director,BOARD_SAT/ACS/Hub_DTW,0,Yes
BOARD_SAT,Hub_JFK,ACS,director,2,0.13,Goal,Root/div/director,BOARD_SAT/ACS/Hub_JFK,0,Yes
BOARD_SAT,Hub_LAX,ACS,director,2,0.62,Goal,Root/div/director,BOARD_SAT/ACS/Hub_LAX,0,Yes
BOARD_SAT,Hub_LGA,ACS,director,2,0.75,Goal,Root/div/director,BOARD_SAT/ACS/Hub_LGA,0,Yes
BOARD_SAT,Hub_MSP,ACS,director,2,0.76,Goal,Root/div/director,BOARD_SAT/ACS/Hub_MSP,0,Yes
BOARD_SAT,Hub_SEA,ACS,director,2,0.57,Goal,Root/div/director,BOARD_SAT/ACS/Hub_SEA,0,Yes
BOARD_SAT,Hub_SLC,ACS,director,2,0.74,Goal,Root/div/director,BOARD_SAT/ACS/Hub_SLC,0,Yes
BOARD_SAT,West_Director,ACS,director,2,0.72,Goal,Root/div/director,BOARD_SAT/ACS/West_Director,0,Yes
BOARD_SAT,ACSATL,ACS,division,2,0.95,Goal,Root/div/division,BOARD_SAT/ACS/ACSATL,0,Yes
BOARD_SAT,DTW_AUS_FL,ACS,division,2,0.79,Goal,Root/div/division,BOARD_SAT/ACS/DTW_AUS_FL,0,Yes
BOARD_SAT,East,ACS,division,2,0.94,Goal,Root/div/division,BOARD_SAT/ACS/East,0,Yes
BOARD_SAT,FieldStations,ACS,division,2,0.79,Goal,Root/div/division,BOARD_SAT/ACS/FieldStations,0,Yes
BOARD_SAT,JFK_BOS,ACS,division,2,0.6,Goal,Root/div/division,BOARD_SAT/ACS/JFK_BOS,0,Yes
BOARD_SAT,MSP_SEA_SLC,ACS,division,2,0.83,Goal,Root/div/division,BOARD_SAT/ACS/MSP_SEA_SLC,0,Yes
BOARD_SAT,West_Central,ACS,division,2,0.73,Goal,Root/div/division,BOARD_SAT/ACS/West_Central,0,Yes
BOARD_SAT,AUS_Region,ACS,region,2,0.12,Goal,Root/div/region,BOARD_SAT/ACS/AUS_Region,0,Yes
BOARD_SAT,Central_Region,ACS,region,2,0.9,Goal,Root/div/region,BOARD_SAT/ACS/Central_Region,0,Yes
BOARD_SAT,Florida_Region,ACS,region,2,0.25,Goal,Root/div/region,BOARD_SAT/ACS/Florida_Region,0,Yes
BOARD_SAT,FS_Central,ACS,region,2,0.4,Goal,Root/div/region,BOARD_SAT/ACS/FS_Central,0,Yes
BOARD_SAT,FS_East,ACS,region,2,0.66,Goal,Root/div/region,BOARD_SAT/ACS/FS_East,0,Yes
BOARD_SAT,FS_MountainWest,ACS,region,2,0.39,Goal,Root/div/region,BOARD_SAT/ACS/FS_MountainWest,0,Yes
BOARD_SAT,FS_South,ACS,region,2,0.5,Goal,Root/div/region,BOARD_SAT/ACS/FS_South,0,Yes
BOARD_SAT,FS_West,ACS,region,2,0.65,Goal,Root/div/region,BOARD_SAT/ACS/FS_West,0,Yes
BOARD_SAT,GreatLakes_Region,ACS,region,2,0.5,Goal,Root/div/region,BOARD_SAT/ACS/GreatLakes_Region,0,Yes
BOARD_SAT,MCO_Region,ACS,region,2,0.03,Goal,Root/div/region,BOARD_SAT/ACS/MCO_Region,0,Yes
BOARD_SAT,MIA_Region,ACS,region,2,0.17,Goal,Root/div/region,BOARD_SAT/ACS/MIA_Region,0,Yes
BOARD_SAT,Northeast_Region,ACS,region,2,0.2,Goal,Root/div/region,BOARD_SAT/ACS/Northeast_Region,0,Yes
BOARD_SAT,Southeast_Region,ACS,region,2,0.64,Goal,Root/div/region,BOARD_SAT/ACS/Southeast_Region,0,Yes
BOARD_SAT,SouthWest_Region,ACS,region,2,0.59,Goal,Root/div/region,BOARD_SAT/ACS/SouthWest_Region,0,Yes
BOARD_SAT,West_Region,ACS,region,2,0.62,Goal,Root/div/region,BOARD_SAT/ACS/West_Region,0,Yes
BOARD_SAT,ABE,ACS,station,2,0.11,Goal,Root/div/station,BOARD_SAT/ACS/ABE,0,Yes
BOARD_SAT,ABQ,ACS,station,2,0.74,Goal,Root/div/station,BOARD_SAT/ACS/ABQ,0,Yes
BOARD_SAT,AGS,ACS,station,2,0.74,Goal,Root/div/station,BOARD_SAT/ACS/AGS,0,Yes
BOARD_SAT,ALB,ACS,station,2,0.06,Goal,Root/div/station,BOARD_SAT/ACS/ALB,0,Yes
BOARD_SAT,ANC,ACS,station,2,0.19,Goal,Root/div/station,BOARD_SAT/ACS/ANC,0,Yes
BOARD_SAT,ATL,ACS,station,2,0.57,Goal,Root/div/station,BOARD_SAT/ACS/ATL,0,Yes
BOARD_SAT,ATW,ACS,station,2,1.02,Goal,Root/div/station,BOARD_SAT/ACS/ATW,0,Yes
BOARD_SAT,AUS,ACS,station,2,0.62,Goal,Root/div/station,BOARD_SAT/ACS/AUS,0,Yes
BOARD_SAT,AVL,ACS,station,2,0.58,Goal,Root/div/station,BOARD_SAT/ACS/AVL,0,Yes
BOARD_SAT,BDL,ACS,station,2,0.09,Goal,Root/div/station,BOARD_SAT/ACS/BDL,0,Yes
BOARD_SAT,BHM,ACS,station,2,0.61,Goal,Root/div/station,BOARD_SAT/ACS/BHM,0,Yes
BOARD_SAT,BIL,ACS,station,2,0.32,Goal,Root/div/station,BOARD_SAT/ACS/BIL,0,Yes
