KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
BOARD_SATINTL,BOARD_SATINTL,,Root,0,1,Goal,Root,BOARD_SATINTL,1,No
BOARD_SATINTL,ACS,BOARD_SATINTL,div,1,100.0,Goal,Root/div,BOARD_SATINTL/ACS,95,No
BOARD_SATINTL,AMS_Director,ACS,director,2,1.59,Goal,Root/div/director,BOARD_SATINTL/ACS/AMS_Director,0,Yes
BOARD_SATINTL,APAC_Director,ACS,director,2,1.69,Goal,Root/div/director,BOARD_SATINTL/ACS/APAC_Director,0,Yes
BOARD_SATINTL,CANMEX_Director,ACS,director,2,0.26,Goal,Root/div/director,BOARD_SATINTL/ACS/CANMEX_Director,0,Yes
BOARD_SATINTL,Caribbean_Director,ACS,director,2,1.58,Goal,Root/div/director,BOARD_SATINTL/ACS/Caribbean_Director,0,Yes
BOARD_SATINTL,CASA_Director,ACS,director,2,0.97,Goal,Root/div/director,BOARD_SATINTL/ACS/CASA_Director,0,Yes
BOARD_SATINTL,CDG_Director,ACS,director,2,0.45,Goal,Root/div/director,BOARD_SATINTL/ACS/CDG_Director,0,Yes
BOARD_SATINTL,EMEA-A,ACS,director,2,0.76,Goal,Root/div/director,BOARD_SATINTL/ACS/EMEA-A,0,Yes
BOARD_SATINTL,EMEA-B,ACS,director,2,1.81,Goal,Root/div/director,BOARD_SATINTL/ACS/EMEA-B,0,Yes
BOARD_SATINTL,International,ACS,division,2,1.13,Goal,Root/div/division,BOARD_SATINTL/ACS/International,0,Yes
BOARD_SATINTL,ACC,ACS,station,2,0.55,Goal,Root/div/station,BOARD_SATINTL/ACS/ACC,0,Yes
BOARD_SATINTL,AKL,ACS,station,2,0.55,Goal,Root/div/station,BOARD_SATINTL/ACS/AKL,0,Yes
BOARD_SATINTL,AMS,ACS,station,2,1.63,Goal,Root/div/station,BOARD_SATINTL/ACS/AMS,0,Yes
BOARD_SATINTL,ANU,ACS,station,2,1.45,Goal,Root/div/station,BOARD_SATINTL/ACS/ANU,0,Yes
