KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
BOB,BOB,,Root,0,1,Goal,Root,BOB,3,No
BOB,ACS,BOB,div,1,36.64,Goal,Root/div,BOB/ACS,385,No
BOB,APAC_Director,ACS,director,2,0.23,Goal,Root/div/director,BOB/ACS/APAC_Director,0,Yes
BOB,AUS_Director,ACS,director,2,0.23,Goal,Root/div/director,BOB/ACS/AUS_Director,0,Yes
BOB,CANMEX_Director,ACS,director,2,0.17,Goal,Root/div/director,BOB/ACS/CANMEX_Director,0,Yes
BOB,Caribbean_Director,ACS,director,2,0.42,Goal,Root/div/director,BOB/ACS/Caribbean_Director,0,Yes
BOB,CASA_Director,ACS,director,2,0.39,Goal,Root/div/director,BOB/ACS/CASA_Director,0,Yes
BOB,Central_Director,ACS,director,2,0.29,Goal,Root/div/director,BOB/ACS/Central_Director,0,Yes
BOB,East_Director,ACS,director,2,0.32,Goal,Root/div/director,BOB/ACS/East_Director,0,Yes
BOB,EMEA-A,ACS,director,2,0.42,Goal,Root/div/director,BOB/ACS/EMEA-A,0,Yes
BOB,EMEA-B,ACS,director,2,0.29,Goal,Root/div/director,BOB/ACS/EMEA-B,0,Yes
BOB,FieldStations_Director,ACS,director,2,0.2,Goal,Root/div/director,BOB/ACS/FieldStations_Director,0,Yes
BOB,Florida_Director,ACS,director,2,0.25,Goal,Root/div/director,BOB/ACS/Florida_Director,0,Yes
BOB,Hub_ATL,ACS,director,2,0.45,Goal,Root/div/director,BOB/ACS/Hub_ATL,0,Yes
BOB,Hub_BOS,ACS,director,2,0.25,Goal,Root/div/director,BOB/ACS/Hub_BOS,0,Yes
BOB,Hub_DTW,ACS,director,2,0.2,Goal,Root/div/director,BOB/ACS/Hub_DTW,0,Yes
BOB,Hub_JFK,ACS,director,2,0.48,Goal,Root/div/director,BOB/ACS/Hub_JFK,0,Yes
BOB,Hub_LAX,ACS,director,2,0.04,Goal,Root/div/director,BOB/ACS/Hub_LAX,0,Yes
BOB,Hub_LGA,ACS,director,2,0.11,Goal,Root/div/director,BOB/ACS/Hub_LGA,0,Yes
BOB,Hub_MSP,ACS,director,2,0.45,Goal,Root/div/director,BOB/ACS/Hub_MSP,0,Yes
BOB,Hub_SEA,ACS,director,2,0.45,Goal,Root/div/director,BOB/ACS/Hub_SEA,0,Yes
BOB,Hub_SLC,ACS,director,2,0.26,Goal,Root/div/director,BOB/ACS/Hub_SLC,0,Yes
BOB,West_Director,ACS,director,2,0.04,Goal,Root/div/director,BOB/ACS/West_Director,0,Yes
BOB,ACSATL,ACS,division,2,0.19,Goal,Root/div/division,BOB/ACS/ACSATL,0,Yes
BOB,DTW_AUS_FL,ACS,division,2,0.14,Goal,Root/div/division,BOB/ACS/DTW_AUS_FL,0,Yes
BOB,East,ACS,division,2,0.29,Goal,Root/div/division,BOB/ACS/East,0,Yes
