KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
BTC,BTC,,Root,0,1,Goal,Root,BTC,3,No
BTC,ACS,BTC,div,1,66.74,Goal,Root/div,BTC/ACS,394,No
BTC,AMS_Director,ACS,director,2,0.03,Goal,Root/div/director,BTC/ACS/AMS_Director,0,Yes
BTC,APAC_Director,ACS,director,2,0.27,Goal,Root/div/director,BTC/ACS/APAC_Director,0,Yes
BTC,AUS_Director,ACS,director,2,0.2,Goal,Root/div/director,BTC/ACS/AUS_Director,0,Yes
BTC,CANMEX_Director,ACS,director,2,0.44,Goal,Root/div/director,BTC/ACS/CANMEX_Director,0,Yes
BTC,Caribbean_Director,ACS,director,2,0.33,Goal,Root/div/director,BTC/ACS/Caribbean_Director,0,Yes
BTC,CASA_Director,ACS,director,2,0.27,Goal,Root/div/director,BTC/ACS/CASA_Director,0,Yes
BTC,CDG_Director,ACS,director,2,0.07,Goal,Root/div/director,BTC/ACS/CDG_Director,0,Yes
BTC,Central_Director,ACS,director,2,0.17,Goal,Root/div/director,BTC/ACS/Central_Director,0,Yes
BTC,East_Director,ACS,director,2,0.32,Goal,Root/div/director,BTC/ACS/East_Director,0,Yes
BTC,EMEA-A,ACS,director,2,0.18,Goal,Root/div/director,BTC/ACS/EMEA-A,0,Yes
BTC,EMEA-B,ACS,director,2,0.42,Goal,Root/div/director,BTC/ACS/EMEA-B,0,Yes
BTC,FieldStations_Director,ACS,director,2,0.38,Goal,Root/div/director,BTC/ACS/FieldStations_Director,0,Yes
BTC,Florida_Director,ACS,director,2,0.46,Goal,Root/div/director,BTC/ACS/Florida_Director,0,Yes
BTC,Hub_ATL,ACS,director,2,0.27,Goal,Root/div/director,BTC/ACS/Hub_ATL,0,Yes
BTC,Hub_BOS,ACS,director,2,0.14,Goal,Root/div/director,BTC/ACS/Hub_BOS,0,Yes
BTC,Hub_DTW,ACS,director,2,0.15,Goal,Root/div/director,BTC/ACS/Hub_DTW,0,Yes
BTC,Hub_JFK,ACS,director,2,0.32,Goal,Root/div/director,BTC/ACS/Hub_JFK,0,Yes
BTC,Hub_LAX,ACS,director,2,0.4,Goal,Root/div/director,BTC/ACS/Hub_LAX,0,Yes
BTC,Hub_LGA,ACS,director,2,0.43,Goal,Root/div/director,BTC/ACS/Hub_LGA,0,Yes
BTC,Hub_MSP,ACS,director,2,0.12,Goal,Root/div/director,BTC/ACS/Hub_MSP,0,Yes
BTC,Hub_SEA,ACS,director,2,0.22,Goal,Root/div/director,BTC/ACS/Hub_SEA,0,Yes
BTC,Hub_SLC,ACS,director,2,0.5,Goal,Root/div/director,BTC/ACS/Hub_SLC,0,Yes
BTC,West_Director,ACS,director,2,0.05,Goal,Root/div/director,BTC/ACS/West_Director,0,Yes
BTC,ACSATL,ACS,division,2,0.51,Goal,Root/div/division,BTC/ACS/ACSATL,0,Yes
BTC,DTW_AUS_FL,ACS,division,2,0.24,Goal,Root/div/division,BTC/ACS/DTW_AUS_FL,0,Yes
BTC,East,ACS,division,2,0.47,Goal,Root/div/division,BTC/ACS/East,0,Yes
BTC,FieldStations,ACS,division,2,0.18,Goal,Root/div/division,BTC/ACS/FieldStations,0,Yes
BTC,International,ACS,division,2,0.45,Goal,Root/div/division,BTC/ACS/International,0,Yes
BTC,JFK_BOS,ACS,division,2,0.24,Goal,Root/div/division,BTC/ACS/JFK_BOS,0,Yes
BTC,MSP_SEA_SLC,ACS,division,2,0.17,Goal,Root/div/division,BTC/ACS/MSP_SEA_SLC,0,Yes
BTC,West_Central,ACS,division,2,0.09,Goal,Root/div/division,BTC/ACS/West_Central,0,Yes
BTC,AMS_Region,ACS,region,2,0.49,Goal,Root/div/region,BTC/ACS/AMS_Region,0,Yes
BTC,AUS_Region,ACS,region,2,0.45,Goal,Root/div/region,BTC/ACS/AUS_Region,0,Yes
BTC,Canada_Region,ACS,region,2,0.01,Goal,Root/div/region,BTC/ACS/Canada_Region,0,Yes
BTC,Caribbean_Region,ACS,region,2,0.27,Goal,Root/div/region,BTC/ACS/Caribbean_Region,0,Yes
BTC,CDG_Region,ACS,region,2,0.24,Goal,Root/div/region,BTC/ACS/CDG_Region,0,Yes
BTC,CentralAmerica_Region,ACS,region,2,0.09,Goal,Root/div/region,BTC/ACS/CentralAmerica_Region,0,Yes
BTC,Central_Region,ACS,region,2,0.09,Goal,Root/div/region,BTC/ACS/Central_Region,0,Yes
BTC,EastAsia_Region,ACS,region,2,0.32,Goal,Root/div/region,BTC/ACS/EastAsia_Region,0,Yes
BTC,Florida_Region,ACS,region,2,0.4,Goal,Root/div/region,BTC/ACS/Florida_Region,0,Yes
BTC,FS_Central,ACS,region,2,0.29,Goal,Root/div/region,BTC/ACS/FS_Central,0,Yes
BTC,FS_East,ACS,region,2,0.19,Goal,Root/div/region,BTC/ACS/FS_East,0,Yes
BTC,FS_MountainWest,ACS,region,2,0.25,Goal,Root/div/region,BTC/ACS/FS_MountainWest,0,Yes
BTC,FS_South,ACS,region,2,0.2,Goal,Root/div/region,BTC/ACS/FS_South,0,Yes
BTC,FS_West,ACS,region,2,0.42,Goal,Root/div/region,BTC/ACS/FS_West,0,Yes
BTC,GreatLakes_Region,ACS,region,2,0.26,Goal,Root/div/region,BTC/ACS/GreatLakes_Region,0,Yes
BTC,MCO_Region,ACS,region,2,0.38,Goal,Root/div/region,BTC/ACS/MCO_Region,0,Yes
BTC,Mexico_Region,ACS,region,2,0.05,Goal,Root/div/region,BTC/ACS/Mexico_Region,0,Yes
BTC,MIA_Region,ACS,region,2,0.09,Goal,Root/div/region,BTC/ACS/MIA_Region,0,Yes
BTC,Northeast_Region,ACS,region,2,0.1,Goal,Root/div/region,BTC/ACS/Northeast_Region,0,Yes
