KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
CGO_CQ_AUDIT,CGO_CQ_AUDIT,,Root,0,1,Goal,Root,CGO_CQ_AUDIT,1,No
CGO_CQ_AUDIT,CGO,CGO_CQ_AUDIT,div,1,100.0,Goal,Root/div,CGO_CQ_AUDIT/CGO,744,No
CGO_CQ_AUDIT,",null,",CGO,station,2,0.1,Goal,Root/div/station,"CGO_CQ_AUDIT/CGO/,null,",0,Yes
CGO_CQ_AUDIT,AAL,CGO,station,2,0.09,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AAL,0,Yes
CGO_CQ_AUDIT,AAT,CGO,station,2,0.1,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AAT,0,Yes
CGO_CQ_AUDIT,ABE,CGO,station,2,0.03,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ABE,0,Yes
CGO_CQ_AUDIT,ABJ,CGO,station,2,0.08,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ABJ,0,Yes
CGO_CQ_AUDIT,ABQ,CGO,station,2,0.16,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ABQ,0,Yes
CGO_CQ_AUDIT,ABR,CGO,station,2,0.11,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ABR,0,Yes
CGO_CQ_AUDIT,ABV,CGO,station,2,0.26,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ABV,0,Yes
CGO_CQ_AUDIT,ABY,CGO,station,2,0.12,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ABY,0,Yes
CGO_CQ_AUDIT,ABZ,CGO,station,2,0.25,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ABZ,0,Yes
CGO_CQ_AUDIT,ACC,CGO,station,2,0.05,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ACC,0,Yes
CGO_CQ_AUDIT,ACK,CGO,station,2,0.04,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ACK,0,Yes
CGO_CQ_AUDIT,ADB,CGO,station,2,0.13,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ADB,0,Yes
CGO_CQ_AUDIT,ADD,CGO,station,2,0.23,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ADD,0,Yes
CGO_CQ_AUDIT,ADL,CGO,station,2,0.18,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ADL,0,Yes
CGO_CQ_AUDIT,AES,CGO,station,2,0.18,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AES,0,Yes
CGO_CQ_AUDIT,AEX,CGO,station,2,0.09,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AEX,0,Yes
CGO_CQ_AUDIT,AGP,CGO,station,2,0.04,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AGP,0,Yes
CGO_CQ_AUDIT,AGS,CGO,station,2,0.17,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AGS,0,Yes
CGO_CQ_AUDIT,AKL,CGO,station,2,0.1,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AKL,0,Yes
CGO_CQ_AUDIT,ALA,CGO,station,2,0.24,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ALA,0,Yes
CGO_CQ_AUDIT,ALB,CGO,station,2,0.1,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ALB,0,Yes
CGO_CQ_AUDIT,ALC,CGO,station,2,0.26,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ALC,0,Yes
CGO_CQ_AUDIT,ALG,CGO,station,2,0.19,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ALG,0,Yes
CGO_CQ_AUDIT,ALK,CGO,station,2,0.04,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ALK,0,Yes
CGO_CQ_AUDIT,ALT,CGO,station,2,0.03,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ALT,0,Yes
CGO_CQ_AUDIT,AMD,CGO,station,2,0.19,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AMD,0,Yes
CGO_CQ_AUDIT,AMM,CGO,station,2,0.03,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AMM,0,Yes
CGO_CQ_AUDIT,AMR,CGO,station,2,0.23,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AMR,0,Yes
CGO_CQ_AUDIT,AMS,CGO,station,2,0.04,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AMS,0,Yes
CGO_CQ_AUDIT,ANC,CGO,station,2,0.12,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ANC,0,Yes
CGO_CQ_AUDIT,ANR,CGO,station,2,0.16,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ANR,0,Yes
CGO_CQ_AUDIT,ANU,CGO,station,2,0.0,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ANU,0,Yes
CGO_CQ_AUDIT,AOI,CGO,station,2,0.18,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AOI,0,Yes
CGO_CQ_AUDIT,APN,CGO,station,2,0.06,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/APN,0,Yes
CGO_CQ_AUDIT,APW,CGO,station,2,0.02,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/APW,0,Yes
CGO_CQ_AUDIT,ARM,CGO,station,2,0.05,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ARM,0,Yes
CGO_CQ_AUDIT,ARN,CGO,station,2,0.16,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ARN,0,Yes
CGO_CQ_AUDIT,ASD,CGO,station,2,0.09,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ASD,0,Yes
CGO_CQ_AUDIT,ASE,CGO,station,2,0.25,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ASE,0,Yes
CGO_CQ_AUDIT,ATG,CGO,station,2,0.06,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ATG,0,Yes
CGO_CQ_AUDIT,ATH,CGO,station,2,0.23,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ATH,0,Yes
CGO_CQ_AUDIT,ATJ,CGO,station,2,0.02,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ATJ,0,Yes
CGO_CQ_AUDIT,ATL,CGO,station,2,0.02,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ATL,0,Yes
CGO_CQ_AUDIT,ATO,CGO,station,2,0.14,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ATO,0,Yes
CGO_CQ_AUDIT,ATR,CGO,station,2,0.18,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ATR,0,Yes
CGO_CQ_AUDIT,ATT,CGO,station,2,0.19,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ATT,0,Yes
CGO_CQ_AUDIT,ATW,CGO,station,2,0.21,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ATW,0,Yes
CGO_CQ_AUDIT,ATY,CGO,station,2,0.11,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/ATY,0,Yes
CGO_CQ_AUDIT,AUA,CGO,station,2,0.07,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AUA,0,Yes
CGO_CQ_AUDIT,AUH,CGO,station,2,0.25,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AUH,0,Yes
CGO_CQ_AUDIT,AUS,CGO,station,2,0.06,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AUS,0,Yes
CGO_CQ_AUDIT,AVL,CGO,station,2,0.13,Goal,Root/div/station,CGO_CQ_AUDIT/CGO/AVL,0,Yes
