KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
CGO_OPT_REV,CGO_OPT_REV,,Root,0,1,Goal,Root,CGO_OPT_REV,2,No
CGO_OPT_REV,CGO,CGO_OPT_REV,div,1,51.09,Goal,Root/div,CGO_OPT_REV/CGO,811,No
CGO_OPT_REV,",null,",CGO,station,2,0.22,Goal,Root/div/station,"CGO_OPT_REV/CGO/,null,",0,Yes
CGO_OPT_REV,AAL,CGO,station,2,0.19,Goal,Root/div/station,CGO_OPT_REV/CGO/AAL,0,Yes
CGO_OPT_REV,AAT,CGO,station,2,0.05,Goal,Root/div/station,CGO_OPT_REV/CGO/AAT,0,Yes
CGO_OPT_REV,ABE,CGO,station,2,0.11,Goal,Root/div/station,CGO_OPT_REV/CGO/ABE,0,Yes
CGO_OPT_REV,ABJ,CGO,station,2,0.11,Goal,Root/div/station,CGO_OPT_REV/CGO/ABJ,0,Yes
CGO_OPT_REV,ABQ,CGO,station,2,0.03,Goal,Root/div/station,CGO_OPT_REV/CGO/ABQ,0,Yes
CGO_OPT_REV,ABR,CGO,station,2,0.04,Goal,Root/div/station,CGO_OPT_REV/CGO/ABR,0,Yes
CGO_OPT_REV,ABV,CGO,station,2,0.16,Goal,Root/div/station,CGO_OPT_REV/CGO/ABV,0,Yes
CGO_OPT_REV,ABY,CGO,station,2,0.14,Goal,Root/div/station,CGO_OPT_REV/CGO/ABY,0,Yes
CGO_OPT_REV,ABZ,CGO,station,2,0.18,Goal,Root/div/station,CGO_OPT_REV/CGO/ABZ,0,Yes
CGO_OPT_REV,ACC,CGO,station,2,0.02,Goal,Root/div/station,CGO_OPT_REV/CGO/ACC,0,Yes
CGO_OPT_REV,ACK,CGO,station,2,0.17,Goal,Root/div/station,CGO_OPT_REV/CGO/ACK,0,Yes
CGO_OPT_REV,ADB,CGO,station,2,0.12,Goal,Root/div/station,CGO_OPT_REV/CGO/ADB,0,Yes
CGO_OPT_REV,ADD,CGO,station,2,0.04,Goal,Root/div/station,CGO_OPT_REV/CGO/ADD,0,Yes
CGO_OPT_REV,ADL,CGO,station,2,0.14,Goal,Root/div/station,CGO_OPT_REV/CGO/ADL,0,Yes
