KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
CGO_OT_GATE,CGO_OT_GATE,,Root,0,1,Goal,Root,CGO_OT_GATE,2,No
CGO_OT_GATE,CGO,CGO_OT_GATE,div,1,53.85,Goal,Root/div,CGO_OT_GATE/CGO,744,No
CGO_OT_GATE,",null,",CGO,station,2,0.13,Goal,Root/div/station,"CGO_OT_GATE/CGO/,null,",0,Yes
CGO_OT_GATE,AAL,CGO,station,2,0.21,Goal,Root/div/station,CGO_OT_GATE/CGO/AAL,0,Yes
CGO_OT_GATE,AAT,CGO,station,2,0.14,Goal,Root/div/station,CGO_OT_GATE/CGO/AAT,0,Yes
CGO_OT_GATE,ABE,CGO,station,2,0.25,Goal,Root/div/station,CGO_OT_GATE/CGO/ABE,0,Yes
CGO_OT_GATE,ABJ,CGO,station,2,0.01,Goal,Root/div/station,CGO_OT_GATE/CGO/ABJ,0,Yes
CGO_OT_GATE,ABQ,CGO,station,2,0.18,Goal,Root/div/station,CGO_OT_GATE/CGO/ABQ,0,Yes
CGO_OT_GATE,ABR,CGO,station,2,0.18,Goal,Root/div/station,CGO_OT_GATE/CGO/ABR,0,Yes
CGO_OT_GATE,ABV,CGO,station,2,0.24,Goal,Root/div/station,CGO_OT_GATE/CGO/ABV,0,Yes
CGO_OT_GATE,ABY,CGO,station,2,0.13,Goal,Root/div/station,CGO_OT_GATE/CGO/ABY,0,Yes
CGO_OT_GATE,ABZ,CGO,station,2,0.09,Goal,Root/div/station,CGO_OT_GATE/CGO/ABZ,0,Yes
CGO_OT_GATE,ACC,CGO,station,2,0.2,Goal,Root/div/station,CGO_OT_GATE/CGO/ACC,0,Yes
CGO_OT_GATE,ACK,CGO,station,2,0.01,Goal,Root/div/station,CGO_OT_GATE/CGO/ACK,0,Yes
CGO_OT_GATE,ADB,CGO,station,2,0.18,Goal,Root/div/station,CGO_OT_GATE/CGO/ADB,0,Yes
CGO_OT_GATE,ADD,CGO,station,2,0.21,Goal,Root/div/station,CGO_OT_GATE/CGO/ADD,0,Yes
CGO_OT_GATE,ADL,CGO,station,2,0.2,Goal,Root/div/station,CGO_OT_GATE/CGO/ADL,0,Yes
CGO_OT_GATE,AES,CGO,station,2,0.21,Goal,Root/div/station,CGO_OT_GATE/CGO/AES,0,Yes
CGO_OT_GATE,AEX,CGO,station,2,0.23,Goal,Root/div/station,CGO_OT_GATE/CGO/AEX,0,Yes
CGO_OT_GATE,AGP,CGO,station,2,0.03,Goal,Root/div/station,CGO_OT_GATE/CGO/AGP,0,Yes
CGO_OT_GATE,AGS,CGO,station,2,0.12,Goal,Root/div/station,CGO_OT_GATE/CGO/AGS,0,Yes
CGO_OT_GATE,AKL,CGO,station,2,0.24,Goal,Root/div/station,CGO_OT_GATE/CGO/AKL,0,Yes
CGO_OT_GATE,ALA,CGO,station,2,0.16,Goal,Root/div/station,CGO_OT_GATE/CGO/ALA,0,Yes
CGO_OT_GATE,ALB,CGO,station,2,0.18,Goal,Root/div/station,CGO_OT_GATE/CGO/ALB,0,Yes
CGO_OT_GATE,ALC,CGO,station,2,0.19,Goal,Root/div/station,CGO_OT_GATE/CGO/ALC,0,Yes
CGO_OT_GATE,ALG,CGO,station,2,0.19,Goal,Root/div/station,CGO_OT_GATE/CGO/ALG,0,Yes
CGO_OT_GATE,ALK,CGO,station,2,0.23,Goal,Root/div/station,CGO_OT_GATE/CGO/ALK,0,Yes
CGO_OT_GATE,ALT,CGO,station,2,0.04,Goal,Root/div/station,CGO_OT_GATE/CGO/ALT,0,Yes
