KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
CHKBG_ON_PCTL99,CHKBG_ON_PCTL99,,Root,0,1,Goal,Root,CHKBG_ON_PCTL99,1,No
CHKBG_ON_PCTL99,ACS,CHKBG_ON_PCTL99,div,1,100.0,Goal,Root/div,CHKBG_ON_PCTL99/ACS,1,No
CHKBG_ON_PCTL99,ML,ACS,carrier,2,100.0,Goal,Root/div/carrier,CHKBG_ON_PCTL99/ACS/ML,318,No
CHKBG_ON_PCTL99,APAC_Director,ML,director,3,0.02,Goal,Root/div/carrier/director,CHKBG_ON_PCTL99/ACS/ML/APAC_Director,1,No
CHKBG_ON_PCTL99,I,APAC_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,CHKBG_ON_PCTL99/ACS/ML/APAC_Director/I,0,Yes
CHKBG_ON_PCTL99,AUS_Director,ML,director,3,0.49,Goal,Root/div/carrier/director,CHKBG_ON_PCTL99/ACS/ML/AUS_Director,1,No
CHKBG_ON_PCTL99,D,AUS_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,CHKBG_ON_PCTL99/ACS/ML/AUS_Director/D,0,Yes
CHKBG_ON_PCTL99,CANMEX_Director,ML,director,3,0.07,Goal,Root/div/carrier/director,CHKBG_ON_PCTL99/ACS/ML/CANMEX_Director,1,No
CHKBG_ON_PCTL99,I,CANMEX_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,CHKBG_ON_PCTL99/ACS/ML/CANMEX_Director/I,0,Yes
CHKBG_ON_PCTL99,Caribbean_Director,ML,director,3,0.07,Goal,Root/div/carrier/director,CHKBG_ON_PCTL99/ACS/ML/Caribbean_Director,1,No
CHKBG_ON_PCTL99,I,Caribbean_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,CHKBG_ON_PCTL99/ACS/ML/Caribbean_Director/I,0,Yes
CHKBG_ON_PCTL99,CASA_Director,ML,director,3,0.3,Goal,Root/div/carrier/director,CHKBG_ON_PCTL99/ACS/ML/CASA_Director,1,No
CHKBG_ON_PCTL99,I,CASA_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,CHKBG_ON_PCTL99/ACS/ML/CASA_Director/I,0,Yes
CHKBG_ON_PCTL99,CDG_Director,ML,director,3,0.54,Goal,Root/div/carrier/director,CHKBG_ON_PCTL99/ACS/ML/CDG_Director,1,No
CHKBG_ON_PCTL99,I,CDG_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,CHKBG_ON_PCTL99/ACS/ML/CDG_Director/I,0,Yes
CHKBG_ON_PCTL99,Central_Director,ML,director,3,0.23,Goal,Root/div/carrier/director,CHKBG_ON_PCTL99/ACS/ML/Central_Director,1,No
CHKBG_ON_PCTL99,D,Central_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,CHKBG_ON_PCTL99/ACS/ML/Central_Director/D,0,Yes
CHKBG_ON_PCTL99,East_Director,ML,director,3,0.13,Goal,Root/div/carrier/director,CHKBG_ON_PCTL99/ACS/ML/East_Director,1,No
CHKBG_ON_PCTL99,D,East_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,CHKBG_ON_PCTL99/ACS/ML/East_Director/D,0,Yes
CHKBG_ON_PCTL99,EMEA-A,ML,director,3,0.04,Goal,Root/div/carrier/director,CHKBG_ON_PCTL99/ACS/ML/EMEA-A,1,No
CHKBG_ON_PCTL99,I,EMEA-A,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,CHKBG_ON_PCTL99/ACS/ML/EMEA-A/I,0,Yes
CHKBG_ON_PCTL99,EMEA-B,ML,director,3,0.64,Goal,Root/div/carrier/director,CHKBG_ON_PCTL99/ACS/ML/EMEA-B,1,No
CHKBG_ON_PCTL99,I,EMEA-B,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,CHKBG_ON_PCTL99/ACS/ML/EMEA-B/I,0,Yes
CHKBG_ON_PCTL99,FieldStations_Director,ML,director,3,0.12,Goal,Root/div/carrier/director,CHKBG_ON_PCTL99/ACS/ML/FieldStations_Director,1,No
CHKBG_ON_PCTL99,D,FieldStations_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,CHKBG_ON_PCTL99/ACS/ML/FieldStations_Director/D,0,Yes
CHKBG_ON_PCTL99,Florida_Director,ML,director,3,0.02,Goal,Root/div/carrier/director,CHKBG_ON_PCTL99/ACS/ML/Florida_Director,1,No
