KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
COST_WCD,COST_WCD,,Root,0,1,Goal,Root,COST_WCD,2,No
COST_WCD,IFS,COST_WCD,div,1,67.5,Goal,Root/div,COST_WCD/IFS,2,No
COST_WCD,FA,IFS,bu,2,95.27,Goal,Root/div/bu,COST_WCD/IFS/FA,0,Yes
COST_WCD,OBS,IFS,bu,2,4.73,Goal,Root/div/bu,COST_WCD/IFS/OBS,0,Yes
COST_WCD,OBS,COST_WCD,div,1,32.5,Goal,Root/div,COST_WCD/OBS,18,No
COST_WCD,DOCO,OBS,caterer,2,0.28,Goal,Root/div/caterer,COST_WCD/OBS/DOCO,0,Yes
COST_WCD,LSG,OBS,caterer,2,9.08,Goal,Root/div/caterer,COST_WCD/OBS/LSG,0,Yes
COST_WCD,Mainline,OBS,caterer,2,8.16,Goal,Root/div/caterer,COST_WCD/OBS/Mainline,0,Yes
COST_WCD,Newrest,OBS,caterer,2,4.58,Goal,Root/div/caterer,COST_WCD/OBS/Newrest,0,Yes
COST_WCD,North_America,OBS,continental_region,2,7.33,Goal,Root/div/continental_region,COST_WCD/OBS/North_America,0,Yes
COST_WCD,Northeast_Hubs,OBS,director,2,5.91,Goal,Root/div/director,COST_WCD/OBS/Northeast_Hubs,0,Yes
COST_WCD,T2_East,OBS,director,2,0.19,Goal,Root/div/director,COST_WCD/OBS/T2_East,0,Yes
COST_WCD,West_Hubs,OBS,director,2,7.77,Goal,Root/div/director,COST_WCD/OBS/West_Hubs,0,Yes
COST_WCD,East,OBS,region,2,7.78,Goal,Root/div/region,COST_WCD/OBS/East,0,Yes
COST_WCD,ATL,OBS,station,2,7.14,Goal,Root/div/station,COST_WCD/OBS/ATL,2,No
COST_WCD,Mainline,ATL,caterer,3,90.84,Goal,Root/div/station/caterer,COST_WCD/OBS/ATL/Mainline,1,No
COST_WCD,IFK,Mainline,kitchen,4,100.0,Goal,Root/div/station/caterer/kitchen,COST_WCD/OBS/ATL/Mainline/IFK,0,Yes
COST_WCD,Newrest,ATL,caterer,3,9.16,Goal,Root/div/station/caterer,COST_WCD/OBS/ATL/Newrest,2,No
COST_WCD,DFK,Newrest,kitchen,4,37.34,Goal,Root/div/station/caterer/kitchen,COST_WCD/OBS/ATL/Newrest/DFK,0,Yes
COST_WCD,MLC,Newrest,kitchen,4,62.66,Goal,Root/div/station/caterer/kitchen,COST_WCD/OBS/ATL/Newrest/MLC,0,Yes
COST_WCD,BOS,OBS,station,2,7.87,Goal,Root/div/station,COST_WCD/OBS/BOS,0,Yes
COST_WCD,DTW,OBS,station,2,4.36,Goal,Root/div/station,COST_WCD/OBS/DTW,0,Yes
COST_WCD,MSP,OBS,station,2,6.45,Goal,Root/div/station,COST_WCD/OBS/MSP,0,Yes
COST_WCD,RDU,OBS,station,2,1.87,Goal,Root/div/station,COST_WCD/OBS/RDU,0,Yes
COST_WCD,SLC,OBS,station,2,0.86,Goal,Root/div/station,COST_WCD/OBS/SLC,0,Yes
COST_WCD,ATL_DFK,OBS,stn_kitchen,2,8.24,Goal,Root/div/stn_kitchen,COST_WCD/OBS/ATL_DFK,0,Yes
COST_WCD,ATL_IFK,OBS,stn_kitchen,2,3.32,Goal,Root/div/stn_kitchen,COST_WCD/OBS/ATL_IFK,0,Yes
COST_WCD,ATL_MLC,OBS,stn_kitchen,2,8.81,Goal,Root/div/stn_kitchen,COST_WCD/OBS/ATL_MLC,0,Yes
