KPI_Name,parent,node,Tier,sys,ml_dc_1,ml_dc_2,dom_int,station,fleet,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,Goal_Num,Goal_Den,Source,Goal_Yr,YTD_Num,YTD_Den
D0,,sys,1.0,sys,,,,,,68.29,1216960,1782050,71.7,5.00%,1.0,1277808.0,1782050,Goal Input,2027,1277808.0,1782050
D0,sys,DC,2.0,sys,DC,,,,,72.13,446980,619723,75.73,5.00%,0.36729226926110964,469329.0,619723,Goal Input,2027,469329.0,619723
D0,sys,DL,2.0,sys,DL,,,,,66.24,769980,1162327,69.56,5.00%,0.6327077307388903,808479.0,1162327,Goal Input,2027,808479.0,1162327
D0,sys/DC,9E,3.0,sys,DC,9E,,,,68.21,173872,254904,71.62,5.00%,0.38899279609825943,182565.6,254904,Cascaded,2027,182565.6,254904
D0,sys/DC,OO,3.0,sys,DC,OO,,,,76.2,202544,265791,80.01,5.00%,0.4531388429012484,212671.2,265791,Cascaded,2027,212671.2,265791
D0,sys/DC,YX,3.0,sys,DC,YX,,,,71.26,70564,99028,74.82,5.00%,0.1578683610004922,74092.2,99028,Cascaded,2027,74092.2,99028
D0,sys/DL,DL,3.0,sys,DL,DL,,,,66.24,769980,1162327,69.56,5.00%,1.0,808479.0,1162327,Cascaded,2027,808479.0,1162327
D0,sys/DC,CRJ-700,3.1,sys,DC,,,,CRJ-700,67.7,30074,44422,71.09,5.00%,0.06728265246767193,31577.7,44422,Cascaded,2027,31577.7,44422
D0,sys/DC,CRJ-900,3.1,sys,DC,,,,CRJ-900,69.03,213299,309002,72.48,5.00%,0.4772003221620654,223963.95,309002,Cascaded,2027,223963.95,309002
D0,sys/DC,E-170,3.1,sys,DC,,,,E-170,72.16,14727,20408,75.77,5.00%,0.0329477828985637,15463.35,20408,Cascaded,2027,15463.35,20408
D0,sys/DC,E-175,3.1,sys,DC,,,,E-175,76.92,178174,231631,80.77,5.00%,0.39861738780258626,187082.7,231631,Cascaded,2027,187082.7,231631
D0,sys/DC,E170/75,3.1,sys,DC,,,,E170/75,75.08,10706,14260,78.83,5.00%,0.02395185466911271,11241.3,14260,Cascaded,2027,11241.3,14260
D0,sys/DL,220,3.1,sys,DL,,,,220,66.32,62914,94861,69.64,5.00%,0.08170861580820281,66059.7,94861,Cascaded,2027,66059.7,94861
D0,sys/DL,319,3.1,sys,DL,,,,319,72.59,54747,75417,76.22,5.00%,0.07110184680121562,57484.35,75417,Cascaded,2027,57484.35,75417
D0,sys/DL,320,3.1,sys,DL,,,,320,65.97,44993,68205,69.27,5.00%,0.05843398529831944,47242.65,68205,Cascaded,2027,47242.65,68205
D0,sys/DL,321,3.1,sys,DL,,,,321,61.98,162108,261537,65.08,5.00%,0.21053533858022286,170213.4,261537,Cascaded,2027,170213.4,261537
D0,sys/DL,332,3.1,sys,DL,,,,332,63.99,4039,6312,67.19,5.00%,0.005245590794566092,4240.95,6312,Cascaded,2027,4240.95,6312
D0,sys/DL,333,3.1,sys,DL,,,,333,52.6,9144,17385,55.23,5.00%,0.011875633133328138,9601.2,17385,Cascaded,2027,9601.2,17385
D0,sys/DL,339,3.1,sys,DL,,,,339,57.88,12338,21316,60.78,5.00%,0.016023792825787683,12954.9,21316,Cascaded,2027,12954.9,21316
D0,sys/DL,359,3.1,sys,DL,,,,359,52.13,3779,7249,54.74,5.00%,0.004907919686225616,3967.95,7249,Cascaded,2027,3967.95,7249
D0,sys/DL,35H,3.1,sys,DL,,,,35H,54.16,2807,5183,56.87,5.00%,0.003645549235045066,2947.35,5183,Cascaded,2027,2947.35,5183
D0,sys/DL,35J,3.1,sys,DL,,,,35J,55.68,1695,3044,58.47,5.00%,0.00220135587937349,1779.75,3044,Cascaded,2027,1779.75,3044
D0,sys/DL,35L,3.1,sys,DL,,,,35L,20.95,141,673,22.0,5.00%,0.0001831216395231045,148.05,673,Cascaded,2027,148.05,673
D0,sys/DL,717,3.1,sys,DL,,,,717,70.65,101145,143168,74.18,5.00%,0.1313605548196057,106202.25,143168,Cascaded,2027,106202.25,143168
D0,sys/DL,738,3.1,sys,DL,,,,738,67.96,68280,100467,71.36,5.00%,0.08867762799033742,71694.0,100467,Cascaded,2027,71694.0,100467
D0,sys/DL,739,3.1,sys,DL,,,,739,72.3,161039,222749,75.91,5.00%,0.20914699083093066,169090.95,222749,Cascaded,2027,169090.95,222749
D0,sys/DL,757,3.1,sys,DL,,,,757,58.79,57240,97360,61.73,5.00%,0.07433959323618795,60102.0,97360,Cascaded,2027,60102.0,97360
