KPI_Name,parent,node,Tier,sys,Mo_Nb,frst_flt_ind,station,dom_int,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,Goal_Num,Goal_Den,Source,Goal_Yr,YTD_Num,YTD_Den
D0,,sys,1.0,sys,,,,,68.29,1216960,1782050,71.7,5.00%,1.0,1277808.0,1782050,Goal Input,2027,1277808.0,1782050
D0,sys,1,2.0,sys,1,,,,66.4,90008,135564,69.71,5.00%,0.07396134630554825,94508.4,135564,Cascaded,2027,94508.4,135564
D0,sys,2,2.0,sys,2,,,,69.85,89932,128751,73.34,5.00%,0.07389889560872995,94428.6,128751,Cascaded,2027,188937.0,264315
D0,sys,3,2.0,sys,3,,,,65.8,98928,150354,69.09,5.00%,0.08129108598474888,103874.4,150354,Cascaded,2027,292811.4,414669
D0,sys,4,2.0,sys,4,,,,73.08,111869,153070,76.74,5.00%,0.09192496055745464,117462.45,153070,Cascaded,2027,410273.85,567739
D0,sys,5,2.0,sys,5,,,,69.67,107383,154126,73.16,5.00%,0.0882387260057849,112752.15,154126,Cascaded,2027,523026.0,721865
D0,sys,6,2.0,sys,6,,,,61.33,94996,154896,64.4,5.00%,0.07806008414409676,99745.8,154896,Cascaded,2027,622771.8,876761
D0,sys,7,2.0,sys,7,,,,62.25,99504,159843,65.36,5.00%,0.08176439652905601,104479.2,159843,Cascaded,2027,727251.0,1036604
D0,sys,8,2.0,sys,8,,,,70.88,111431,157209,74.42,5.00%,0.09156504733105443,117002.55,157209,Cascaded,2027,844253.55,1193813
D0,sys,9,2.0,sys,9,,,,77.02,114125,148179,80.87,5.00%,0.09377876018932421,119831.25,148179,Cascaded,2027,964084.8,1341992
D0,sys,10,2.0,sys,10,,,,73.12,113210,154820,76.78,5.00%,0.09302688666841967,118870.5,154820,Cascaded,2027,1082955.3,1496812
D0,sys,11,2.0,sys,11,,,,71.92,101128,140610,75.52,5.00%,0.08309886931369971,106184.4,140610,Cascaded,2027,1189139.7,1637422
D0,sys,12,2.0,sys,12,,,,58.39,84446,144628,61.31,5.00%,0.06939094136208257,88668.3,144628,Cascaded,2027,1277808.0,1782050
D0,sys/1,D,3.0,sys,1,,,D,67.23,81430,121124,70.59,5.00%,0.9046973602346459,85501.5,121124,Cascaded,2027,85501.5,121124
D0,sys/1,I,3.0,sys,1,,,I,59.4,8578,14440,62.37,5.00%,0.09530263976535419,9006.9,14440,Cascaded,2027,9006.9,14440
D0,sys/10,D,3.0,sys,10,,,D,73.63,104173,141477,77.31,5.00%,0.9201748962105821,109381.65,141477,Cascaded,2027,109381.65,141477
D0,sys/10,I,3.0,sys,10,,,I,67.73,9037,13343,71.11,5.00%,0.0798251037894179,9488.85,13343,Cascaded,2027,9488.85,13343
D0,sys/11,D,3.0,sys,11,,,D,72.41,93209,128722,76.03,5.00%,0.9216932995807293,97869.45,128722,Cascaded,2027,97869.45,128722
D0,sys/11,I,3.0,sys,11,,,I,66.61,7919,11888,69.94,5.00%,0.07830670041927063,8314.95,11888,Cascaded,2027,8314.949999999999,11888
D0,sys/12,D,3.0,sys,12,,,D,58.94,76908,130484,61.89,5.00%,0.9107358548658314,80753.4,130484,Cascaded,2027,80753.40000000001,130484
D0,sys/12,I,3.0,sys,12,,,I,53.29,7538,14144,55.96,5.00%,0.08926414513416858,7914.9,14144,Cascaded,2027,7914.900000000001,14144
D0,sys/2,D,3.0,sys,2,,,D,70.16,81282,115853,73.67,5.00%,0.90381621669706,85346.1,115853,Cascaded,2027,85346.1,115853
D0,sys/2,I,3.0,sys,2,,,I,67.06,8650,12898,70.42,5.00%,0.09618378330294,9082.5,12898,Cascaded,2027,9082.5,12898
D0,sys/3,D,3.0,sys,3,,,D,65.85,88885,134976,69.15,5.00%,0.8984817240821608,93329.25,134976,Cascaded,2027,93329.25,134976
D0,sys/3,I,3.0,sys,3,,,I,65.31,10043,15378,68.57,5.00%,0.10151827591783924,10545.15,15378,Cascaded,2027,10545.15,15378
D0,sys/4,D,3.0,sys,4,,,D,73.21,101270,138333,76.87,5.00%,0.905255253913059,106333.5,138333,Cascaded,2027,106333.5,138333
D0,sys/4,I,3.0,sys,4,,,I,71.92,10599,14737,75.52,5.00%,0.09474474608694097,11128.95,14737,Cascaded,2027,11128.949999999999,14737
D0,sys/5,D,3.0,sys,5,,,D,69.86,97531,139616,73.35,5.00%,0.9082536341879068,102407.55,139616,Cascaded,2027,102407.54999999999,139616
D0,sys/5,I,3.0,sys,5,,,I,67.9,9852,14510,71.29,5.00%,0.09174636581209317,10344.6,14510,Cascaded,2027,10344.6,14510
D0,sys/6,D,3.0,sys,6,,,D,61.74,86328,139830,64.82,5.00%,0.9087540528022232,90644.4,139830,Cascaded,2027,90644.40000000001,139830
D0,sys/6,I,3.0,sys,6,,,I,57.53,8668,15066,60.41,5.00%,0.09124594719777675,9101.4,15066,Cascaded,2027,9101.4,15066
D0,sys/7,D,3.0,sys,7,,,D,62.65,90368,144248,65.78,5.00%,0.908184595594147,94886.4,144248,Cascaded,2027,94886.4,144248
D0,sys/7,I,3.0,sys,7,,,I,58.58,9136,15595,61.51,5.00%,0.09181540440585303,9592.8,15595,Cascaded,2027,9592.8,15595
D0,sys/8,D,3.0,sys,8,,,D,71.57,101795,142227,75.15,5.00%,0.9135249616354515,106884.75,142227,Cascaded,2027,106884.75,142227
D0,sys/8,I,3.0,sys,8,,,I,64.32,9636,14982,67.53,5.00%,0.08647503836454846,10117.8,14982,Cascaded,2027,10117.800000000001,14982
D0,sys/9,D,3.0,sys,9,,,D,77.7,104530,134536,81.58,5.00%,0.9159255202628697,109756.5,134536,Cascaded,2027,109756.5,134536
D0,sys/9,I,3.0,sys,9,,,I,70.33,9595,13643,73.85,5.00%,0.08407447973713034,10074.75,13643,Cascaded,2027,10074.75,13643
