KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
D0,D0,,Root,0,1,Goal,Root,D0,12,No
D0,ML,D0,carrier,1,15.22,Goal,Root/carrier,D0/ML,1,No
D0,WB,ML,body_type,2,100.0,Goal,Root/carrier/body_type,D0/ML/WB,1,No
D0,I,WB,dom_int,3,100.0,Goal,Root/carrier/body_type/dom_int,D0/ML/WB/I,2,No
D0,exit_US,I,direction,4,81.74,Goal,Root/carrier/body_type/dom_int/direction,D0/ML/WB/I/exit_US,0,Yes
D0,into_US,I,direction,4,18.26,Goal,Root/carrier/body_type/dom_int/direction,D0/ML/WB/I/into_US,0,Yes
D0,DC,D0,carrier,1,3.76,Goal,Root/carrier,D0/DC,2,No
D0,CRW,DC,bu,2,1.57,Goal,Root/carrier/bu,D0/DC/CRW,0,Yes
D0,MTC,DC,bu,2,98.43,Goal,Root/carrier/bu,D0/DC/MTC,0,Yes
D0,ACS,D0,div,1,12.05,Goal,Root/div,D0/ACS,385,No
D0,APAC_Director,ACS,director,2,0.09,Goal,Root/div/director,D0/ACS/APAC_Director,0,Yes
D0,AUS_Director,ACS,director,2,0.34,Goal,Root/div/director,D0/ACS/AUS_Director,0,Yes
D0,CANMEX_Director,ACS,director,2,0.28,Goal,Root/div/director,D0/ACS/CANMEX_Director,0,Yes
D0,Caribbean_Director,ACS,director,2,0.41,Goal,Root/div/director,D0/ACS/Caribbean_Director,0,Yes
D0,CASA_Director,ACS,director,2,0.43,Goal,Root/div/director,D0/ACS/CASA_Director,0,Yes
D0,Central_Director,ACS,director,2,0.02,Goal,Root/div/director,D0/ACS/Central_Director,0,Yes
D0,East_Director,ACS,director,2,0.29,Goal,Root/div/director,D0/ACS/East_Director,0,Yes
D0,EMEA-A,ACS,director,2,0.47,Goal,Root/div/director,D0/ACS/EMEA-A,0,Yes
D0,EMEA-B,ACS,director,2,0.33,Goal,Root/div/director,D0/ACS/EMEA-B,0,Yes
D0,FieldStations_Director,ACS,director,2,0.12,Goal,Root/div/director,D0/ACS/FieldStations_Director,0,Yes
D0,Florida_Director,ACS,director,2,0.37,Goal,Root/div/director,D0/ACS/Florida_Director,0,Yes
D0,Hub_ATL,ACS,director,2,0.24,Goal,Root/div/director,D0/ACS/Hub_ATL,0,Yes
D0,Hub_BOS,ACS,director,2,0.43,Goal,Root/div/director,D0/ACS/Hub_BOS,0,Yes
D0,Hub_DTW,ACS,director,2,0.38,Goal,Root/div/director,D0/ACS/Hub_DTW,0,Yes
D0,Hub_JFK,ACS,director,2,0.38,Goal,Root/div/director,D0/ACS/Hub_JFK,0,Yes
D0,Hub_LAX,ACS,director,2,0.04,Goal,Root/div/director,D0/ACS/Hub_LAX,0,Yes
D0,Hub_LGA,ACS,director,2,0.27,Goal,Root/div/director,D0/ACS/Hub_LGA,0,Yes
D0,Hub_MSP,ACS,director,2,0.45,Goal,Root/div/director,D0/ACS/Hub_MSP,0,Yes
D0,Hub_SEA,ACS,director,2,0.12,Goal,Root/div/director,D0/ACS/Hub_SEA,0,Yes
D0,Hub_SLC,ACS,director,2,0.11,Goal,Root/div/director,D0/ACS/Hub_SLC,0,Yes
D0,West_Director,ACS,director,2,0.2,Goal,Root/div/director,D0/ACS/West_Director,0,Yes
D0,ACSATL,ACS,division,2,0.29,Goal,Root/div/division,D0/ACS/ACSATL,0,Yes
D0,DTW_AUS_FL,ACS,division,2,0.24,Goal,Root/div/division,D0/ACS/DTW_AUS_FL,0,Yes
D0,East,ACS,division,2,0.41,Goal,Root/div/division,D0/ACS/East,0,Yes
D0,FieldStations,ACS,division,2,0.33,Goal,Root/div/division,D0/ACS/FieldStations,0,Yes
D0,International,ACS,division,2,0.36,Goal,Root/div/division,D0/ACS/International,0,Yes
D0,JFK_BOS,ACS,division,2,0.29,Goal,Root/div/division,D0/ACS/JFK_BOS,0,Yes
D0,MSP_SEA_SLC,ACS,division,2,0.22,Goal,Root/div/division,D0/ACS/MSP_SEA_SLC,0,Yes
D0,West_Central,ACS,division,2,0.33,Goal,Root/div/division,D0/ACS/West_Central,0,Yes
D0,AMS_Region,ACS,region,2,0.1,Goal,Root/div/region,D0/ACS/AMS_Region,0,Yes
D0,AUS_Region,ACS,region,2,0.14,Goal,Root/div/region,D0/ACS/AUS_Region,0,Yes
