KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
DBR,DBR,,Root,0,1,Goal,Root,DBR,2,No
DBR,ACS,DBR,div,1,42.04,Goal,Root/div,DBR/ACS,270,No
DBR,AUS_Director,ACS,director,2,0.57,Goal,Root/div/director,DBR/ACS/AUS_Director,0,Yes
DBR,Caribbean_Director,ACS,director,2,0.56,Goal,Root/div/director,DBR/ACS/Caribbean_Director,0,Yes
DBR,Central_Director,ACS,director,2,0.18,Goal,Root/div/director,DBR/ACS/Central_Director,0,Yes
DBR,East_Director,ACS,director,2,0.58,Goal,Root/div/director,DBR/ACS/East_Director,0,Yes
DBR,FieldStations_Director,ACS,director,2,0.15,Goal,Root/div/director,DBR/ACS/FieldStations_Director,0,Yes
DBR,Florida_Director,ACS,director,2,0.63,Goal,Root/div/director,DBR/ACS/Florida_Director,0,Yes
DBR,Hub_ATL,ACS,director,2,0.66,Goal,Root/div/director,DBR/ACS/Hub_ATL,0,Yes
DBR,Hub_BOS,ACS,director,2,0.55,Goal,Root/div/director,DBR/ACS/Hub_BOS,0,Yes
DBR,Hub_DTW,ACS,director,2,0.65,Goal,Root/div/director,DBR/ACS/Hub_DTW,0,Yes
DBR,Hub_JFK,ACS,director,2,0.01,Goal,Root/div/director,DBR/ACS/Hub_JFK,0,Yes
DBR,Hub_LAX,ACS,director,2,0.14,Goal,Root/div/director,DBR/ACS/Hub_LAX,0,Yes
DBR,Hub_LGA,ACS,director,2,0.18,Goal,Root/div/director,DBR/ACS/Hub_LGA,0,Yes
DBR,Hub_MSP,ACS,director,2,0.14,Goal,Root/div/director,DBR/ACS/Hub_MSP,0,Yes
DBR,Hub_SEA,ACS,director,2,0.08,Goal,Root/div/director,DBR/ACS/Hub_SEA,0,Yes
DBR,Hub_SLC,ACS,director,2,0.05,Goal,Root/div/director,DBR/ACS/Hub_SLC,0,Yes
DBR,West_Director,ACS,director,2,0.01,Goal,Root/div/director,DBR/ACS/West_Director,0,Yes
DBR,ACSATL,ACS,division,2,0.44,Goal,Root/div/division,DBR/ACS/ACSATL,0,Yes
DBR,DTW_AUS_FL,ACS,division,2,0.64,Goal,Root/div/division,DBR/ACS/DTW_AUS_FL,0,Yes
DBR,East,ACS,division,2,0.7,Goal,Root/div/division,DBR/ACS/East,0,Yes
DBR,FieldStations,ACS,division,2,0.08,Goal,Root/div/division,DBR/ACS/FieldStations,0,Yes
DBR,International,ACS,division,2,0.13,Goal,Root/div/division,DBR/ACS/International,0,Yes
DBR,JFK_BOS,ACS,division,2,0.02,Goal,Root/div/division,DBR/ACS/JFK_BOS,0,Yes
DBR,MSP_SEA_SLC,ACS,division,2,0.39,Goal,Root/div/division,DBR/ACS/MSP_SEA_SLC,0,Yes
DBR,West_Central,ACS,division,2,0.7,Goal,Root/div/division,DBR/ACS/West_Central,0,Yes
DBR,AUS_Region,ACS,region,2,0.06,Goal,Root/div/region,DBR/ACS/AUS_Region,0,Yes
DBR,Caribbean_Region,ACS,region,2,0.48,Goal,Root/div/region,DBR/ACS/Caribbean_Region,0,Yes
DBR,Central_Region,ACS,region,2,0.47,Goal,Root/div/region,DBR/ACS/Central_Region,0,Yes
DBR,Florida_Region,ACS,region,2,0.6,Goal,Root/div/region,DBR/ACS/Florida_Region,0,Yes
DBR,FS_Central,ACS,region,2,0.07,Goal,Root/div/region,DBR/ACS/FS_Central,0,Yes
