KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
DEI,DEI,,Root,0,1,Goal,Root,DEI,9,No
DEI,ACS,DEI,div,1,14.39,Goal,Root/div,DEI/ACS,380,No
DEI,APAC_Director,ACS,director,2,0.04,Goal,Root/div/director,DEI/ACS/APAC_Director,0,Yes
DEI,AUS_Director,ACS,director,2,0.02,Goal,Root/div/director,DEI/ACS/AUS_Director,0,Yes
DEI,CANMEX_Director,ACS,director,2,0.05,Goal,Root/div/director,DEI/ACS/CANMEX_Director,0,Yes
DEI,Caribbean_Director,ACS,director,2,0.48,Goal,Root/div/director,DEI/ACS/Caribbean_Director,0,Yes
DEI,CASA_Director,ACS,director,2,0.06,Goal,Root/div/director,DEI/ACS/CASA_Director,0,Yes
DEI,CDG_Director,ACS,director,2,0.5,Goal,Root/div/director,DEI/ACS/CDG_Director,0,Yes
DEI,Central_Director,ACS,director,2,0.45,Goal,Root/div/director,DEI/ACS/Central_Director,0,Yes
DEI,East_Director,ACS,director,2,0.0,Goal,Root/div/director,DEI/ACS/East_Director,0,Yes
DEI,EMEA-A,ACS,director,2,0.07,Goal,Root/div/director,DEI/ACS/EMEA-A,0,Yes
DEI,Florida_Director,ACS,director,2,0.34,Goal,Root/div/director,DEI/ACS/Florida_Director,0,Yes
DEI,Hub_ATL,ACS,director,2,0.17,Goal,Root/div/director,DEI/ACS/Hub_ATL,0,Yes
DEI,Hub_BOS,ACS,director,2,0.23,Goal,Root/div/director,DEI/ACS/Hub_BOS,0,Yes
DEI,Hub_DTW,ACS,director,2,0.38,Goal,Root/div/director,DEI/ACS/Hub_DTW,0,Yes
DEI,Hub_JFK,ACS,director,2,0.44,Goal,Root/div/director,DEI/ACS/Hub_JFK,0,Yes
DEI,Hub_LAX,ACS,director,2,0.24,Goal,Root/div/director,DEI/ACS/Hub_LAX,0,Yes
DEI,Hub_LGA,ACS,director,2,0.35,Goal,Root/div/director,DEI/ACS/Hub_LGA,0,Yes
