KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
DLYRTE,DLYRTE,,Root,0,1,Goal,Root,DLYRTE,2,No
DLYRTE,VND,DLYRTE,div,1,41.09,Goal,Root/div,DLYRTE/VND,201,No
DLYRTE,ABQ,VND,station,2,0.92,Goal,Root/div/station,DLYRTE/VND/ABQ,2,No
DLYRTE,Unifi,ABQ,vendor,3,94.24,Goal,Root/div/station/vendor,DLYRTE/VND/ABQ/Unifi,1,No
DLYRTE,RMP,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,DLYRTE/VND/ABQ/Unifi/RMP,1,No
DLYRTE,Blended,RMP,vnd_typ,5,100.0,Goal,Root/div/station/vendor/function/vnd_typ,DLYRTE/VND/ABQ/Unifi/RMP/Blended,0,Yes
DLYRTE,PrimeFlight,ABQ,vendor,3,5.76,Goal,Root/div/station/vendor,DLYRTE/VND/ABQ/PrimeFlight,1,No
DLYRTE,WCH,PrimeFlight,function,4,100.0,Goal,Root/div/station/vendor/function,DLYRTE/VND/ABQ/PrimeFlight/WCH,0,Yes
DLYRTE,ALB,VND,station,2,0.58,Goal,Root/div/station,DLYRTE/VND/ALB,2,No
DLYRTE,Unifi,ALB,vendor,3,37.18,Goal,Root/div/station/vendor,DLYRTE/VND/ALB/Unifi,1,No
DLYRTE,RMP,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,DLYRTE/VND/ALB/Unifi/RMP,1,No
DLYRTE,Blended,RMP,vnd_typ,5,100.0,Goal,Root/div/station/vendor/function/vnd_typ,DLYRTE/VND/ALB/Unifi/RMP/Blended,0,Yes
DLYRTE,PrimeFlight,ALB,vendor,3,62.82,Goal,Root/div/station/vendor,DLYRTE/VND/ALB/PrimeFlight,1,No
DLYRTE,WCH,PrimeFlight,function,4,100.0,Goal,Root/div/station/vendor/function,DLYRTE/VND/ALB/PrimeFlight/WCH,0,Yes
DLYRTE,BDL,VND,station,2,0.73,Goal,Root/div/station,DLYRTE/VND/BDL,1,No
DLYRTE,Menzies Aviation,BDL,vendor,3,100.0,Goal,Root/div/station/vendor,DLYRTE/VND/BDL/Menzies Aviation,2,No
DLYRTE,RMP,Menzies Aviation,function,4,32.91,Goal,Root/div/station/vendor/function,DLYRTE/VND/BDL/Menzies Aviation/RMP,1,No
