KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
EMPL_ACCTBLTY,EMPL_ACCTBLTY,,Root,0,1,Goal,Root,EMPL_ACCTBLTY,1,No
EMPL_ACCTBLTY,ACS,EMPL_ACCTBLTY,div,1,100.0,Goal,Root/div,EMPL_ACCTBLTY/ACS,380,No
EMPL_ACCTBLTY,APAC_Director,ACS,director,2,0.06,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/APAC_Director,0,Yes
EMPL_ACCTBLTY,AUS_Director,ACS,director,2,0.45,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/AUS_Director,0,Yes
EMPL_ACCTBLTY,CANMEX_Director,ACS,director,2,0.04,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/CANMEX_Director,0,Yes
EMPL_ACCTBLTY,Caribbean_Director,ACS,director,2,0.45,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/Caribbean_Director,0,Yes
EMPL_ACCTBLTY,CASA_Director,ACS,director,2,0.24,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/CASA_Director,0,Yes
EMPL_ACCTBLTY,CDG_Director,ACS,director,2,0.39,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/CDG_Director,0,Yes
EMPL_ACCTBLTY,Central_Director,ACS,director,2,0.21,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/Central_Director,0,Yes
EMPL_ACCTBLTY,East_Director,ACS,director,2,0.27,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/East_Director,0,Yes
EMPL_ACCTBLTY,EMEA-A,ACS,director,2,0.23,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/EMEA-A,0,Yes
EMPL_ACCTBLTY,Florida_Director,ACS,director,2,0.37,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/Florida_Director,0,Yes
EMPL_ACCTBLTY,Hub_ATL,ACS,director,2,0.27,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/Hub_ATL,0,Yes
EMPL_ACCTBLTY,Hub_BOS,ACS,director,2,0.12,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/Hub_BOS,0,Yes
EMPL_ACCTBLTY,Hub_DTW,ACS,director,2,0.06,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/Hub_DTW,0,Yes
EMPL_ACCTBLTY,Hub_JFK,ACS,director,2,0.24,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/Hub_JFK,0,Yes
EMPL_ACCTBLTY,Hub_LAX,ACS,director,2,0.29,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/Hub_LAX,0,Yes
EMPL_ACCTBLTY,Hub_LGA,ACS,director,2,0.31,Goal,Root/div/director,EMPL_ACCTBLTY/ACS/Hub_LGA,0,Yes
