KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
EMPL_ENG,EMPL_ENG,,Root,0,1,Goal,Root,EMPL_ENG,11,No
EMPL_ENG,ACS,EMPL_ENG,div,1,5.1,Goal,Root/div,EMPL_ENG/ACS,380,No
EMPL_ENG,APAC_Director,ACS,director,2,0.07,Goal,Root/div/director,EMPL_ENG/ACS/APAC_Director,0,Yes
EMPL_ENG,AUS_Director,ACS,director,2,0.34,Goal,Root/div/director,EMPL_ENG/ACS/AUS_Director,0,Yes
EMPL_ENG,CANMEX_Director,ACS,director,2,0.05,Goal,Root/div/director,EMPL_ENG/ACS/CANMEX_Director,0,Yes
EMPL_ENG,Caribbean_Director,ACS,director,2,0.17,Goal,Root/div/director,EMPL_ENG/ACS/Caribbean_Director,0,Yes
EMPL_ENG,CASA_Director,ACS,director,2,0.18,Goal,Root/div/director,EMPL_ENG/ACS/CASA_Director,0,Yes
EMPL_ENG,CDG_Director,ACS,director,2,0.42,Goal,Root/div/director,EMPL_ENG/ACS/CDG_Director,0,Yes
EMPL_ENG,Central_Director,ACS,director,2,0.3,Goal,Root/div/director,EMPL_ENG/ACS/Central_Director,0,Yes
EMPL_ENG,East_Director,ACS,director,2,0.24,Goal,Root/div/director,EMPL_ENG/ACS/East_Director,0,Yes
EMPL_ENG,EMEA-A,ACS,director,2,0.4,Goal,Root/div/director,EMPL_ENG/ACS/EMEA-A,0,Yes
EMPL_ENG,Florida_Director,ACS,director,2,0.39,Goal,Root/div/director,EMPL_ENG/ACS/Florida_Director,0,Yes
EMPL_ENG,Hub_ATL,ACS,director,2,0.11,Goal,Root/div/director,EMPL_ENG/ACS/Hub_ATL,0,Yes
EMPL_ENG,Hub_BOS,ACS,director,2,0.01,Goal,Root/div/director,EMPL_ENG/ACS/Hub_BOS,0,Yes
EMPL_ENG,Hub_DTW,ACS,director,2,0.19,Goal,Root/div/director,EMPL_ENG/ACS/Hub_DTW,0,Yes
EMPL_ENG,Hub_JFK,ACS,director,2,0.4,Goal,Root/div/director,EMPL_ENG/ACS/Hub_JFK,0,Yes
EMPL_ENG,Hub_LAX,ACS,director,2,0.16,Goal,Root/div/director,EMPL_ENG/ACS/Hub_LAX,0,Yes
EMPL_ENG,Hub_LGA,ACS,director,2,0.38,Goal,Root/div/director,EMPL_ENG/ACS/Hub_LGA,0,Yes
EMPL_ENG,Hub_MSP,ACS,director,2,0.28,Goal,Root/div/director,EMPL_ENG/ACS/Hub_MSP,0,Yes
EMPL_ENG,Hub_SEA,ACS,director,2,0.52,Goal,Root/div/director,EMPL_ENG/ACS/Hub_SEA,0,Yes
EMPL_ENG,Hub_SLC,ACS,director,2,0.4,Goal,Root/div/director,EMPL_ENG/ACS/Hub_SLC,0,Yes
EMPL_ENG,West_Director,ACS,director,2,0.11,Goal,Root/div/director,EMPL_ENG/ACS/West_Director,0,Yes
EMPL_ENG,ACSATL,ACS,division,2,0.24,Goal,Root/div/division,EMPL_ENG/ACS/ACSATL,0,Yes
EMPL_ENG,DTW_AUS_FL,ACS,division,2,0.21,Goal,Root/div/division,EMPL_ENG/ACS/DTW_AUS_FL,0,Yes
EMPL_ENG,East,ACS,division,2,0.51,Goal,Root/div/division,EMPL_ENG/ACS/East,0,Yes
EMPL_ENG,International,ACS,division,2,0.25,Goal,Root/div/division,EMPL_ENG/ACS/International,0,Yes
EMPL_ENG,JFK_BOS,ACS,division,2,0.18,Goal,Root/div/division,EMPL_ENG/ACS/JFK_BOS,0,Yes
EMPL_ENG,MSP_SEA_SLC,ACS,division,2,0.15,Goal,Root/div/division,EMPL_ENG/ACS/MSP_SEA_SLC,0,Yes
EMPL_ENG,West_Central,ACS,division,2,0.19,Goal,Root/div/division,EMPL_ENG/ACS/West_Central,0,Yes
EMPL_ENG,AUS_Region,ACS,region,2,0.19,Goal,Root/div/region,EMPL_ENG/ACS/AUS_Region,0,Yes
EMPL_ENG,Canada_Region,ACS,region,2,0.34,Goal,Root/div/region,EMPL_ENG/ACS/Canada_Region,0,Yes
EMPL_ENG,Caribbean_Region,ACS,region,2,0.19,Goal,Root/div/region,EMPL_ENG/ACS/Caribbean_Region,0,Yes
EMPL_ENG,CDG_Region,ACS,region,2,0.16,Goal,Root/div/region,EMPL_ENG/ACS/CDG_Region,0,Yes
EMPL_ENG,Central_Region,ACS,region,2,0.47,Goal,Root/div/region,EMPL_ENG/ACS/Central_Region,0,Yes
