KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
EMPL_PSYCHSFTY,EMPL_PSYCHSFTY,,Root,0,1,Goal,Root,EMPL_PSYCHSFTY,1,No
EMPL_PSYCHSFTY,ACS,EMPL_PSYCHSFTY,div,1,100.0,Goal,Root/div,EMPL_PSYCHSFTY/ACS,380,No
EMPL_PSYCHSFTY,APAC_Director,ACS,director,2,0.07,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/APAC_Director,0,Yes
EMPL_PSYCHSFTY,AUS_Director,ACS,director,2,0.27,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/AUS_Director,0,Yes
EMPL_PSYCHSFTY,CANMEX_Director,ACS,director,2,0.5,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/CANMEX_Director,0,Yes
EMPL_PSYCHSFTY,Caribbean_Director,ACS,director,2,0.15,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/Caribbean_Director,0,Yes
EMPL_PSYCHSFTY,CASA_Director,ACS,director,2,0.01,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/CASA_Director,0,Yes
EMPL_PSYCHSFTY,CDG_Director,ACS,director,2,0.5,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/CDG_Director,0,Yes
EMPL_PSYCHSFTY,Central_Director,ACS,director,2,0.09,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/Central_Director,0,Yes
EMPL_PSYCHSFTY,East_Director,ACS,director,2,0.27,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/East_Director,0,Yes
EMPL_PSYCHSFTY,EMEA-A,ACS,director,2,0.26,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/EMEA-A,0,Yes
EMPL_PSYCHSFTY,Florida_Director,ACS,director,2,0.14,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/Florida_Director,0,Yes
EMPL_PSYCHSFTY,Hub_ATL,ACS,director,2,0.14,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/Hub_ATL,0,Yes
EMPL_PSYCHSFTY,Hub_BOS,ACS,director,2,0.35,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/Hub_BOS,0,Yes
EMPL_PSYCHSFTY,Hub_DTW,ACS,director,2,0.1,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/Hub_DTW,0,Yes
EMPL_PSYCHSFTY,Hub_JFK,ACS,director,2,0.09,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/Hub_JFK,0,Yes
EMPL_PSYCHSFTY,Hub_LAX,ACS,director,2,0.27,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/Hub_LAX,0,Yes
EMPL_PSYCHSFTY,Hub_LGA,ACS,director,2,0.02,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/Hub_LGA,0,Yes
EMPL_PSYCHSFTY,Hub_MSP,ACS,director,2,0.15,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/Hub_MSP,0,Yes
EMPL_PSYCHSFTY,Hub_SEA,ACS,director,2,0.1,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/Hub_SEA,0,Yes
EMPL_PSYCHSFTY,Hub_SLC,ACS,director,2,0.03,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/Hub_SLC,0,Yes
EMPL_PSYCHSFTY,West_Director,ACS,director,2,0.06,Goal,Root/div/director,EMPL_PSYCHSFTY/ACS/West_Director,0,Yes
EMPL_PSYCHSFTY,ACSATL,ACS,division,2,0.4,Goal,Root/div/division,EMPL_PSYCHSFTY/ACS/ACSATL,0,Yes
EMPL_PSYCHSFTY,DTW_AUS_FL,ACS,division,2,0.48,Goal,Root/div/division,EMPL_PSYCHSFTY/ACS/DTW_AUS_FL,0,Yes
EMPL_PSYCHSFTY,East,ACS,division,2,0.51,Goal,Root/div/division,EMPL_PSYCHSFTY/ACS/East,0,Yes
EMPL_PSYCHSFTY,International,ACS,division,2,0.11,Goal,Root/div/division,EMPL_PSYCHSFTY/ACS/International,0,Yes
EMPL_PSYCHSFTY,JFK_BOS,ACS,division,2,0.02,Goal,Root/div/division,EMPL_PSYCHSFTY/ACS/JFK_BOS,0,Yes
EMPL_PSYCHSFTY,MSP_SEA_SLC,ACS,division,2,0.47,Goal,Root/div/division,EMPL_PSYCHSFTY/ACS/MSP_SEA_SLC,0,Yes
EMPL_PSYCHSFTY,West_Central,ACS,division,2,0.39,Goal,Root/div/division,EMPL_PSYCHSFTY/ACS/West_Central,0,Yes
EMPL_PSYCHSFTY,AUS_Region,ACS,region,2,0.3,Goal,Root/div/region,EMPL_PSYCHSFTY/ACS/AUS_Region,0,Yes
EMPL_PSYCHSFTY,Canada_Region,ACS,region,2,0.28,Goal,Root/div/region,EMPL_PSYCHSFTY/ACS/Canada_Region,0,Yes
EMPL_PSYCHSFTY,Caribbean_Region,ACS,region,2,0.14,Goal,Root/div/region,EMPL_PSYCHSFTY/ACS/Caribbean_Region,0,Yes
EMPL_PSYCHSFTY,CDG_Region,ACS,region,2,0.43,Goal,Root/div/region,EMPL_PSYCHSFTY/ACS/CDG_Region,0,Yes
EMPL_PSYCHSFTY,Central_Region,ACS,region,2,0.18,Goal,Root/div/region,EMPL_PSYCHSFTY/ACS/Central_Region,0,Yes
