KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
FAB_STN,FAB_STN,,Root,0,1,Goal,Root,FAB_STN,1,No
FAB_STN,CGO,FAB_STN,div,1,100.0,Goal,Root/div,FAB_STN/CGO,409,No
FAB_STN,ABE,CGO,station,2,0.47,Goal,Root/div/station,FAB_STN/CGO/ABE,2,No
FAB_STN,O,ABE,orig_typ,3,48.38,Goal,Root/div/station/orig_typ,FAB_STN/CGO/ABE/O,1,No
FAB_STN,D,O,dom_int,4,100.0,Goal,Root/div/station/orig_typ/dom_int,FAB_STN/CGO/ABE/O/D,0,Yes
FAB_STN,T,ABE,orig_typ,3,51.62,Goal,Root/div/station/orig_typ,FAB_STN/CGO/ABE/T,1,No
FAB_STN,D,T,dom_int,4,100.0,Goal,Root/div/station/orig_typ/dom_int,FAB_STN/CGO/ABE/T/D,0,Yes
FAB_STN,ABQ,CGO,station,2,0.25,Goal,Root/div/station,FAB_STN/CGO/ABQ,2,No
FAB_STN,O,ABQ,orig_typ,3,57.75,Goal,Root/div/station/orig_typ,FAB_STN/CGO/ABQ/O,2,No
FAB_STN,D,O,dom_int,4,27.67,Goal,Root/div/station/orig_typ/dom_int,FAB_STN/CGO/ABQ/O/D,0,Yes
FAB_STN,I,O,dom_int,4,72.33,Goal,Root/div/station/orig_typ/dom_int,FAB_STN/CGO/ABQ/O/I,0,Yes
FAB_STN,T,ABQ,orig_typ,3,42.25,Goal,Root/div/station/orig_typ,FAB_STN/CGO/ABQ/T,1,No
FAB_STN,D,T,dom_int,4,100.0,Goal,Root/div/station/orig_typ/dom_int,FAB_STN/CGO/ABQ/T/D,0,Yes
FAB_STN,ABR,CGO,station,2,0.37,Goal,Root/div/station,FAB_STN/CGO/ABR,1,No
FAB_STN,O,ABR,orig_typ,3,100.0,Goal,Root/div/station/orig_typ,FAB_STN/CGO/ABR/O,1,No
FAB_STN,D,O,dom_int,4,100.0,Goal,Root/div/station/orig_typ/dom_int,FAB_STN/CGO/ABR/O/D,0,Yes
FAB_STN,ABY,CGO,station,2,0.38,Goal,Root/div/station,FAB_STN/CGO/ABY,1,No
FAB_STN,O,ABY,orig_typ,3,100.0,Goal,Root/div/station/orig_typ,FAB_STN/CGO/ABY/O,1,No
FAB_STN,D,O,dom_int,4,100.0,Goal,Root/div/station/orig_typ/dom_int,FAB_STN/CGO/ABY/O/D,0,Yes
FAB_STN,ABZ,CGO,station,2,0.35,Goal,Root/div/station,FAB_STN/CGO/ABZ,1,No
FAB_STN,O,ABZ,orig_typ,3,100.0,Goal,Root/div/station/orig_typ,FAB_STN/CGO/ABZ/O,1,No
FAB_STN,I,O,dom_int,4,100.0,Goal,Root/div/station/orig_typ/dom_int,FAB_STN/CGO/ABZ/O/I,0,Yes
FAB_STN,ACC,CGO,station,2,0.12,Goal,Root/div/station,FAB_STN/CGO/ACC,2,No
FAB_STN,O,ACC,orig_typ,3,45.75,Goal,Root/div/station/orig_typ,FAB_STN/CGO/ACC/O,1,No
FAB_STN,I,O,dom_int,4,100.0,Goal,Root/div/station/orig_typ/dom_int,FAB_STN/CGO/ACC/O/I,0,Yes
FAB_STN,T,ACC,orig_typ,3,54.25,Goal,Root/div/station/orig_typ,FAB_STN/CGO/ACC/T,1,No
FAB_STN,I,T,dom_int,4,100.0,Goal,Root/div/station/orig_typ/dom_int,FAB_STN/CGO/ACC/T/I,0,Yes
FAB_STN,ADL,CGO,station,2,0.18,Goal,Root/div/station,FAB_STN/CGO/ADL,1,No
FAB_STN,O,ADL,orig_typ,3,100.0,Goal,Root/div/station/orig_typ,FAB_STN/CGO/ADL/O,1,No
FAB_STN,I,O,dom_int,4,100.0,Goal,Root/div/station/orig_typ/dom_int,FAB_STN/CGO/ADL/O/I,0,Yes
FAB_STN,AEX,CGO,station,2,0.08,Goal,Root/div/station,FAB_STN/CGO/AEX,2,No
FAB_STN,O,AEX,orig_typ,3,82.13,Goal,Root/div/station/orig_typ,FAB_STN/CGO/AEX/O,1,No
FAB_STN,D,O,dom_int,4,100.0,Goal,Root/div/station/orig_typ/dom_int,FAB_STN/CGO/AEX/O/D,0,Yes
FAB_STN,T,AEX,orig_typ,3,17.87,Goal,Root/div/station/orig_typ,FAB_STN/CGO/AEX/T,1,No
