KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
FAINS_CTR_SAT,FAINS_CTR_SAT,,Root,0,1,Goal,Root,FAINS_CTR_SAT,1,No
FAINS_CTR_SAT,OBS,FAINS_CTR_SAT,div,1,100.0,Goal,Root/div,FAINS_CTR_SAT/OBS,448,No
FAINS_CTR_SAT,",null,",OBS,caterer,2,0.33,Goal,Root/div/caterer,"FAINS_CTR_SAT/OBS/,null,",0,Yes
FAINS_CTR_SAT,ABM,OBS,caterer,2,0.14,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/ABM,0,Yes
FAINS_CTR_SAT,Aerococina,OBS,caterer,2,0.28,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/Aerococina,0,Yes
FAINS_CTR_SAT,AirChefs,OBS,caterer,2,0.24,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/AirChefs,0,Yes
FAINS_CTR_SAT,AirFayre,OBS,caterer,2,0.22,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/AirFayre,0,Yes
FAINS_CTR_SAT,Alpha,OBS,caterer,2,0.41,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/Alpha,0,Yes
FAINS_CTR_SAT,Aviation Tech Services,OBS,caterer,2,0.04,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/Aviation Tech Services,0,Yes
FAINS_CTR_SAT,Calloway,OBS,caterer,2,0.38,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/Calloway,0,Yes
FAINS_CTR_SAT,Canonica,OBS,caterer,2,0.38,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/Canonica,0,Yes
FAINS_CTR_SAT,CaribCater,OBS,caterer,2,0.03,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/CaribCater,0,Yes
FAINS_CTR_SAT,CasaProveedora,OBS,caterer,2,0.25,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/CasaProveedora,0,Yes
FAINS_CTR_SAT,CateringPor,OBS,caterer,2,0.35,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/CateringPor,0,Yes
FAINS_CTR_SAT,Chelsea,OBS,caterer,2,0.38,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/Chelsea,0,Yes
FAINS_CTR_SAT,CoDelAire,OBS,caterer,2,0.15,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/CoDelAire,0,Yes
FAINS_CTR_SAT,CoDeVuelos,OBS,caterer,2,0.32,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/CoDeVuelos,0,Yes
FAINS_CTR_SAT,CTA,OBS,caterer,2,0.17,Goal,Root/div/caterer,FAINS_CTR_SAT/OBS/CTA,0,Yes
