KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
FFD0,FFD0,,Root,0,1,Goal,Root,FFD0,7,No
FFD0,ACS,FFD0,div,1,11.51,Goal,Root/div,FFD0/ACS,393,No
FFD0,AMS_Director,ACS,director,2,0.43,Goal,Root/div/director,FFD0/ACS/AMS_Director,0,Yes
FFD0,APAC_Director,ACS,director,2,0.01,Goal,Root/div/director,FFD0/ACS/APAC_Director,0,Yes
FFD0,AUS_Director,ACS,director,2,0.02,Goal,Root/div/director,FFD0/ACS/AUS_Director,0,Yes
FFD0,CANMEX_Director,ACS,director,2,0.02,Goal,Root/div/director,FFD0/ACS/CANMEX_Director,0,Yes
FFD0,Caribbean_Director,ACS,director,2,0.51,Goal,Root/div/director,FFD0/ACS/Caribbean_Director,0,Yes
FFD0,CASA_Director,ACS,director,2,0.35,Goal,Root/div/director,FFD0/ACS/CASA_Director,0,Yes
FFD0,CDG_Director,ACS,director,2,0.09,Goal,Root/div/director,FFD0/ACS/CDG_Director,0,Yes
FFD0,Central_Director,ACS,director,2,0.35,Goal,Root/div/director,FFD0/ACS/Central_Director,0,Yes
FFD0,East_Director,ACS,director,2,0.32,Goal,Root/div/director,FFD0/ACS/East_Director,0,Yes
FFD0,EMEA-A,ACS,director,2,0.46,Goal,Root/div/director,FFD0/ACS/EMEA-A,0,Yes
FFD0,EMEA-B,ACS,director,2,0.47,Goal,Root/div/director,FFD0/ACS/EMEA-B,0,Yes
FFD0,FieldStations_Director,ACS,director,2,0.46,Goal,Root/div/director,FFD0/ACS/FieldStations_Director,0,Yes
FFD0,Florida_Director,ACS,director,2,0.11,Goal,Root/div/director,FFD0/ACS/Florida_Director,0,Yes
FFD0,Hub_ATL,ACS,director,2,0.47,Goal,Root/div/director,FFD0/ACS/Hub_ATL,0,Yes
FFD0,Hub_BOS,ACS,director,2,0.03,Goal,Root/div/director,FFD0/ACS/Hub_BOS,0,Yes
FFD0,Hub_DTW,ACS,director,2,0.01,Goal,Root/div/director,FFD0/ACS/Hub_DTW,0,Yes
FFD0,Hub_JFK,ACS,director,2,0.46,Goal,Root/div/director,FFD0/ACS/Hub_JFK,0,Yes
FFD0,Hub_LAX,ACS,director,2,0.43,Goal,Root/div/director,FFD0/ACS/Hub_LAX,0,Yes
FFD0,Hub_LGA,ACS,director,2,0.18,Goal,Root/div/director,FFD0/ACS/Hub_LGA,0,Yes
FFD0,Hub_MSP,ACS,director,2,0.12,Goal,Root/div/director,FFD0/ACS/Hub_MSP,0,Yes
FFD0,Hub_SEA,ACS,director,2,0.33,Goal,Root/div/director,FFD0/ACS/Hub_SEA,0,Yes
FFD0,Hub_SLC,ACS,director,2,0.47,Goal,Root/div/director,FFD0/ACS/Hub_SLC,0,Yes
FFD0,West_Director,ACS,director,2,0.49,Goal,Root/div/director,FFD0/ACS/West_Director,0,Yes
FFD0,ACSATL,ACS,division,2,0.49,Goal,Root/div/division,FFD0/ACS/ACSATL,0,Yes
FFD0,DTW_AUS_FL,ACS,division,2,0.07,Goal,Root/div/division,FFD0/ACS/DTW_AUS_FL,0,Yes
FFD0,East,ACS,division,2,0.2,Goal,Root/div/division,FFD0/ACS/East,0,Yes
FFD0,FieldStations,ACS,division,2,0.36,Goal,Root/div/division,FFD0/ACS/FieldStations,0,Yes
FFD0,International,ACS,division,2,0.18,Goal,Root/div/division,FFD0/ACS/International,0,Yes
FFD0,JFK_BOS,ACS,division,2,0.21,Goal,Root/div/division,FFD0/ACS/JFK_BOS,0,Yes
FFD0,MSP_SEA_SLC,ACS,division,2,0.29,Goal,Root/div/division,FFD0/ACS/MSP_SEA_SLC,0,Yes
FFD0,West_Central,ACS,division,2,0.27,Goal,Root/div/division,FFD0/ACS/West_Central,0,Yes
FFD0,AMS_Region,ACS,region,2,0.28,Goal,Root/div/region,FFD0/ACS/AMS_Region,0,Yes
FFD0,AUS_Region,ACS,region,2,0.16,Goal,Root/div/region,FFD0/ACS/AUS_Region,0,Yes
FFD0,Canada_Region,ACS,region,2,0.03,Goal,Root/div/region,FFD0/ACS/Canada_Region,0,Yes
FFD0,Caribbean_Region,ACS,region,2,0.23,Goal,Root/div/region,FFD0/ACS/Caribbean_Region,0,Yes
FFD0,CDG_Region,ACS,region,2,0.3,Goal,Root/div/region,FFD0/ACS/CDG_Region,0,Yes
FFD0,CentralAmerica_Region,ACS,region,2,0.23,Goal,Root/div/region,FFD0/ACS/CentralAmerica_Region,0,Yes
FFD0,Central_Region,ACS,region,2,0.39,Goal,Root/div/region,FFD0/ACS/Central_Region,0,Yes
FFD0,EastAsia_Region,ACS,region,2,0.32,Goal,Root/div/region,FFD0/ACS/EastAsia_Region,0,Yes
FFD0,Florida_Region,ACS,region,2,0.23,Goal,Root/div/region,FFD0/ACS/Florida_Region,0,Yes
FFD0,FS_Central,ACS,region,2,0.41,Goal,Root/div/region,FFD0/ACS/FS_Central,0,Yes
FFD0,FS_East,ACS,region,2,0.15,Goal,Root/div/region,FFD0/ACS/FS_East,0,Yes
FFD0,FS_MountainWest,ACS,region,2,0.1,Goal,Root/div/region,FFD0/ACS/FS_MountainWest,0,Yes
FFD0,FS_South,ACS,region,2,0.33,Goal,Root/div/region,FFD0/ACS/FS_South,0,Yes
FFD0,FS_West,ACS,region,2,0.05,Goal,Root/div/region,FFD0/ACS/FS_West,0,Yes
FFD0,GreatLakes_Region,ACS,region,2,0.22,Goal,Root/div/region,FFD0/ACS/GreatLakes_Region,0,Yes
FFD0,MCO_Region,ACS,region,2,0.13,Goal,Root/div/region,FFD0/ACS/MCO_Region,0,Yes
FFD0,Mexico_Region,ACS,region,2,0.21,Goal,Root/div/region,FFD0/ACS/Mexico_Region,0,Yes
FFD0,MIA_Region,ACS,region,2,0.02,Goal,Root/div/region,FFD0/ACS/MIA_Region,0,Yes
FFD0,Northeast_Region,ACS,region,2,0.31,Goal,Root/div/region,FFD0/ACS/Northeast_Region,0,Yes
FFD0,SouthAmerica_Region,ACS,region,2,0.03,Goal,Root/div/region,FFD0/ACS/SouthAmerica_Region,0,Yes
FFD0,Southeast_Region,ACS,region,2,0.13,Goal,Root/div/region,FFD0/ACS/Southeast_Region,0,Yes
FFD0,SouthPacific_Region,ACS,region,2,0.18,Goal,Root/div/region,FFD0/ACS/SouthPacific_Region,0,Yes
FFD0,SouthWest_Region,ACS,region,2,0.49,Goal,Root/div/region,FFD0/ACS/SouthWest_Region,0,Yes
FFD0,West_Region,ACS,region,2,0.34,Goal,Root/div/region,FFD0/ACS/West_Region,0,Yes
FFD0,ABE,ACS,station,2,0.25,Goal,Root/div/station,FFD0/ACS/ABE,0,Yes
FFD0,ABQ,ACS,station,2,0.43,Goal,Root/div/station,FFD0/ACS/ABQ,0,Yes
