KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
FOOD_SFTY_EVT,FOOD_SFTY_EVT,,Root,0,1,Goal,Root,FOOD_SFTY_EVT,1,No
FOOD_SFTY_EVT,OBS,FOOD_SFTY_EVT,div,1,100.0,Goal,Root/div,FOOD_SFTY_EVT/OBS,155,No
FOOD_SFTY_EVT,Aerococina,OBS,caterer,2,0.59,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/Aerococina,0,Yes
FOOD_SFTY_EVT,AirFayre,OBS,caterer,2,0.6,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/AirFayre,0,Yes
FOOD_SFTY_EVT,Alpha,OBS,caterer,2,0.3,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/Alpha,0,Yes
FOOD_SFTY_EVT,Canonica,OBS,caterer,2,0.4,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/Canonica,0,Yes
FOOD_SFTY_EVT,CasaProveedora,OBS,caterer,2,0.03,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/CasaProveedora,0,Yes
FOOD_SFTY_EVT,CateringPor,OBS,caterer,2,0.82,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/CateringPor,0,Yes
FOOD_SFTY_EVT,Dakar,OBS,caterer,2,0.42,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/Dakar,0,Yes
FOOD_SFTY_EVT,dnata,OBS,caterer,2,0.14,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/dnata,0,Yes
FOOD_SFTY_EVT,DOCO,OBS,caterer,2,0.59,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/DOCO,0,Yes
FOOD_SFTY_EVT,EFG,OBS,caterer,2,0.11,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/EFG,0,Yes
FOOD_SFTY_EVT,EGSC,OBS,caterer,2,1.03,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/EGSC,0,Yes
FOOD_SFTY_EVT,FlyFoodGrp,OBS,caterer,2,0.45,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/FlyFoodGrp,0,Yes
FOOD_SFTY_EVT,GG,OBS,caterer,2,1.06,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/GG,0,Yes
FOOD_SFTY_EVT,Goddard,OBS,caterer,2,0.49,Goal,Root/div/caterer,FOOD_SFTY_EVT/OBS/Goddard,0,Yes
