KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
GCB_COMP,GCB_COMP,,Root,0,1,Goal,Root,GCB_COMP,1,No
GCB_COMP,ACS,GCB_COMP,div,1,100.0,Goal,Root/div,GCB_COMP/ACS,1,No
GCB_COMP,ML,ACS,carrier,2,100.0,Goal,Root/div/carrier,GCB_COMP/ACS/ML,318,No
GCB_COMP,APAC_Director,ML,director,3,0.15,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/APAC_Director,1,No
GCB_COMP,I,APAC_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/APAC_Director/I,0,Yes
GCB_COMP,AUS_Director,ML,director,3,0.49,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/AUS_Director,1,No
GCB_COMP,D,AUS_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/AUS_Director/D,0,Yes
GCB_COMP,CANMEX_Director,ML,director,3,0.2,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/CANMEX_Director,1,No
GCB_COMP,I,CANMEX_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/CANMEX_Director/I,0,Yes
GCB_COMP,Caribbean_Director,ML,director,3,0.18,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/Caribbean_Director,1,No
GCB_COMP,I,Caribbean_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/Caribbean_Director/I,0,Yes
GCB_COMP,CASA_Director,ML,director,3,0.18,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/CASA_Director,1,No
GCB_COMP,I,CASA_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/CASA_Director/I,0,Yes
GCB_COMP,CDG_Director,ML,director,3,0.15,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/CDG_Director,1,No
GCB_COMP,I,CDG_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/CDG_Director/I,0,Yes
GCB_COMP,Central_Director,ML,director,3,0.58,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/Central_Director,1,No
GCB_COMP,D,Central_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/Central_Director/D,0,Yes
GCB_COMP,East_Director,ML,director,3,0.41,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/East_Director,1,No
GCB_COMP,D,East_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/East_Director/D,0,Yes
GCB_COMP,EMEA-A,ML,director,3,0.06,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/EMEA-A,1,No
GCB_COMP,I,EMEA-A,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/EMEA-A/I,0,Yes
GCB_COMP,EMEA-B,ML,director,3,0.35,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/EMEA-B,1,No
GCB_COMP,I,EMEA-B,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/EMEA-B/I,0,Yes
GCB_COMP,FieldStations_Director,ML,director,3,0.39,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/FieldStations_Director,1,No
GCB_COMP,D,FieldStations_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/FieldStations_Director/D,0,Yes
GCB_COMP,Florida_Director,ML,director,3,0.27,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/Florida_Director,1,No
GCB_COMP,D,Florida_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/Florida_Director/D,0,Yes
GCB_COMP,Hub_ATL,ML,director,3,0.26,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/Hub_ATL,1,No
GCB_COMP,D,Hub_ATL,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/Hub_ATL/D,0,Yes
GCB_COMP,Hub_BOS,ML,director,3,0.6,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/Hub_BOS,1,No
GCB_COMP,D,Hub_BOS,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/Hub_BOS/D,0,Yes
GCB_COMP,Hub_DTW,ML,director,3,0.17,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/Hub_DTW,1,No
GCB_COMP,D,Hub_DTW,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GCB_COMP/ACS/ML/Hub_DTW/D,0,Yes
GCB_COMP,Hub_JFK,ML,director,3,0.29,Goal,Root/div/carrier/director,GCB_COMP/ACS/ML/Hub_JFK,1,No
