KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
GCS_GDI,GCS_GDI,,Root,0,1,Goal,Root,GCS_GDI,1,No
GCS_GDI,GCS,GCS_GDI,div,1,100.0,Goal,Root/div,GCS_GDI/GCS,56,No
GCS_GDI,ANC,GCS,station,2,2.48,Goal,Root/div/station,GCS_GDI/GCS/ANC,2,No
GCS_GDI,",null,",ANC,vendor,3,56.33,Goal,Root/div/station/vendor,"GCS_GDI/GCS/ANC/,null,",1,No
GCS_GDI,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_GDI/GCS/ANC/,null,/Cabin",0,Yes
GCS_GDI,Pegasus,ANC,vendor,3,43.67,Goal,Root/div/station/vendor,GCS_GDI/GCS/ANC/Pegasus,1,No
GCS_GDI,Cabin,Pegasus,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_GDI/GCS/ANC/Pegasus/Cabin,0,Yes
GCS_GDI,ATL,GCS,station,2,1.16,Goal,Root/div/station,GCS_GDI/GCS/ATL,2,No
GCS_GDI,",null,",ATL,vendor,3,24.73,Goal,Root/div/station/vendor,"GCS_GDI/GCS/ATL/,null,",1,No
GCS_GDI,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_GDI/GCS/ATL/,null,/Cabin",0,Yes
GCS_GDI,Delta,ATL,vendor,3,75.27,Goal,Root/div/station/vendor,GCS_GDI/GCS/ATL/Delta,1,No
GCS_GDI,Cabin,Delta,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_GDI/GCS/ATL/Delta/Cabin,0,Yes
GCS_GDI,AUS,GCS,station,2,3.48,Goal,Root/div/station,GCS_GDI/GCS/AUS,2,No
GCS_GDI,",null,",AUS,vendor,3,57.34,Goal,Root/div/station/vendor,"GCS_GDI/GCS/AUS/,null,",1,No
GCS_GDI,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_GDI/GCS/AUS/,null,/Cabin",0,Yes
GCS_GDI,Unifi,AUS,vendor,3,42.66,Goal,Root/div/station/vendor,GCS_GDI/GCS/AUS/Unifi,1,No
GCS_GDI,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_GDI/GCS/AUS/Unifi/Cabin,0,Yes
GCS_GDI,BNA,GCS,station,2,2.81,Goal,Root/div/station,GCS_GDI/GCS/BNA,3,No
GCS_GDI,",null,",BNA,vendor,3,47.53,Goal,Root/div/station/vendor,"GCS_GDI/GCS/BNA/,null,",1,No
GCS_GDI,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_GDI/GCS/BNA/,null,/Cabin",0,Yes
GCS_GDI,Prospect,BNA,vendor,3,39.42,Goal,Root/div/station/vendor,GCS_GDI/GCS/BNA/Prospect,1,No
GCS_GDI,Cabin,Prospect,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_GDI/GCS/BNA/Prospect/Cabin,0,Yes
GCS_GDI,Unifi,BNA,vendor,3,13.05,Goal,Root/div/station/vendor,GCS_GDI/GCS/BNA/Unifi,1,No
