KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
GCS_RON_QA,GCS_RON_QA,,Root,0,1,Goal,Root,GCS_RON_QA,1,No
GCS_RON_QA,GCS,GCS_RON_QA,div,1,100.0,Goal,Root/div,GCS_RON_QA/GCS,407,No
GCS_RON_QA,ABE,GCS,station,2,0.36,Goal,Root/div/station,GCS_RON_QA/GCS/ABE,2,No
GCS_RON_QA,",null,",ABE,vendor,3,66.39,Goal,Root/div/station/vendor,"GCS_RON_QA/GCS/ABE/,null,",1,No
GCS_RON_QA,FS,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_RON_QA/GCS/ABE/,null,/FS",0,Yes
GCS_RON_QA,Unifi,ABE,vendor,3,33.61,Goal,Root/div/station/vendor,GCS_RON_QA/GCS/ABE/Unifi,1,No
GCS_RON_QA,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_RON_QA/GCS/ABE/Unifi/FS,0,Yes
GCS_RON_QA,ABQ,GCS,station,2,0.26,Goal,Root/div/station,GCS_RON_QA/GCS/ABQ,2,No
GCS_RON_QA,",null,",ABQ,vendor,3,22.92,Goal,Root/div/station/vendor,"GCS_RON_QA/GCS/ABQ/,null,",1,No
GCS_RON_QA,Blended,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_RON_QA/GCS/ABQ/,null,/Blended",0,Yes
GCS_RON_QA,Unifi,ABQ,vendor,3,77.08,Goal,Root/div/station/vendor,GCS_RON_QA/GCS/ABQ/Unifi,1,No
GCS_RON_QA,Blended,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_RON_QA/GCS/ABQ/Unifi/Blended,0,Yes
GCS_RON_QA,ABR,GCS,station,2,0.35,Goal,Root/div/station,GCS_RON_QA/GCS/ABR,2,No
GCS_RON_QA,",null,",ABR,vendor,3,64.18,Goal,Root/div/station/vendor,"GCS_RON_QA/GCS/ABR/,null,",1,No
GCS_RON_QA,FS,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_RON_QA/GCS/ABR/,null,/FS",0,Yes
