KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
GCS_TURN_QA,GCS_TURN_QA,,Root,0,1,Goal,Root,GCS_TURN_QA,1,No
GCS_TURN_QA,GCS,GCS_TURN_QA,div,1,100.0,Goal,Root/div,GCS_TURN_QA/GCS,56,No
GCS_TURN_QA,ANC,GCS,station,2,1.94,Goal,Root/div/station,GCS_TURN_QA/GCS/ANC,2,No
GCS_TURN_QA,",null,",ANC,vendor,3,44.79,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/ANC/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/ANC/,null,/Cabin",0,Yes
GCS_TURN_QA,Pegasus,ANC,vendor,3,55.21,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/ANC/Pegasus,1,No
GCS_TURN_QA,Cabin,Pegasus,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/ANC/Pegasus/Cabin,0,Yes
GCS_TURN_QA,ATL,GCS,station,2,3.43,Goal,Root/div/station,GCS_TURN_QA/GCS/ATL,2,No
GCS_TURN_QA,",null,",ATL,vendor,3,86.31,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/ATL/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/ATL/,null,/Cabin",0,Yes
GCS_TURN_QA,Delta,ATL,vendor,3,13.69,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/ATL/Delta,1,No
GCS_TURN_QA,Cabin,Delta,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/ATL/Delta/Cabin,0,Yes
GCS_TURN_QA,AUS,GCS,station,2,3.66,Goal,Root/div/station,GCS_TURN_QA/GCS/AUS,2,No
GCS_TURN_QA,",null,",AUS,vendor,3,25.04,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/AUS/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/AUS/,null,/Cabin",0,Yes
GCS_TURN_QA,Unifi,AUS,vendor,3,74.96,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/AUS/Unifi,1,No
GCS_TURN_QA,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/AUS/Unifi/Cabin,0,Yes
GCS_TURN_QA,BNA,GCS,station,2,2.58,Goal,Root/div/station,GCS_TURN_QA/GCS/BNA,3,No
GCS_TURN_QA,",null,",BNA,vendor,3,35.2,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/BNA/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/BNA/,null,/Cabin",0,Yes
GCS_TURN_QA,Prospect,BNA,vendor,3,27.8,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/BNA/Prospect,1,No
GCS_TURN_QA,Cabin,Prospect,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/BNA/Prospect/Cabin,0,Yes
GCS_TURN_QA,Unifi,BNA,vendor,3,37.0,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/BNA/Unifi,1,No
GCS_TURN_QA,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/BNA/Unifi/Cabin,0,Yes
GCS_TURN_QA,BOS,GCS,station,2,3.08,Goal,Root/div/station,GCS_TURN_QA/GCS/BOS,4,No
GCS_TURN_QA,",null,",BOS,vendor,3,4.36,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/BOS/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/BOS/,null,/Cabin",0,Yes
GCS_TURN_QA,G2,BOS,vendor,3,30.93,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/BOS/G2,1,No
GCS_TURN_QA,Cabin,G2,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/BOS/G2/Cabin,0,Yes
GCS_TURN_QA,HHS Aviation,BOS,vendor,3,31.26,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/BOS/HHS Aviation,1,No
GCS_TURN_QA,Cabin,HHS Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/BOS/HHS Aviation/Cabin,0,Yes
GCS_TURN_QA,Menzies Aviation,BOS,vendor,3,33.45,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/BOS/Menzies Aviation,1,No
GCS_TURN_QA,Cabin,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/BOS/Menzies Aviation/Cabin,0,Yes
GCS_TURN_QA,BWI,GCS,station,2,0.65,Goal,Root/div/station,GCS_TURN_QA/GCS/BWI,2,No
GCS_TURN_QA,",null,",BWI,vendor,3,54.65,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/BWI/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/BWI/,null,/Cabin",0,Yes
GCS_TURN_QA,HHS Aviation,BWI,vendor,3,45.35,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/BWI/HHS Aviation,1,No
GCS_TURN_QA,Cabin,HHS Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/BWI/HHS Aviation/Cabin,0,Yes
GCS_TURN_QA,CMH,GCS,station,2,2.12,Goal,Root/div/station,GCS_TURN_QA/GCS/CMH,3,No
GCS_TURN_QA,",null,",CMH,vendor,3,48.27,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/CMH/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/CMH/,null,/Cabin",0,Yes
GCS_TURN_QA,Prospect,CMH,vendor,3,25.81,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/CMH/Prospect,1,No
GCS_TURN_QA,Cabin,Prospect,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/CMH/Prospect/Cabin,0,Yes
GCS_TURN_QA,Unifi,CMH,vendor,3,25.92,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/CMH/Unifi,1,No
GCS_TURN_QA,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/CMH/Unifi/Cabin,0,Yes
GCS_TURN_QA,CVG,GCS,station,2,1.13,Goal,Root/div/station,GCS_TURN_QA/GCS/CVG,2,No
GCS_TURN_QA,",null,",CVG,vendor,3,70.47,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/CVG/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/CVG/,null,/Cabin",0,Yes
GCS_TURN_QA,Unifi,CVG,vendor,3,29.53,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/CVG/Unifi,1,No
GCS_TURN_QA,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/CVG/Unifi/Cabin,0,Yes
GCS_TURN_QA,DCA,GCS,station,2,3.42,Goal,Root/div/station,GCS_TURN_QA/GCS/DCA,2,No
GCS_TURN_QA,",null,",DCA,vendor,3,37.49,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/DCA/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/DCA/,null,/Cabin",0,Yes
GCS_TURN_QA,Eulen,DCA,vendor,3,62.51,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/DCA/Eulen,1,No
GCS_TURN_QA,Cabin,Eulen,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/DCA/Eulen/Cabin,0,Yes
GCS_TURN_QA,DEN,GCS,station,2,1.22,Goal,Root/div/station,GCS_TURN_QA/GCS/DEN,2,No
GCS_TURN_QA,",null,",DEN,vendor,3,80.49,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/DEN/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/DEN/,null,/Cabin",0,Yes
GCS_TURN_QA,Unifi,DEN,vendor,3,19.51,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/DEN/Unifi,1,No
GCS_TURN_QA,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/DEN/Unifi/Cabin,0,Yes
GCS_TURN_QA,DFW,GCS,station,2,0.93,Goal,Root/div/station,GCS_TURN_QA/GCS/DFW,2,No
GCS_TURN_QA,",null,",DFW,vendor,3,8.87,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/DFW/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/DFW/,null,/Cabin",0,Yes
GCS_TURN_QA,HHS Aviation,DFW,vendor,3,91.13,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/DFW/HHS Aviation,1,No
GCS_TURN_QA,Cabin,HHS Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/DFW/HHS Aviation/Cabin,0,Yes
GCS_TURN_QA,DTW,GCS,station,2,0.26,Goal,Root/div/station,GCS_TURN_QA/GCS/DTW,3,No
GCS_TURN_QA,",null,",DTW,vendor,3,68.88,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/DTW/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/DTW/,null,/Cabin",0,Yes
GCS_TURN_QA,G2,DTW,vendor,3,15.48,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/DTW/G2,1,No
GCS_TURN_QA,Cabin,G2,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/DTW/G2/Cabin,0,Yes
GCS_TURN_QA,Menzies Aviation,DTW,vendor,3,15.64,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/DTW/Menzies Aviation,1,No
GCS_TURN_QA,Cabin,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/DTW/Menzies Aviation/Cabin,0,Yes
GCS_TURN_QA,EWR,GCS,station,2,3.68,Goal,Root/div/station,GCS_TURN_QA/GCS/EWR,2,No
GCS_TURN_QA,",null,",EWR,vendor,3,40.22,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/EWR/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/EWR/,null,/Cabin",0,Yes
GCS_TURN_QA,Menzies Aviation,EWR,vendor,3,59.78,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/EWR/Menzies Aviation,1,No
GCS_TURN_QA,Cabin,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/EWR/Menzies Aviation/Cabin,0,Yes
GCS_TURN_QA,FLL,GCS,station,2,1.97,Goal,Root/div/station,GCS_TURN_QA/GCS/FLL,2,No
GCS_TURN_QA,",null,",FLL,vendor,3,78.54,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/FLL/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/FLL/,null,/Cabin",0,Yes
GCS_TURN_QA,HHS Aviation,FLL,vendor,3,21.46,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/FLL/HHS Aviation,1,No
GCS_TURN_QA,Cabin,HHS Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/FLL/HHS Aviation/Cabin,0,Yes
GCS_TURN_QA,GRB,GCS,station,2,2.38,Goal,Root/div/station,GCS_TURN_QA/GCS/GRB,2,No
GCS_TURN_QA,",null,",GRB,vendor,3,85.36,Goal,Root/div/station/vendor,"GCS_TURN_QA/GCS/GRB/,null,",1,No
GCS_TURN_QA,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"GCS_TURN_QA/GCS/GRB/,null,/Cabin",0,Yes
GCS_TURN_QA,Jet Air,GRB,vendor,3,14.64,Goal,Root/div/station/vendor,GCS_TURN_QA/GCS/GRB/Jet Air,1,No
GCS_TURN_QA,Cabin,Jet Air,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,GCS_TURN_QA/GCS/GRB/Jet Air/Cabin,0,Yes
GCS_TURN_QA,GRR,GCS,station,2,0.18,Goal,Root/div/station,GCS_TURN_QA/GCS/GRR,3,No
