KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
GTBGCRTN_PCTL80,GTBGCRTN_PCTL80,,Root,0,1,Goal,Root,GTBGCRTN_PCTL80,1,No
GTBGCRTN_PCTL80,ACS,GTBGCRTN_PCTL80,div,1,100.0,Goal,Root/div,GTBGCRTN_PCTL80/ACS,1,No
GTBGCRTN_PCTL80,ML,ACS,carrier,2,100.0,Goal,Root/div/carrier,GTBGCRTN_PCTL80/ACS/ML,318,No
GTBGCRTN_PCTL80,APAC_Director,ML,director,3,0.47,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/APAC_Director,1,No
GTBGCRTN_PCTL80,I,APAC_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/APAC_Director/I,0,Yes
GTBGCRTN_PCTL80,AUS_Director,ML,director,3,0.24,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/AUS_Director,1,No
GTBGCRTN_PCTL80,D,AUS_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/AUS_Director/D,0,Yes
GTBGCRTN_PCTL80,CANMEX_Director,ML,director,3,0.37,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/CANMEX_Director,1,No
GTBGCRTN_PCTL80,I,CANMEX_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/CANMEX_Director/I,0,Yes
GTBGCRTN_PCTL80,Caribbean_Director,ML,director,3,0.5,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/Caribbean_Director,1,No
GTBGCRTN_PCTL80,I,Caribbean_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/Caribbean_Director/I,0,Yes
GTBGCRTN_PCTL80,CASA_Director,ML,director,3,0.46,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/CASA_Director,1,No
GTBGCRTN_PCTL80,I,CASA_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/CASA_Director/I,0,Yes
GTBGCRTN_PCTL80,CDG_Director,ML,director,3,0.5,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/CDG_Director,1,No
GTBGCRTN_PCTL80,I,CDG_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/CDG_Director/I,0,Yes
GTBGCRTN_PCTL80,Central_Director,ML,director,3,0.35,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/Central_Director,1,No
GTBGCRTN_PCTL80,D,Central_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/Central_Director/D,0,Yes
GTBGCRTN_PCTL80,East_Director,ML,director,3,0.26,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/East_Director,1,No
GTBGCRTN_PCTL80,D,East_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/East_Director/D,0,Yes
GTBGCRTN_PCTL80,EMEA-A,ML,director,3,0.48,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/EMEA-A,1,No
GTBGCRTN_PCTL80,I,EMEA-A,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/EMEA-A/I,0,Yes
GTBGCRTN_PCTL80,EMEA-B,ML,director,3,0.42,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/EMEA-B,1,No
GTBGCRTN_PCTL80,I,EMEA-B,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/EMEA-B/I,0,Yes
GTBGCRTN_PCTL80,FieldStations_Director,ML,director,3,0.24,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/FieldStations_Director,1,No
GTBGCRTN_PCTL80,D,FieldStations_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/FieldStations_Director/D,0,Yes
GTBGCRTN_PCTL80,Florida_Director,ML,director,3,0.17,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/Florida_Director,1,No
GTBGCRTN_PCTL80,D,Florida_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/Florida_Director/D,0,Yes
GTBGCRTN_PCTL80,Hub_ATL,ML,director,3,0.48,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/Hub_ATL,1,No
GTBGCRTN_PCTL80,D,Hub_ATL,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/Hub_ATL/D,0,Yes
GTBGCRTN_PCTL80,Hub_BOS,ML,director,3,0.56,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/Hub_BOS,1,No
GTBGCRTN_PCTL80,D,Hub_BOS,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/Hub_BOS/D,0,Yes
GTBGCRTN_PCTL80,Hub_DTW,ML,director,3,0.03,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/Hub_DTW,1,No
GTBGCRTN_PCTL80,D,Hub_DTW,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/Hub_DTW/D,0,Yes
GTBGCRTN_PCTL80,Hub_JFK,ML,director,3,0.02,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/Hub_JFK,1,No
GTBGCRTN_PCTL80,D,Hub_JFK,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/Hub_JFK/D,0,Yes
GTBGCRTN_PCTL80,Hub_LAX,ML,director,3,0.52,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/Hub_LAX,1,No
GTBGCRTN_PCTL80,D,Hub_LAX,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/Hub_LAX/D,0,Yes
GTBGCRTN_PCTL80,Hub_LGA,ML,director,3,0.25,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/Hub_LGA,1,No
GTBGCRTN_PCTL80,D,Hub_LGA,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/Hub_LGA/D,0,Yes
GTBGCRTN_PCTL80,Hub_MSP,ML,director,3,0.17,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/Hub_MSP,1,No
GTBGCRTN_PCTL80,D,Hub_MSP,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/Hub_MSP/D,0,Yes
GTBGCRTN_PCTL80,Hub_SEA,ML,director,3,0.19,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/Hub_SEA,1,No
GTBGCRTN_PCTL80,D,Hub_SEA,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/Hub_SEA/D,0,Yes
GTBGCRTN_PCTL80,Hub_SLC,ML,director,3,0.16,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/Hub_SLC,1,No
GTBGCRTN_PCTL80,D,Hub_SLC,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/Hub_SLC/D,0,Yes
GTBGCRTN_PCTL80,West_Director,ML,director,3,0.07,Goal,Root/div/carrier/director,GTBGCRTN_PCTL80/ACS/ML/West_Director,1,No
GTBGCRTN_PCTL80,D,West_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,GTBGCRTN_PCTL80/ACS/ML/West_Director/D,0,Yes
GTBGCRTN_PCTL80,ACSATL,ML,division,3,0.04,Goal,Root/div/carrier/division,GTBGCRTN_PCTL80/ACS/ML/ACSATL,1,No
GTBGCRTN_PCTL80,D,ACSATL,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,GTBGCRTN_PCTL80/ACS/ML/ACSATL/D,0,Yes
GTBGCRTN_PCTL80,DTW_AUS_FL,ML,division,3,0.09,Goal,Root/div/carrier/division,GTBGCRTN_PCTL80/ACS/ML/DTW_AUS_FL,1,No
GTBGCRTN_PCTL80,D,DTW_AUS_FL,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,GTBGCRTN_PCTL80/ACS/ML/DTW_AUS_FL/D,0,Yes
GTBGCRTN_PCTL80,East,ML,division,3,0.51,Goal,Root/div/carrier/division,GTBGCRTN_PCTL80/ACS/ML/East,1,No
GTBGCRTN_PCTL80,D,East,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,GTBGCRTN_PCTL80/ACS/ML/East/D,0,Yes
GTBGCRTN_PCTL80,FieldStations,ML,division,3,0.27,Goal,Root/div/carrier/division,GTBGCRTN_PCTL80/ACS/ML/FieldStations,1,No
GTBGCRTN_PCTL80,D,FieldStations,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,GTBGCRTN_PCTL80/ACS/ML/FieldStations/D,0,Yes
GTBGCRTN_PCTL80,International,ML,division,3,0.39,Goal,Root/div/carrier/division,GTBGCRTN_PCTL80/ACS/ML/International,1,No
GTBGCRTN_PCTL80,I,International,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,GTBGCRTN_PCTL80/ACS/ML/International/I,0,Yes
GTBGCRTN_PCTL80,JFK_BOS,ML,division,3,0.58,Goal,Root/div/carrier/division,GTBGCRTN_PCTL80/ACS/ML/JFK_BOS,1,No
GTBGCRTN_PCTL80,D,JFK_BOS,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,GTBGCRTN_PCTL80/ACS/ML/JFK_BOS/D,0,Yes
GTBGCRTN_PCTL80,MSP_SEA_SLC,ML,division,3,0.09,Goal,Root/div/carrier/division,GTBGCRTN_PCTL80/ACS/ML/MSP_SEA_SLC,1,No
GTBGCRTN_PCTL80,D,MSP_SEA_SLC,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,GTBGCRTN_PCTL80/ACS/ML/MSP_SEA_SLC/D,0,Yes
GTBGCRTN_PCTL80,West_Central,ML,division,3,0.03,Goal,Root/div/carrier/division,GTBGCRTN_PCTL80/ACS/ML/West_Central,1,No
GTBGCRTN_PCTL80,D,West_Central,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,GTBGCRTN_PCTL80/ACS/ML/West_Central/D,0,Yes
GTBGCRTN_PCTL80,D,ML,dom_int,3,0.08,Goal,Root/div/carrier/dom_int,GTBGCRTN_PCTL80/ACS/ML/D,0,Yes
GTBGCRTN_PCTL80,I,ML,dom_int,3,0.12,Goal,Root/div/carrier/dom_int,GTBGCRTN_PCTL80/ACS/ML/I,0,Yes
GTBGCRTN_PCTL80,AUS_Region,ML,region,3,0.06,Goal,Root/div/carrier/region,GTBGCRTN_PCTL80/ACS/ML/AUS_Region,1,No
GTBGCRTN_PCTL80,D,AUS_Region,dom_int,4,100.0,Goal,Root/div/carrier/region/dom_int,GTBGCRTN_PCTL80/ACS/ML/AUS_Region/D,0,Yes
GTBGCRTN_PCTL80,Canada_Region,ML,region,3,0.58,Goal,Root/div/carrier/region,GTBGCRTN_PCTL80/ACS/ML/Canada_Region,1,No
GTBGCRTN_PCTL80,I,Canada_Region,dom_int,4,100.0,Goal,Root/div/carrier/region/dom_int,GTBGCRTN_PCTL80/ACS/ML/Canada_Region/I,0,Yes
GTBGCRTN_PCTL80,Caribbean_Region,ML,region,3,0.34,Goal,Root/div/carrier/region,GTBGCRTN_PCTL80/ACS/ML/Caribbean_Region,1,No
GTBGCRTN_PCTL80,I,Caribbean_Region,dom_int,4,100.0,Goal,Root/div/carrier/region/dom_int,GTBGCRTN_PCTL80/ACS/ML/Caribbean_Region/I,0,Yes
GTBGCRTN_PCTL80,CDG_Region,ML,region,3,0.39,Goal,Root/div/carrier/region,GTBGCRTN_PCTL80/ACS/ML/CDG_Region,1,No
