KPI_Name,parent,node,Tier,sys,ml_dc_1,ml_dc_2,fleet,frst_flt_ind,station,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,Goal_Num,Goal_Den,Source,Goal_Yr,YTD_Num,YTD_Den
D0,,sys,1.0,,,,,,,68.29,1216960,1782050,71.7,5.00%,1.0,1277808.0,1782050,Goal Input,2027,1277808.0,1782050
D0,,DC,2.0,,DC,,,,,72.13,446980,619723,75.73,5.00%,0.36729226926110964,469329.0,619723,Goal Input,2027,469329.0,619723
D0,,DL,2.0,,DL,,,,,66.24,769980,1162327,69.56,5.00%,0.6327077307388903,808479.0,1162327,Goal Input,2027,808479.0,1162327
D0,DC,9E,3.0,,DC,9E,,,,68.21,173872,254904,71.62,5.00%,0.38899279609825943,182565.6,254904,Cascaded,2027,182565.6,254904
D0,DC,OO,3.0,,DC,OO,,,,76.2,202544,265791,80.01,5.00%,0.4531388429012484,212671.2,265791,Cascaded,2027,212671.2,265791
D0,DC,YX,3.0,,DC,YX,,,,71.26,70564,99028,74.82,5.00%,0.1578683610004922,74092.2,99028,Cascaded,2027,74092.2,99028
D0,DL,DL,3.0,,DL,DL,,,,66.24,769980,1162327,69.56,5.00%,1.0,808479.0,1162327,Cascaded,2027,808479.0,1162327
D0,DC/9E,CRJ-700,4.0,,DC,9E,CRJ-700,,,68.15,25516,37440,71.56,5.00%,0.14675163338547897,26791.8,37440,Cascaded,2027,26791.8,37440
D0,DC/9E,CRJ-900,4.0,,DC,9E,CRJ-900,,,68.22,148356,217464,71.63,5.00%,0.8532483666145211,155773.8,217464,Cascaded,2027,155773.80000000002,217464
D0,DC/OO,CRJ-700,4.0,,DC,OO,CRJ-700,,,65.28,4558,6982,68.55,5.00%,0.02250375227111146,4785.9,6982,Cascaded,2027,4785.900000000001,6982
D0,DC/OO,CRJ-900,4.0,,DC,OO,CRJ-900,,,70.95,64943,91538,74.49,5.00%,0.32063650367327595,68190.15,91538,Cascaded,2027,68190.15000000001,91538
D0,DC/OO,E-175,4.0,,DC,OO,E-175,,,79.95,122337,153011,83.95,5.00%,0.6040020933723043,128453.85,153011,Cascaded,2027,128453.85,153011
D0,DC/OO,E170/75,4.0,,DC,OO,E170/75,,,75.08,10706,14260,78.83,5.00%,0.05285765068330832,11241.3,14260,Cascaded,2027,11241.300000000001,14260
D0,DC/YX,E-170,4.0,,DC,YX,E-170,,,72.16,14727,20408,75.77,5.00%,0.2087041550932487,15463.35,20408,Cascaded,2027,15463.349999999999,20408
D0,DC/YX,E-175,4.0,,DC,YX,E-175,,,71.02,55837,78620,74.57,5.00%,0.7912958449067513,58628.85,78620,Cascaded,2027,58628.85,78620
D0,DL/DL,220,4.0,,DL,DL,220,,,66.32,62914,94861,69.64,5.00%,0.08170861580820281,66059.7,94861,Cascaded,2027,66059.7,94861
D0,DL/DL,319,4.0,,DL,DL,319,,,72.59,54747,75417,76.22,5.00%,0.07110184680121562,57484.35,75417,Cascaded,2027,57484.35,75417
D0,DL/DL,320,4.0,,DL,DL,320,,,65.97,44993,68205,69.27,5.00%,0.05843398529831944,47242.65,68205,Cascaded,2027,47242.65,68205
D0,DL/DL,321,4.0,,DL,DL,321,,,61.98,162108,261537,65.08,5.00%,0.21053533858022286,170213.4,261537,Cascaded,2027,170213.4,261537
D0,DL/DL,332,4.0,,DL,DL,332,,,63.99,4039,6312,67.19,5.00%,0.005245590794566092,4240.95,6312,Cascaded,2027,4240.95,6312
D0,DL/DL,333,4.0,,DL,DL,333,,,52.6,9144,17385,55.23,5.00%,0.011875633133328138,9601.2,17385,Cascaded,2027,9601.2,17385
D0,DL/DL,339,4.0,,DL,DL,339,,,57.88,12338,21316,60.78,5.00%,0.016023792825787683,12954.9,21316,Cascaded,2027,12954.9,21316
D0,DL/DL,359,4.0,,DL,DL,359,,,52.13,3779,7249,54.74,5.00%,0.004907919686225616,3967.95,7249,Cascaded,2027,3967.95,7249
D0,DL/DL,35H,4.0,,DL,DL,35H,,,54.16,2807,5183,56.87,5.00%,0.003645549235045066,2947.35,5183,Cascaded,2027,2947.35,5183
D0,DL/DL,35J,4.0,,DL,DL,35J,,,55.68,1695,3044,58.47,5.00%,0.00220135587937349,1779.75,3044,Cascaded,2027,1779.75,3044
D0,DL/DL,35L,4.0,,DL,DL,35L,,,20.95,141,673,22.0,5.00%,0.0001831216395231045,148.05,673,Cascaded,2027,148.05,673
D0,DL/DL,717,4.0,,DL,DL,717,,,70.65,101145,143168,74.18,5.00%,0.1313605548196057,106202.25,143168,Cascaded,2027,106202.25,143168
D0,DL/DL,738,4.0,,DL,DL,738,,,67.96,68280,100467,71.36,5.00%,0.08867762799033742,71694.0,100467,Cascaded,2027,71694.0,100467
D0,DL/DL,739,4.0,,DL,DL,739,,,72.3,161039,222749,75.91,5.00%,0.20914699083093066,169090.95,222749,Cascaded,2027,169090.95,222749
D0,DL/DL,757,4.0,,DL,DL,757,,,58.79,57240,97360,61.73,5.00%,0.07433959323618795,60102.0,97360,Cascaded,2027,60102.0,97360
D0,DL/DL,763,4.0,,DL,DL,763,,,64.75,16451,25405,67.99,5.00%,0.021365490012727605,17273.55,25405,Cascaded,2027,17273.55,25405
D0,DL/DL,764,4.0,,DL,DL,764,,,59.35,7120,11996,62.32,5.00%,0.009246993428400737,7476.0,11996,Cascaded,2027,7476.0,11996
D0,DC/9E,First Flight,4.1,,DC,9E,,First Flight,,83.97,36197,43108,88.17,5.00%,0.20818188092389803,38006.85,43108,Cascaded,2027,38006.85,43108
D0,DC/9E,Not First Flight,4.1,,DC,9E,,Not First Flight,,65.0,137675,211796,68.25,5.00%,0.791818119076102,144558.75,211796,Cascaded,2027,144558.75,211796
D0,DC/OO,First Flight,4.1,,DC,OO,,First Flight,,87.44,37989,43448,91.81,5.00%,0.18755924638597046,39888.45,43448,Cascaded,2027,39888.450000000004,43448
D0,DC/OO,Not First Flight,4.1,,DC,OO,,Not First Flight,,74.01,164555,222343,77.71,5.00%,0.8124407536140296,172782.75,222343,Cascaded,2027,172782.75,222343
D0,DC/YX,First Flight,4.1,,DC,YX,,First Flight,,85.77,15357,17905,90.06,5.00%,0.21763222039566918,16124.85,17905,Cascaded,2027,16124.849999999999,17905
D0,DC/YX,Not First Flight,4.1,,DC,YX,,Not First Flight,,68.05,55207,81123,71.46,5.00%,0.7823677796043308,57967.35,81123,Cascaded,2027,57967.35,81123
D0,DL/DL,First Flight,4.1,,DL,DL,,First Flight,,80.36,187485,233313,84.38,5.00%,0.24349333748928545,196859.25,233313,Cascaded,2027,196859.25,233313
D0,DL/DL,Not First Flight,4.1,,DL,DL,,Not First Flight,,62.7,582495,929014,65.84,5.00%,0.7565066625107145,611619.75,929014,Cascaded,2027,611619.75,929014
D0,DC/9E/First Flight,ABE,5.1,,DC,9E,,First Flight,ABE,86.67,299,345,91.0,5.00%,0.008260353067933806,313.95,345,Cascaded,2027,313.95,345
D0,DC/9E/First Flight,ABY,5.1,,DC,9E,,First Flight,ABY,87.57,162,185,91.95,5.00%,0.004475509020084537,170.1,185,Cascaded,2027,170.1,185
D0,DC/9E/First Flight,AEX,5.1,,DC,9E,,First Flight,AEX,88.1,311,353,92.51,5.00%,0.008591872254606735,326.55,353,Cascaded,2027,326.55,353
D0,DC/9E/First Flight,AGS,5.1,,DC,9E,,First Flight,AGS,84.44,369,437,88.66,5.00%,0.010194214990192558,387.45,437,Cascaded,2027,387.45,437
D0,DC/9E/First Flight,ALB,5.1,,DC,9E,,First Flight,ALB,92.4,304,329,97.02,5.00%,0.008398486062380861,319.2,329,Cascaded,2027,319.2,329
D0,DC/9E/First Flight,ATL,5.1,,DC,9E,,First Flight,ATL,84.13,1734,2061,88.34,5.00%,0.047904522474238195,1820.7,2061,Cascaded,2027,1820.6999999999998,2061
D0,DC/9E/First Flight,AUS,5.1,,DC,9E,,First Flight,AUS,0.0,0,3,0.0,0.00%,0.0,0.0,3,Cascaded,2027,0.0,3
D0,DC/9E/First Flight,AVL,5.1,,DC,9E,,First Flight,AVL,80.65,125,155,84.68,5.00%,0.0034533248611763405,131.25,155,Cascaded,2027,131.25,155
D0,DC/9E/First Flight,BGR,5.1,,DC,9E,,First Flight,BGR,91.61,262,286,96.19,5.00%,0.00723816890902561,275.1,286,Cascaded,2027,275.09999999999997,286
D0,DC/9E/First Flight,BHM,5.1,,DC,9E,,First Flight,BHM,84.57,455,538,88.8,5.00%,0.01257010249468188,477.75,538,Cascaded,2027,477.75,538
D0,DC/9E/First Flight,BIS,5.1,,DC,9E,,First Flight,BIS,81.38,153,188,85.45,5.00%,0.004226869630079841,160.65,188,Cascaded,2027,160.65,188
D0,DC/9E/First Flight,BMI,5.1,,DC,9E,,First Flight,BMI,90.71,254,280,95.25,5.00%,0.007017156117910324,266.7,280,Cascaded,2027,266.7,280
