KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
HRS_WTD,HRS_WTD,,Root,0,1,Goal,Root,HRS_WTD,1,No
HRS_WTD,ACS,HRS_WTD,div,1,100.0,Goal,Root/div,HRS_WTD/ACS,132,No
HRS_WTD,AUS_Director,ACS,director,2,1.08,Goal,Root/div/director,HRS_WTD/ACS/AUS_Director,0,Yes
HRS_WTD,Central_Director,ACS,director,2,1.43,Goal,Root/div/director,HRS_WTD/ACS/Central_Director,0,Yes
HRS_WTD,East_Director,ACS,director,2,1.4,Goal,Root/div/director,HRS_WTD/ACS/East_Director,0,Yes
HRS_WTD,Florida_Director,ACS,director,2,1.48,Goal,Root/div/director,HRS_WTD/ACS/Florida_Director,0,Yes
HRS_WTD,Hub_ATL,ACS,director,2,0.66,Goal,Root/div/director,HRS_WTD/ACS/Hub_ATL,0,Yes
HRS_WTD,Hub_BOS,ACS,director,2,0.31,Goal,Root/div/director,HRS_WTD/ACS/Hub_BOS,0,Yes
HRS_WTD,Hub_DTW,ACS,director,2,1.39,Goal,Root/div/director,HRS_WTD/ACS/Hub_DTW,0,Yes
HRS_WTD,Hub_JFK,ACS,director,2,0.14,Goal,Root/div/director,HRS_WTD/ACS/Hub_JFK,0,Yes
HRS_WTD,Hub_LAX,ACS,director,2,0.86,Goal,Root/div/director,HRS_WTD/ACS/Hub_LAX,0,Yes
HRS_WTD,Hub_LGA,ACS,director,2,0.79,Goal,Root/div/director,HRS_WTD/ACS/Hub_LGA,0,Yes
HRS_WTD,Hub_MSP,ACS,director,2,0.83,Goal,Root/div/director,HRS_WTD/ACS/Hub_MSP,0,Yes
HRS_WTD,Hub_SEA,ACS,director,2,0.76,Goal,Root/div/director,HRS_WTD/ACS/Hub_SEA,0,Yes
HRS_WTD,Hub_SLC,ACS,director,2,1.0,Goal,Root/div/director,HRS_WTD/ACS/Hub_SLC,0,Yes
HRS_WTD,West_Director,ACS,director,2,1.13,Goal,Root/div/director,HRS_WTD/ACS/West_Director,0,Yes
HRS_WTD,ACSATL,ACS,division,2,0.28,Goal,Root/div/division,HRS_WTD/ACS/ACSATL,0,Yes
HRS_WTD,DTW_AUS_FL,ACS,division,2,0.09,Goal,Root/div/division,HRS_WTD/ACS/DTW_AUS_FL,0,Yes
HRS_WTD,East,ACS,division,2,1.52,Goal,Root/div/division,HRS_WTD/ACS/East,0,Yes
