KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
IB_PAX_DOOROPEN,IB_PAX_DOOROPEN,,Root,0,1,Goal,Root,IB_PAX_DOOROPEN,2,No
IB_PAX_DOOROPEN,ACS,IB_PAX_DOOROPEN,div,1,39.96,Goal,Root/div,IB_PAX_DOOROPEN/ACS,1,No
IB_PAX_DOOROPEN,ML,ACS,carrier,2,100.0,Goal,Root/div/carrier,IB_PAX_DOOROPEN/ACS/ML,318,No
IB_PAX_DOOROPEN,APAC_Director,ML,director,3,0.15,Goal,Root/div/carrier/director,IB_PAX_DOOROPEN/ACS/ML/APAC_Director,1,No
IB_PAX_DOOROPEN,I,APAC_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,IB_PAX_DOOROPEN/ACS/ML/APAC_Director/I,0,Yes
IB_PAX_DOOROPEN,AUS_Director,ML,director,3,0.03,Goal,Root/div/carrier/director,IB_PAX_DOOROPEN/ACS/ML/AUS_Director,1,No
IB_PAX_DOOROPEN,D,AUS_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,IB_PAX_DOOROPEN/ACS/ML/AUS_Director/D,0,Yes
IB_PAX_DOOROPEN,CANMEX_Director,ML,director,3,0.16,Goal,Root/div/carrier/director,IB_PAX_DOOROPEN/ACS/ML/CANMEX_Director,1,No
IB_PAX_DOOROPEN,I,CANMEX_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,IB_PAX_DOOROPEN/ACS/ML/CANMEX_Director/I,0,Yes
IB_PAX_DOOROPEN,Caribbean_Director,ML,director,3,0.45,Goal,Root/div/carrier/director,IB_PAX_DOOROPEN/ACS/ML/Caribbean_Director,1,No
IB_PAX_DOOROPEN,I,Caribbean_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,IB_PAX_DOOROPEN/ACS/ML/Caribbean_Director/I,0,Yes
IB_PAX_DOOROPEN,CASA_Director,ML,director,3,0.2,Goal,Root/div/carrier/director,IB_PAX_DOOROPEN/ACS/ML/CASA_Director,1,No
